ran_at,as_of,new_agendas,new_minutes,new_videos,new_transcripts,new_our_minutes,deployed,seconds,timings,notes
2026-09-12T02:03:35Z,2026-09-11,7,5,0,6,1,no,,,transcript fetch skipped: the backfill is running
2026-09-12T11:36:37Z,2026-09-12,0,0,0,0,0,no,,,transcript fetch skipped: the backfill is running
2026-09-13T13:12:14Z,2026-09-13,0,0,0,0,0,yes,734,watch_meetings.py=95 extract_minutes.py=1 build_minutes_searchable.py=13 write_agenda_preview.py=0 watch_documents.py=144 watch_feeds.py=1 watch_youtube.py=0 build_youtube_classification.py=0 reconcile_minutes.py=0 build_meeting_feed.py=0 build_recording_minutes.py=0 build_notices.py=0 tag_document_affinity.py=2 build_search_index.py=56 build_app_metrics.py=0 build_sitemap.py=0 sync_search_d1.py=225 npm_build:site=174 npx_pages_deploy=17,transcript fetch skipped: the backfill is running
