lea,district,fy,group,measure,value,reconciles,doc_id
00190000,Ayer,2010,Expenditures Per Pupil,Administration,561,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Instructional Leadership,960,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Teachers,4908,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Other Teaching Services,654,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Professional Development,43,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",84,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,"Guidance, Counseling and Testing",360,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Pupil Services,1058,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Operations and Maintenance,802,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,"Insurance, Retirement Programs and Other",2060,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Total In-District Expenditures,11491,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2010,Expenditures Per Pupil,Total Expenditures,12325,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Enrollment,In-District FTE Pupils,1213.8,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Enrollment,Out-of-District FTE Pupils,137.2,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Enrollment,Total FTE Pupils,1351,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Demographics,Student Headcount,1202,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Demographics,Low-Income % Headcount,0.235,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Demographics,English learner % Headcount,0.032,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Student Demographics,Students with disabilities % Headcount,0.195,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Teacher Salaries,Teacher FTE,95.2,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Teacher Salaries,Teachers per 100 FTE students,7.8,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Other Staff,Instructional Coach FTE,0,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Other Staff,Instructional Support FTE,6,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Other Staff,Special Education Instructional Support FTE,1,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Other Staff,Paraprofessional FTE,27.8,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,MCAS Performance,ELA Grades 3-8 % Meets or Exceeds,0.654,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,MCAS Performance,Math Grades 3-8 % Meets or Exceeds,0.549,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,MCAS Performance,ELA Grade 10 % Meets or Exceeds,0.809,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,MCAS Performance,Math Grade 10 % Meets or Exceeds,0.667,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Administration,604,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Instructional Leadership,782,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Teachers,4522,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Other Teaching Services,614,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Professional Development,76,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,"Instructional Materials, Equipment and Technology",279,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,"Guidance, Counseling and Testing",349,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Pupil Services,1166,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Operations and Maintenance,936,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,"Insurance, Retirement Programs and Other",2111,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Total In-District Expenditures,11440,yes,sources/dese/radar-district-comparison.xlsx
00190000,Ayer,2009,Expenditures Per Pupil,Total Expenditures,12315,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Enrollment,In-District FTE Pupils,1016.4,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Enrollment,Out-of-District FTE Pupils,49,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Enrollment,Total FTE Pupils,1065.4,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Demographics,Student Headcount,1023,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Demographics,Low-Income % Headcount,0.108,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Demographics,English learner % Headcount,0.022,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Student Demographics,Students with disabilities % Headcount,0.157,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Teacher Salaries,Teacher FTE,86.9,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Teacher Salaries,Teachers per 100 FTE students,8.5,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Teacher Salaries,Average Teacher Salary,99136,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Other Staff,Instructional Coach FTE,0,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Other Staff,Instructional Support FTE,7,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Other Staff,Special Education Instructional Support FTE,1,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Other Staff,Paraprofessional FTE,36.6,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,MCAS Performance,ELA Grades 3-8 % Meets or Exceeds,0.708,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,MCAS Performance,Math Grades 3-8 % Meets or Exceeds,0.646,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,MCAS Performance,ELA Grade 10 % Meets or Exceeds,0.867,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,MCAS Performance,Math Grade 10 % Meets or Exceeds,0.8,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Administration,954,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Instructional Leadership,1481,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Teachers,8475,yes,sources/dese/radar-district-comparison.xlsx
01250000,Harvard,2025,Expenditures Per Pupil,Other Teaching Services,2460,yes,sources/dese/radar-district-comparison.xlsx
