fy,source,amount,status,document,page
2015,TAX LIENS REDEEMED,200762.70,checked,4121-fy-2015-annual-town-report.pdf,22
2015,TOWN PROPERTY HAYING,1000.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MEDICARE PART D REIMBURSEMENT,48895.25,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PRIOR YEAR REFUNDS,8638.35,checked,4121-fy-2015-annual-town-report.pdf,22
2015,LOCK UP FEES,400.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,DISHONORED CHECK FEE,300.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MISC OVER/SHORT,13.64,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SUPPL TAX-NEW CONSTRUCTION,53595.63,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SENIOR CENTER RENTAL FEES,478.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,BID CHARGES,400.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PRO FORMA/ROLL BACK TAXES,14403.85,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SALE OF COMPOSTING BINS,3288.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SALE OF TOWN EQUIPMENT,4694.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MOTOR VEHICLE EXCISE,1469369.79,checked,4121-fy-2015-annual-town-report.pdf,22
2015,COBRA FEES,79.69,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MISC. REVENUE,3340.17,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MEDICAL RECORDS,350.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,INTEREST PERSONAL PROPERTY,1440.35,checked,4121-fy-2015-annual-town-report.pdf,22
2015,ALCOHOLIC BEVERAGES,29825.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,INVESTMENT INCOME,53183.88,checked,4121-fy-2015-annual-town-report.pdf,22
2015,INTEREST REAL ESTATE,58850.72,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MARRIAGE LICENSES,900.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,INTEREST MOTOR VEHICLE EXCISE,12401.02,checked,4121-fy-2015-annual-town-report.pdf,22
2015,HEALTH LICENSES,1935.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SELECTMEN'S LICENSES,4140.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PRIOR YEAR EXCISE,25.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,GASOLINE LICENSES,590.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PRIOR YEAR INT/DEMAND,83.04,checked,4121-fy-2015-annual-town-report.pdf,22
2015,DOG LICENSES,9925.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,DEMANDS MOTOR VEHICLE EXCISE,24497.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,WIRING PERMITS,32480.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,TRANSFERS FROM OTHER FUNDS,838054.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,DEMANDS REAL ESTATE,1495.28,checked,4121-fy-2015-annual-town-report.pdf,22
2015,GAS PERMITS,8739.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,DEMANDS PERSONAL PROPERTY,220.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PLUMBING PERMITS,13795.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,BUILDING PERMITS,113483.88,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PENALTY/INTEREST TAX LIENS,77095.21,checked,4121-fy-2015-annual-town-report.pdf,22
2015,WOODSTOVE PERMITS,1200.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PAYMENT IN LIEU OF TAXES,1634.93,checked,4121-fy-2015-annual-town-report.pdf,22
2015,FIRE PERMITS,17000.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,POLICE PERMITS,3837.50,checked,4121-fy-2015-annual-town-report.pdf,22
2015,TRENCH PERMIT,400.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,POLICE REPORT FEES,1170.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,EARTH REMOVAL PERMITS,1500.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,FIRE REPORT FEES,50.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PEDDLER'S LICENSE,80.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SPECIAL DETAIL ADMIN. FEES,19169.99,checked,4121-fy-2015-annual-town-report.pdf,22
2015,RAFFLES & BAZAARS,20.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MUNICIPAL LIENS,11050.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MECHANICAL PERMITS,3250.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,"CERT COPY BIRTH, DEATH, MARRIAGE",3490.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,ROAD OPENING PERMITS,500.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,BUSINESS CERTIFICATE,2885.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,RESIDENCY CERTIFICATE,25.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,CERTIFICATE OF INSPECTION,1100.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,CHARTER TUITION REIMBURSEMENT,45993.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,CABLE T.V.,1602.50,checked,4121-fy-2015-annual-town-report.pdf,22
2015,STATE OWNED LAND,47844.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,RELEASE FEES,12990.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,VET/BLIND/SURVIVING SPOUSE ABATEMENTS,45491.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SEALING FEES,3400.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,ABATEMENTS ELDERLY,21084.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PRE-SCHOOL TUITION,25180.12,checked,4121-fy-2015-annual-town-report.pdf,22
2015,CH 70 SCHOOL AID,5605872.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,BETTERMENT QUOTE,0.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SMART GROWTH SCHOOL COST REIMB,183618.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,"SEC 2D CH 29 LOTTERY, BEANO",940983.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MSBA REIMB-SCHOOL,474240.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,VETERANS BENEFITS REIMBURSEMENT,37825.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,SUBDIVISION/FORM A FILING FEES,2925.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,LOCAL OPTION MEALS TAX,98473.18,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PLANNING BOARD FEES/PERMITS,2404.40,checked,4121-fy-2015-annual-town-report.pdf,22
2015,WETLANDS BYLAWS,1665.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,STUDENT PARKING FEES,4530.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,TRAILER PARKS,13444.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,ZONING BOARD FILING FEES,1488.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,RESCUE WAGON,234341.86,checked,4121-fy-2015-annual-town-report.pdf,22
2015,CEMETERIES BURIALS,4000.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MEADOW WOODS WATER PRINCIPAL,0.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,COPIER FEES,1309.54,checked,4121-fy-2015-annual-town-report.pdf,22
2015,MEADOW WOODS WATER INTEREST,41396.11,checked,4121-fy-2015-annual-town-report.pdf,22
2015,WETLANDS FILING FEES,5518.75,checked,4121-fy-2015-annual-town-report.pdf,22
2015,STREET BETTERMENTS,900.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,WETLANDS ADVERTISING FEE,1400.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,STREET BETTERMENT INTEREST,315.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,CEMETERY WEEKEND BURIAL,2350.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,RESEARCH FEES,568.34,checked,4121-fy-2015-annual-town-report.pdf,22
2015,POLE LOCATIONS,50.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,PARKING FINES,1060.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,BOARDING OF DOGS,0.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,COURT FINES,30880.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,FORM OF INTENT-BUSINESS,900.00,checked,4121-fy-2015-annual-town-report.pdf,22
2015,DOG FINES,2450.00,checked,4121-fy-2015-annual-town-report.pdf,22
2016,PERSONAL PROPERTY TAXES,684128.27,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RENTAL FEES CELL TOWER,35073.74,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,REAL ESTATE TAXES,22399495.70,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,STREET LISTS,170.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,TAX LIENS REDEEMED,400567.78,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,TOWN PROPERTY HAYING,1000.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PRIOR YEAR REFUNDS,19141.32,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,DISHONORED CHECK FEE,185.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SUPPL TAX-NEW CONSTRUCTION,73548.61,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SENIOR CENTER RENTAL FEES,380.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PRO FORMA/ROLL BACK TAXES,6712.97,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SALE OF COMPOSTING BINS/RAIN BARRELS,3433.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,COBRA FEES,130.70,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,ON-LINE FEES,31.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,INTEREST PERSONAL PROPERTY,1813.17,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,ALCOHOLIC BEVERAGES,31080.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,TEREST REAL ESTAT,50950.86,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,MARRIAGE LICENSES,850.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,TEREST MOTOR VEHICLE EXCIS,13844.08,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,HEALTH LICENSES,1735.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SELECTMEN'S LICENSES,4970.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,GASOLINE LICENSES,610.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,DOG LICENSES,12795.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,DEMANDS MOTOR VEHICLE EXCISE,28940.84,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,WIRING PERMITS,32198.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,DEMANDS REAL ESTATE,1470.12,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,GAS PERMITS,8795.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,DEMANDS PERSONAL PROPERTY,265.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PLUMBING PERMITS,12608.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,BUILDING PERMITS,147586.05,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,WOODSTOVE PERMITS,825.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,FIRE PERMITS,18625.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,POLICE PERMITS,3762.50,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,TRENCH PERMIT,1080.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,POLICE REPORT FEES,1172.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,EARTH REMOVAL PERMITS,1400.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,MECHANICAL PERMITS,50.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,ROAD OPENING PERMITS,900.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,"CERT COPY BIRTH, DEATH, MARRIAGE",4941.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,BUSINESS CERTIFICATE,2535.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,CHARTER TUITION REIMBURSEMENT,33882.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RESIDENCY CERTIFICATE,5.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,STATE OWNED LAND,47844.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,CERTIFICATE OF INSPECTION,1075.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,ET/BLIND/SURVIVING SPOUSE ABATEMENT,22631.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,CABLE T.V.,1619.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,BATEMENTS ELDERL,20582.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RELEASE FEES,14310.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,CH 70 SCHOOL AID,5834483.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SEALING FEES,4945.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SMART GROWTH SCHOOL COST REIME,214662.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PRE-SCHOOL TUITION,24950.42,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,"SEC 2D CH 29 LOTTERY, BEANC",974858.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,CONSTABLE FEES,235.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,MSBA REIMB-SCHOOL,474239.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,VOTING LISTS,20.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SCHOOL TRANSPORTATION,7164.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,ZONING INCENTIVE PAYMENT,96000.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,VETERANS BENEFITS REIMBURSEMENT,54674.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,SUBDIVISION/FORM A FILING FEES,8450.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,LOCAL OPTION MEALS TAX,107542.98,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PLANNING BOARD FEES/PERMITS,7376.40,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,WETLANDS BYLAWS,6100.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,STUDENT PARKING FEES,4554.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,TRAILER PARKS,14280.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,ZONING BOARD FILING FEES,1883.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RESCUE WAGON,288600.98,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,CEMETERIES BURIALS,3000.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,MEADOW WOODS WATER PRINCIPAL,0.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,COPIER FEES,1526.58,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,MEADOW WOODS WATER INTEREST,0.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,WETLANDS FILING FEES,11597.50,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,STREET BETTERMENTS,900.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,WETLANDS ADVERTISING FEE,1318.51,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,STREET BETTERMENT INTEREST,252.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RENTAL OF OFFICE SPACE,900.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RESEARCH FEES,28.60,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,POLE LOCATIONS,100.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PARKING FINES,1025.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,RECORDING FEES,75.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,COURT FINES,25737.50,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,FORM OF INTENT-BUSINESS,930.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,DOG FINES,8755.00,no check,4122-fy-2016-annual-town-report-addendum.pdf,1
2016,PERSONAL PROPERTY TAXES,684128.27,no check,4123-fy-2016-annual-town-report.pdf,23
2016,RENTAL FEES CELL TOWER,35073.74,no check,4123-fy-2016-annual-town-report.pdf,23
2016,REAL ESTATE TAXES,22399495.70,no check,4123-fy-2016-annual-town-report.pdf,23
2016,STREET LISTS,170.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,TAX LIENS REDEEMED,400567.78,no check,4123-fy-2016-annual-town-report.pdf,23
2016,TOWN PROPERTY HAYING,1000.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,PRIOR YEAR REFUNDS,19141.32,no check,4123-fy-2016-annual-town-report.pdf,23
2016,DISHONORED CHECK FEE,185.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,SUPPL TAX-NEW CONSTRUCTION,73548.61,no check,4123-fy-2016-annual-town-report.pdf,23
2016,SENIOR CENTER RENTAL FEES,380.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,PRO FORMA/ROLL BACK TAXES,6712.97,no check,4123-fy-2016-annual-town-report.pdf,23
2016,SALE OF COMPOSTING BINS/RAIN BARRELS,3433.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,MOTOR VEHICLE EXCISE,1666412.16,no check,4123-fy-2016-annual-town-report.pdf,23
2016,COBRA FEES,130.70,no check,4123-fy-2016-annual-town-report.pdf,23
2016,ON-LINE FEES,31.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,INTEREST PERSONAL PROPERTY,1813.17,no check,4123-fy-2016-annual-town-report.pdf,23
2016,ALCOHOLIC BEVERAGES,31080.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,INTEREST REAL ESTATE,50950.86,no check,4123-fy-2016-annual-town-report.pdf,23
2016,MARRIAGE LICENSES,850.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,INTEREST MOTOR VEHICLE EXCISE,13844.08,no check,4123-fy-2016-annual-town-report.pdf,23
2016,HEALTH LICENSES,1735.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,SELECTMEN'S LICENSES,4970.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,GASOLINE LICENSES,610.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,DOG LICENSES,12795.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,DEMANDS MOTOR VEHICLE EXCISE,28940.84,no check,4123-fy-2016-annual-town-report.pdf,23
2016,WIRING PERMITS,32198.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,DEMANDS REAL ESTATE,1470.12,no check,4123-fy-2016-annual-town-report.pdf,23
2016,GAS PERMITS,8795.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,DEMANDS PERSONAL PROPERTY,265.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,PLUMBING PERMITS,12608.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,BUILDING PERMITS,147586.05,no check,4123-fy-2016-annual-town-report.pdf,23
2016,PENALTY/INTEREST TAX LIENS,100828.04,no check,4123-fy-2016-annual-town-report.pdf,23
2016,WOODSTOVE PERMITS,825.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,PAYMENT IN LIEU OF TAXES,1637.40,no check,4123-fy-2016-annual-town-report.pdf,23
2016,FIRE PERMITS,18625.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,POLICE PERMITS,3762.50,no check,4123-fy-2016-annual-town-report.pdf,23
2016,TRENCH PERMIT,1080.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,POLICE REPORT FEES,1172.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,EARTH REMOVAL PERMITS,1400.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,FIRE REPORT FEES,67.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,MECHANICAL PERMITS,50.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,SPECIAL DETAIL ADMIN. FEES,17396.11,no check,4123-fy-2016-annual-town-report.pdf,23
2016,ROAD OPENING PERMITS,900.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,MUNICIPAL LIENS,10475.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,"CERT COPY BIRTH, DEATH, MARRIAGE",4941.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,BUSINESS CERTIFICATE,2535.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,CHARTER TUITION REIMBURSEMENT,33882.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,RESIDENCY CERTIFICATE,5.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,STATE OWNED LAND,47844.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,CERTIFICATE OF INSPECTION,1075.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,VET/BLIND/SURVIVING SPOUSE ABATEMENTS,22631.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,CABLE T.V.,1619.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,ABATEMENTS ELDERLY,20582.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,RELEASE FEES,14310.00,no check,4123-fy-2016-annual-town-report.pdf,23
2016,CH 70 SCHOOL AID,5834483.00,no check,4123-fy-2016-annual-town-report.pdf,23
2017,PERSONAL PROPERTY TAXES,714783.71,checked,4124-fy-2017-annual-town-report.pdf,22
2017,RENTAL FEES CELL TOWER,36125.94,checked,4124-fy-2017-annual-town-report.pdf,22
2017,NET METERING CREDITS,121847.93,checked,4124-fy-2017-annual-town-report.pdf,22
2017,REAL ESTATE TAXES,23672333.52,checked,4124-fy-2017-annual-town-report.pdf,22
2017,STREET LISTS,110.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,SCHOOL BASED MEDICARE REIMB,90913.21,checked,4124-fy-2017-annual-town-report.pdf,22
2017,TAX LIENS REDEEMED,96616.58,checked,4124-fy-2017-annual-town-report.pdf,22
2017,TOWN PROPERTY HAYING,1000.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,LOCK UP FEES,200.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PRIOR YEAR REFUNDS,115.95,checked,4124-fy-2017-annual-town-report.pdf,22
2017,MISC OVER/SHORT,15.02,checked,4124-fy-2017-annual-town-report.pdf,22
2017,DISHONORED CHECK FEE,275.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,FEDERAL REVENUE,7134.25,checked,4124-fy-2017-annual-town-report.pdf,22
2017,SUPPL TAX-NEW CONSTRUCTION,71648.97,checked,4124-fy-2017-annual-town-report.pdf,22
2017,CEMETERY WEEKEND BURIAL FEES,1000.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PREMIUM SALE OF BONDS,0.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PRO FORMA/ROLL BACK TAXES,0.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,SALE OF COMPOSTING BINS/RAIN BARRELS,2066.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,SALE OF TOWN EQUIPMENT,796.14,checked,4124-fy-2017-annual-town-report.pdf,22
2017,MOTOR VEHICLE EXCISE,1796430.02,checked,4124-fy-2017-annual-town-report.pdf,22
2017,RENTAL OF TURF FIELD FEES,2100.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,MISC. REVENUE,96493.91,checked,4124-fy-2017-annual-town-report.pdf,22
2017,ON-LINE FEES,57.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,MEDICAL RECORDS,135.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,INTEREST PERSONAL PROPERTY,3875.35,checked,4124-fy-2017-annual-town-report.pdf,22
2017,ALCOHOLIC BEVERAGES,28925.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,INVESTMENT INCOME,44961.75,checked,4124-fy-2017-annual-town-report.pdf,22
2017,INTEREST REAL ESTATE,62055.27,checked,4124-fy-2017-annual-town-report.pdf,22
2017,MARRIAGE LICENSES,835.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,INTEREST MOTOR VEHICLE EXCISE,16471.03,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PEDDLERS LICENSE,20.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,RAFFLES/BAZAAR PERMIT,40.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PRIOR YEAR EXCISE,674.27,checked,4124-fy-2017-annual-town-report.pdf,22
2017,SELECTMEN'S LICENSES,4605.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PRIOR YEAR INT/DEMAND,1650.04,checked,4124-fy-2017-annual-town-report.pdf,22
2017,GASOLINE LICENSES,600.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,DEMANDS MOTOR VEHICLE EXCISE,28188.86,checked,4124-fy-2017-annual-town-report.pdf,22
2017,DOG LICENSES,9747.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,TRANSFERS FROM OTHER FUNDS,923159.76,checked,4124-fy-2017-annual-town-report.pdf,22
2017,DEMANDS REAL ESTATE,2191.88,checked,4124-fy-2017-annual-town-report.pdf,22
2017,WIRING PERMITS,36994.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,DEMANDS PERSONAL PROPERTY,265.76,checked,4124-fy-2017-annual-town-report.pdf,22
2017,GAS PERMITS,8890.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PLUMBING PERMITS,14089.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PENALTY/INTEREST TAX LIENS,88189.68,checked,4124-fy-2017-annual-town-report.pdf,22
2017,BUILDING PERMITS,169278.81,checked,4124-fy-2017-annual-town-report.pdf,22
2017,PAYMENT IN LIEU OF TAXES,1647.08,checked,4124-fy-2017-annual-town-report.pdf,22
2017,WOODSTOVE PERMITS,850.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,FIRE PERMITS,23600.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,POLICE PERMITS,5012.50,checked,4124-fy-2017-annual-town-report.pdf,22
2017,POLICE REPORT FEES,123.41,checked,4124-fy-2017-annual-town-report.pdf,22
2017,TRENCH PERMIT,650.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,FIRE REPORT FEES,80.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,EARTH REMOVAL PERMITS,1400.00,checked,4124-fy-2017-annual-town-report.pdf,22
2017,SPECIAL DETAIL ADMIN. FEES,20683.21,checked,4124-fy-2017-annual-town-report.pdf,22
