fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2019,00000000,State,state,K-12,Substantially Separate Classroom,15654,291,0.019,3268,0.209,10599,0.677,1423,0.091,73,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,00000000,State,state,K-2,Inclusive Setting,21748,4734,0.218,15314,0.704,1358,0.062,310,0.014,32,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,00000000,State,state,K-2,Substantially Separate Classroom,3578,70,0.02,623,0.174,2574,0.719,295,0.082,16,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01250000,Harvard,district,K-12,Inclusive Setting,86,20,0.233,62,0.721,1,0.012,3,0.035,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01250000,Harvard,district,K-12,Substantially Separate Classroom,1,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01250000,Harvard,district,K-2,Inclusive Setting,20,6,0.3,14,0.7,0,0.0,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01250000,Harvard,district,K-2,Substantially Separate Classroom,0,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01620000,Lunenburg,district,K-12,Inclusive Setting,155,52,0.335,95,0.613,5,0.032,3,0.019,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01620000,Lunenburg,district,K-12,Substantially Separate Classroom,15,0,0.0,2,0.133,7,0.467,6,0.4,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01620000,Lunenburg,district,K-2,Inclusive Setting,54,24,0.444,28,0.519,2,0.037,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,01620000,Lunenburg,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,06100000,Ashburnham-Westminster,district,K-12,Inclusive Setting,245,55,0.224,174,0.71,13,0.053,0,0.0,3,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
