fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2013,,"Office Hours Officials, Elected and Appointed 3",5,5,8,8,report,"Office Hours Officials, Elected and Appointed 3.5"
2013,,Payroll Report 89,93,93,96,96,report,Payroll Report 89.93
2013,,Planning Board,10,10,13,13,report,Planning Board 10
2013,,Police Department,24,27,27,30,report,Police Department 24-27
2013,,Receipts 58-59 Reconciliation of Treasurer's Cash,73,73,76,76,report,Receipts 58-59 Reconciliation of Treasurer's Cash 73
2013,,School Reports / Lunenburg,28,40,31,43,report,School Reports / Lunenburg 28-40
2013,,Sewer Commissioners,20,21,23,24,report,Sewer Commissioners 20-21
2013,,Special Revenue Funds,67,71,70,74,report,Special Revenue Funds 67-71
2013,,Technology Department,15,16,18,19,report,Technology Department 15-16
2013,,Town Manager,6,6,9,9,report,Town Manager 6
2013,,Town Meeting Minutes,80,86,83,89,report,Town Meeting Minutes 80-86
2013,,Trust Funds & Investments,74,75,77,78,report,Trust Funds & Investments 74-75
2013,,Zoning Board of Appeals,16,16,19,19,report,Zoning Board of Appeals 16
2014,Table Of Contents,Lunenburg Profile,6,7,6,7,report,Lunenburg Profile 6
2014,Table Of Contents,Elected Officials- State & Local,8,10,8,10,report,Elected Officials- State & Local 8
2014,Table Of Contents,Appointed Officials/Committees/Boards,11,18,11,18,report,Appointed Officials/Committees/Boards 11
2014,Administration,TOWN MANAGER REPORT- KERRY A. SPEIDEL,19,19,19,19,report,TOWN MANAGER REPORT- KERRY A. SPEIDEL 19
2014,Accountant,Balance Sheet,20,20,20,20,report,Balance Sheet 20
2014,Accountant,General Fund Revenues Chart,21,22,21,22,report,General Fund Revenues Chart 21
2014,Accountant,FY 2014 Receipts 22 General Fund Expenditures Chart,23,23,23,23,report,FY 2014 Receipts 22 General Fund Expenditures Chart 23
2014,Accountant,General Fund Appropriations Summary & Classification of Accounts,24,28,24,28,report,General Fund Appropriations Summary & Classification of Accounts 24
2014,Accountant,Special Revenue Funds,29,33,29,33,report,Special Revenue Funds 29
2014,Accountant,Capital Project Funds,34,34,34,34,report,Capital Project Funds 34
2014,Accountant,Board of Assessors,35,35,35,35,report,Board of Assessors 35
2014,Treasurer/Tax Collector,"Treasurer's Cash as of June 30, 2014",36,36,36,36,report,"Treasurer's Cash as of June 30, 2014 36"
2014,Treasurer/Tax Collector,Trust Funds,37,38,37,38,report,Trust Funds 37
2014,Treasurer/Tax Collector,Outstanding Debt Repayment Schedule,39,42,39,42,report,Outstanding Debt Repayment Schedule 39
2014,Treasurer/Tax Collector,Collection of Taxes,43,46,43,46,report,Collection of Taxes 43
