fy,kind,name,amount,owner,doc
2024,state,"SOA Evidence-Based Practice, 117 (yr 2 of 3)",136583.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2024,state,"Accelerating Literacy, 719 Grant (yr 3 of 3)",134130.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2024,state,Family & Community Grant,45700.0,Director of Community School Programs,fy25-superintendent-39-s-budget-update.txt
2024,state,Comprehensive School Health Services Grant,35000.0,,fy25-superintendent-39-s-budget-update.txt
2024,state,Child Home Program,27037.0,Director of Community School Programs,fy25-superintendent-39-s-budget-update.txt
2024,state,"After School & Out of School Time, 528 Grant",25000.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2024,state,"Deeper Learning, 105 Grant",21520.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2024,state,"Arts & Cultural Vitality, 718 Grant",5200.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
FY21-24,federal,ESSER 3,1351034.0,,fy25-superintendent-39-s-budget-update.txt
FY21-24,federal,ESSER 2,588834.0,,fy25-superintendent-39-s-budget-update.txt
FY21-24,federal,ESSER 1,198073.0,,fy25-superintendent-39-s-budget-update.txt
