fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2017,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,37,,91.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06160000,Ayer Shirley School District,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,58,41,70.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06160000,Ayer Shirley School District,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,90,,91.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06160000,Ayer Shirley School District,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,11,6,54.50000000000001,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06160000,Ayer Shirley School District,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,30,,83.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06730000,Groton-Dunstable,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,171,146,85.39999999999999,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06730000,Groton-Dunstable,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,216,,98.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06730000,Groton-Dunstable,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,16,7,43.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06730000,Groton-Dunstable,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,25,,92.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,07350000,North Middlesex,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,167,136,81.39999999999999,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,07350000,North Middlesex,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,203,,95.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,07350000,North Middlesex,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,12,9,75.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,07350000,North Middlesex,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,32,,78.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,46285,31375,68.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,145614,55137,38.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,53231,46285,87.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,47184,36670,77.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,67806,9286,13.700000000000001,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,67806,37884,55.900000000000006,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,67806,47184,69.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,STUDENT OUTCOMES,4-year cohort graduation rate,1,74641,,87.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,74641,,89.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,All Students,all,STUDENT OUTCOMES,Annual dropout rate,1,291139,5408,1.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,792,409,52.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,21334,1514,7.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,1311,792,60.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,6082,4097,67.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,11847,2317,19.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,11847,3759,31.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,11847,6082,51.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,4-year cohort graduation rate,1,14571,,72.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,14571,,76.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,Annual dropout rate,1,46115,1551,3.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,45493,30966,68.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,124280,53623,43.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2018,00000000,State,state,K-12,all,Students without Disabilities,detail,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,51920,45493,88.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
