fy,lea,district,race_ethnicity,race_level,job_class,educators_headcount,educators_pct,hires_headcount,hires_pct,retained_headcount,retained_pct,reconciles,doc_id
2021,00000000,State Totals,Hispanic/Latino,detail,Administrator,452,0.049,18,0.038,384,0.873,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Hispanic/Latino,detail,Other - Licensed,460,0.041,63,0.049,334,0.821,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Hispanic/Latino,detail,Other - Non-Licensed,1252,0.071,87,0.086,996,0.841,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Hispanic/Latino,detail,Paraprofessional,1962,0.078,102,0.057,1568,0.811,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Hispanic/Latino,detail,Teacher,2746,0.036,290,0.058,2145,0.849,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Administrator,58,0.006,3,0.006,49,0.907,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Other - Licensed,43,0.004,9,0.007,32,0.711,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Other - Non-Licensed,98,0.006,10,0.01,81,0.91,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Paraprofessional,149,0.006,18,0.01,107,0.743,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,"Multi-race, Non-Hisp./Lat.",detail,Teacher,389,0.005,52,0.01,322,0.845,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Administrator,10,0.001,0,0,10,1,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Other - Licensed,6,0.001,1,0.001,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Other - Non-Licensed,12,0.001,1,0.001,12,0.857,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Paraprofessional,22,0.001,3,0.002,19,0.905,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Nat. Haw. or Pacif. Isl.,detail,Teacher,33,0,2,0,29,0.784,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,White,detail,Administrator,7840,0.846,397,0.843,7585,0.879,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,White,detail,Other - Licensed,10162,0.899,1133,0.882,8275,0.82,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,White,detail,Other - Non-Licensed,15298,0.862,828,0.817,13922,0.846,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,White,detail,Paraprofessional,20698,0.82,1480,0.831,17857,0.778,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,White,detail,Teacher,69534,0.908,4288,0.855,63229,0.888,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Afr. Amer./Black,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Afr. Amer./Black,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Afr. Amer./Black,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Afr. Amer./Black,detail,Paraprofessional,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Afr. Amer./Black,detail,Teacher,1,0.011,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,All Educators,all,Administrator,8,1,,,7,1,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,All Educators,all,Other - Licensed,9,1,,,8,0.889,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,All Educators,all,Other - Non-Licensed,21,1,,,17,0.895,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,All Educators,all,Paraprofessional,28,1,8,1,15,0.6,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,All Educators,all,Teacher,93,1,,,84,0.894,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Paraprofessional,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Teacher,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Asian,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Asian,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Asian,detail,Other - Non-Licensed,1,0.048,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Asian,detail,Paraprofessional,1,0.036,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Asian,detail,Teacher,1,0.011,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Hispanic/Latino,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Hispanic/Latino,detail,Other - Licensed,1,0.111,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2021,01250000,Harvard,Hispanic/Latino,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
