id,kind,subkind,code,name,owner,owner_basis,relates_to,purpose,authority,trend_label,report
gf-491,appropriation,,491,CEMETERY DEPARTMENT,cemetery-commission,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-512,appropriation,,512,GENERAL HEALTH EXPENSE,board-of-health,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-521,appropriation,,521,NASHOBA HEALTH,board-of-health,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-522,appropriation,,522,NASHOBA NURSING,board-of-health,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-524,appropriation,,524,POLICE/FIRE MEDICAL,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-525,appropriation,,525,PHYSICALS,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-541,appropriation,,541,COUNCIL ON AGING,council-on-aging,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-543,appropriation,,543,VETERAN'S SERVICES,veterans-services,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-610,appropriation,,610,LUNENBURG PUBLIC LIBRARY,library-board-of-trustees,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-650,appropriation,,650,PARKS & RECREATION,parks-commission,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-691,appropriation,,691,HISTORICAL COMMISSION,historical-commission,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-693,appropriation,,693,BAND CONCERTS,select-board,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-820,appropriation,assessment,820,WRRS ASSESSMENT,worcester-regional-retirement,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-825,appropriation,assessment,825,STATE ASSESSMENTS,commonwealth,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-841,appropriation,assessment,841,MONTACHUSETT PLANNING COMM,montachusett-regional-planning,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-912,appropriation,benefits and insurance,912,WORKERS COMPENSATION,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-913,appropriation,benefits and insurance,913,UNEMPLOYMENT COMPENSATION,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-914,appropriation,benefits and insurance,914,INSURANCE,town-manager,the department the ledger files it under,school-committee,health and life insurance for town and school employees,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-945,appropriation,benefits and insurance,945,LIABILITY INSURANCE,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
