ran,source,boards_listed,documents_listed,boards_unanswered,new_agendas,new_minutes
2026-09-08,live,51,574,0,6,0
2026-09-08,seed,51,12065,0,0,0
2026-09-11,live,51,1487,0,7,5
2026-09-12,live,51,1487,0,0,0
2026-09-13,live,51,1487,0,0,0
2026-09-14,live,51,1487,0,0,0
2026-09-15,live,51,1489,0,2,0
2026-09-16,live,51,1494,0,5,0
2026-09-17,live,51,1495,0,1,0
2026-09-19,live,51,1518,0,4,20
2026-09-20,live,51,1518,0,0,0
2026-09-21,live,51,1521,0,3,0
