fy,side,item,amount,basis,source
2025,general,Athletic Equipment/Reconditioning,7190.0,actual,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
2025,general,Athletic Insurance,8980.0,actual,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
2025,general,Athletic New Equipment,9055.0,actual,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
2025,general,Athletic Trainer,63900.0,actual,fy27-budget-projections-as-of-2-24-26-with-restorations.txt
2025,general,Athletic Transportation,87822.0,actual,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
2025,general,Special Detail/Athletic Events,72864.0,actual,fy27-budget-projections-as-of-3-16-26-with-restorations.txt
2025,revolving,Athletic Officials,50696.0,unproven,"Athletics_v10.xlsx (citizen analysis, unpublished)"
2025,revolving,Athletic Transportation,3244.06,unproven,"Athletics_v10.xlsx (citizen analysis, unpublished)"
2026,general,Athletic Coaches,159444.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Director,74406.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Dues & Fees,20000.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Equipment/Reconditioning,10000.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Insurance,9000.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic New Equipment,6000.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Secretary,20407.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Trainer,66200.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Athletic Transportation,127550.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Freshman & Ms Coaches,14415.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,Special Detail/Athletic Events,7100.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,general,"Unified Sports,Track/Basketball Coach",3812.0,budget,budget-workbooks/fy27-proposals.xlsx
2026,revolving,General supplies,2795.2,actual,budget-workbooks/school-funds-fy26.xlsx
2026,revolving,"Purchase of service (officials, uniforms, transportation, ice time, dues)",113602.4,actual,budget-workbooks/school-funds-fy26.xlsx
2026,revolving,REVENUE — High school user fees (net),162870.55,actual,budget-workbooks/school-funds-fy26.xlsx
2026,revolving,REVENUE — Middle school user fees (net),26073.91,actual,budget-workbooks/school-funds-fy26.xlsx
2026,revolving,Salaries (4 revolving-fund staff),30513.84,actual,budget-workbooks/school-funds-fy26.xlsx
