board,board_slug,date,kind,file_id,url,first_seen,basis
Agricultural Commission,agricultural-commission,2019-04-18,minutes,483,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04182019-483,,seed
Agricultural Commission,agricultural-commission,2019-05-16,agenda,484,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05162019-484,,seed
Agricultural Commission,agricultural-commission,2019-05-16,minutes,484,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05162019-484,,seed
Agricultural Commission,agricultural-commission,2019-06-20,agenda,485,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06202019-485,,seed
Agricultural Commission,agricultural-commission,2019-06-20,minutes,485,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06202019-485,,seed
Agricultural Commission,agricultural-commission,2019-07-18,agenda,510,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07182019-510,,seed
Agricultural Commission,agricultural-commission,2019-07-18,minutes,510,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07182019-510,,seed
Agricultural Commission,agricultural-commission,2019-09-19,agenda,511,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09192019-511,,seed
Agricultural Commission,agricultural-commission,2019-09-19,minutes,511,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09192019-511,,seed
Agricultural Commission,agricultural-commission,2019-10-17,agenda,512,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10172019-512,,seed
Agricultural Commission,agricultural-commission,2019-11-21,agenda,513,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11212019-513,,seed
Agricultural Commission,agricultural-commission,2019-11-21,minutes,513,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11212019-513,,seed
Agricultural Commission,agricultural-commission,2020-01-16,agenda,518,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01162020-518,,seed
