fy,measure,basis,districts,p_min,p25,median,p75,p_max,lunenburg,lunenburg_rank_of_districts,doc_id
2002,net school spending as a share of required,stage: actual,356,0.2171,1.0392,1.0941,1.1859,133.3333,1.1069,159 of 356,sources/state-dese/dese-ch70-district-profile.xlsx
2002,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,355,0.0000,0.4423,0.6636,0.8969,2.3573,0.6887,169 of 355,sources/state-dese/dese-ch70-district-profile.xlsx
2003,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",355,761.2385,1454.6257,2703.8033,4336.7258,46486.6667,2179.1952,217 of 355,sources/state-dese/dese-ch70-district-profile.xlsx
2003,net school spending as a share of required,stage: actual,355,0.0038,1.0361,1.0939,1.2034,4.8006,1.1382,131 of 355,sources/state-dese/dese-ch70-district-profile.xlsx
2003,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,355,0.0000,0.4507,0.6752,0.8970,3.6768,0.7003,167 of 355,sources/state-dese/dese-ch70-district-profile.xlsx
2004,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",362,0.0000,1233.3575,2545.9671,4136.3018,111568.0000,2089.7735,204 of 362,sources/state-dese/dese-ch70-district-profile.xlsx
2004,net school spending as a share of required,stage: actual,353,0.0249,1.0590,1.1178,1.2286,4.7142,1.0917,221 of 353,sources/state-dese/dese-ch70-district-profile.xlsx
2004,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,362,0.0095,0.4527,0.6865,0.9005,10.7743,0.6853,182 of 362,sources/state-dese/dese-ch70-district-profile.xlsx
2005,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",370,532.7448,1218.0942,2744.0469,4436.0914,10901.8462,2139.0897,217 of 370,sources/state-dese/dese-ch70-district-profile.xlsx
2005,net school spending as a share of required,stage: actual,363,0.0590,1.0706,1.1403,1.2349,6.6973,1.0570,289 of 363,sources/state-dese/dese-ch70-district-profile.xlsx
2005,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,370,0.0156,0.4736,0.6859,0.9226,3.0707,0.7089,176 of 370,sources/state-dese/dese-ch70-district-profile.xlsx
2006,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",371,575.9905,1314.8348,2902.8393,4619.1622,9916.8383,2230.2508,220 of 371,sources/state-dese/dese-ch70-district-profile.xlsx
2006,circuit breaker net claim per eligible student,"FISCAL year, not school year",290,1614.0000,13399.3187,19621.3839,25538.6678,87061.2857,18647.9048,158 of 290,sources/state-dese/dese-circuit-breaker.xlsx
2006,net school spending as a share of required,stage: actual,361,0.0710,1.0815,1.1546,1.2788,23.3915,1.1353,210 of 361,sources/state-dese/dese-ch70-district-profile.xlsx
2006,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,371,0.0269,0.4788,0.6861,0.9133,3.1397,0.7341,171 of 371,sources/state-dese/dese-ch70-district-profile.xlsx
2007,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",372,726.4165,1567.3809,3098.4418,5155.9224,12192.7120,2381.1172,220 of 372,sources/state-dese/dese-ch70-district-profile.xlsx
2007,circuit breaker net claim per eligible student,"FISCAL year, not school year",293,259.0000,14018.9032,19658.7143,26252.5091,78011.6667,22139.9444,116 of 293,sources/state-dese/dese-circuit-breaker.xlsx
2007,net school spending as a share of required,stage: actual,364,0.1529,1.0691,1.1604,1.2809,30.0339,1.1382,207 of 364,sources/state-dese/dese-ch70-district-profile.xlsx
2007,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,372,0.0352,0.4718,0.6679,0.8676,1.5213,0.7227,167 of 372,sources/state-dese/dese-ch70-district-profile.xlsx
2008,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",372,920.3477,1759.5841,3356.2581,5394.1939,12936.1267,2591.1465,226 of 372,sources/state-dese/dese-ch70-district-profile.xlsx
2008,circuit breaker net claim per eligible student,"FISCAL year, not school year",290,2024.8182,14786.3929,20057.5167,27014.1951,80978.0000,16966.2500,193 of 290,sources/state-dese/dese-circuit-breaker.xlsx
2008,net school spending as a share of required,stage: actual,360,0.0268,1.0603,1.1675,1.2988,9.2935,1.1291,212 of 360,sources/state-dese/dese-ch70-district-profile.xlsx
2008,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,372,0.0367,0.4761,0.6574,0.8471,1.4199,0.6771,181 of 372,sources/state-dese/dese-ch70-district-profile.xlsx
2009,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",374,1084.3060,1920.4418,3603.3427,5733.9578,14811.1404,2815.8379,226 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2009,circuit breaker net claim per eligible student,"FISCAL year, not school year",290,0.0000,14307.0625,21420.9271,29298.6239,123754.0000,28641.3913,78 of 290,sources/state-dese/dese-circuit-breaker.xlsx
2009,net school spending as a share of required,stage: actual,362,0.0985,1.0787,1.1872,1.3293,8.8868,1.1465,211 of 362,sources/state-dese/dese-ch70-district-profile.xlsx
2009,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,374,0.0379,0.4705,0.6372,0.8212,1.2617,0.6643,177 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2010,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",375,0.0000,1825.9528,3419.6000,5447.3891,35114.0000,2791.8459,223 of 375,sources/state-dese/dese-ch70-district-profile.xlsx
2010,circuit breaker net claim per eligible student,"FISCAL year, not school year",288,1014.0000,15825.4697,22774.8256,30310.8860,140463.5000,19186.6538,185 of 288,sources/state-dese/dese-circuit-breaker.xlsx
2010,net school spending as a share of required,stage: actual,368,0.3519,1.0336,1.1436,1.3116,20.4401,1.1417,188 of 368,sources/state-dese/dese-ch70-district-profile.xlsx
2010,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,375,0.0396,0.4823,0.6447,0.8250,1.1887,0.6538,181 of 375,sources/state-dese/dese-ch70-district-profile.xlsx
2011,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",374,996.8630,1895.1938,3548.7143,5478.3783,14238.0548,2802.7389,228 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2011,circuit breaker net claim per eligible student,"FISCAL year, not school year",286,970.0000,15329.6084,22899.6938,30487.0047,69537.7000,20030.7391,176 of 286,sources/state-dese/dese-circuit-breaker.xlsx
2011,net school spending as a share of required,stage: actual,327,0.7973,1.0662,1.1660,1.3335,2.6737,1.1660,165 of 327,sources/state-dese/dese-ch70-district-profile.xlsx
2011,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,374,0.0426,0.5007,0.6636,0.8562,1.2212,0.6587,190 of 374,sources/state-dese/dese-ch70-district-profile.xlsx
2012,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",373,1032.7010,1949.8309,3683.8496,5580.1614,14111.1598,2865.9981,230 of 373,sources/state-dese/dese-ch70-district-profile.xlsx
2012,circuit breaker net claim per eligible student,"FISCAL year, not school year",285,489.0000,19956.1111,28075.7500,35648.1026,72431.6429,24448.0800,180 of 285,sources/state-dese/dese-circuit-breaker.xlsx
2012,net school spending as a share of required,stage: actual,365,0.0120,1.0598,1.1810,1.3567,52.0391,1.2044,165 of 365,sources/state-dese/dese-ch70-district-profile.xlsx
2012,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,373,0.0424,0.5106,0.6803,0.8603,1.2600,0.6674,190 of 373,sources/state-dese/dese-ch70-district-profile.xlsx
2013,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",371,1027.8009,2068.8157,3771.0178,5720.0845,13953.5245,3202.4151,220 of 371,sources/state-dese/dese-ch70-district-profile.xlsx
2013,circuit breaker net claim per eligible student,"FISCAL year, not school year",285,684.0000,20254.2581,28623.6218,36511.9483,65449.0000,28866.3448,141 of 285,sources/state-dese/dese-circuit-breaker.xlsx
2013,net school spending as a share of required,stage: actual,360,0.6100,1.0554,1.1677,1.3534,50.8782,1.1770,171 of 360,sources/state-dese/dese-ch70-district-profile.xlsx
2013,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,371,0.0427,0.5232,0.6835,0.8539,1.0000,0.6427,203 of 371,sources/state-dese/dese-ch70-district-profile.xlsx
2014,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",367,1031.5697,2068.4860,3853.4445,5902.0698,14198.3401,3332.1070,215 of 367,sources/state-dese/dese-ch70-district-profile.xlsx
2014,circuit breaker net claim per eligible student,"FISCAL year, not school year",280,2730.3333,20701.0986,30182.7950,38137.1471,75637.0000,33355.7826,112 of 280,sources/state-dese/dese-circuit-breaker.xlsx
2014,net school spending as a share of required,stage: actual,357,0.0106,1.0517,1.1785,1.3620,31.0695,1.1950,167 of 357,sources/state-dese/dese-ch70-district-profile.xlsx
2014,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,367,0.0426,0.5310,0.7032,0.8538,1.0000,0.6485,210 of 367,sources/state-dese/dese-ch70-district-profile.xlsx
2015,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",376,1232.3908,2144.0163,4050.0261,6019.6250,14261.4697,3445.5267,219 of 376,sources/state-dese/dese-ch70-district-profile.xlsx
2015,circuit breaker net claim per eligible student,"FISCAL year, not school year",282,3951.0000,21774.6986,30776.5951,38259.2809,185675.0000,32535.1429,126 of 282,sources/state-dese/dese-circuit-breaker.xlsx
2015,net school spending as a share of required,stage: actual,356,0.0429,1.0627,1.2173,1.4006,16.5632,1.2318,173 of 356,sources/state-dese/dese-ch70-district-profile.xlsx
2015,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,376,0.0452,0.5429,0.7070,0.8517,0.9000,0.6272,235 of 376,sources/state-dese/dese-ch70-district-profile.xlsx
2016,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",380,1278.8834,2201.7596,4118.0029,6245.6049,14389.0792,3542.4912,219 of 380,sources/state-dese/dese-ch70-district-profile.xlsx
2016,circuit breaker net claim per eligible student,"FISCAL year, not school year",283,91.0000,22899.6818,31318.9231,40101.0559,181477.0000,45455.0000,41 of 283,sources/state-dese/dese-circuit-breaker.xlsx
2016,net school spending as a share of required,stage: actual,364,0.0986,1.0683,1.2512,1.4286,13.3912,1.2388,186 of 364,sources/state-dese/dese-ch70-district-profile.xlsx
2016,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,380,0.0457,0.5425,0.7010,0.8453,0.9000,0.6197,239 of 380,sources/state-dese/dese-ch70-district-profile.xlsx
