fy,lea,district,level,func_cat_code,func_cat_desc,func_code,func_desc,in_out_dist,gen_fund,grants_revolving,total,per_pupil,reconciles,doc_id
2013,01620000,Lunenburg,rollup,OODD,Out-of-district Expenditure,OODD,Out-of-district Expenditure,,2139861,605088,2744949,0,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,530750,47616,578366,366,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,157625,0,157625,100,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,265425,5692,271117,171,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,55184,0,55184,35,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4220,Maintenance of Buildings,In-District,107182,56,107238,68,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4230,Maintenance of Equipment,In-District,21845,0,21845,14,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4300,Extraordinary Maintenance,In-District,296424,0,296424,187,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4400,Networking and Telecommunications,In-District,57344,0,57344,36,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,category,OPMN,Operations and Maintenance,OPMN,Operations and Maintenance,,1491779,53364,1545143,977,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,PDEV,Professional Development,2355,Substitutes for Prof. Development,In-District,1742,0,1742,1,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,PDEV,Professional Development,2357,"Prof. Dev. Stipends, Providers, Expenses",In-District,8808,63231,72039,46,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,category,PDEV,Professional Development,PDEV,Professional Development,,10550,63231,73781,47,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,SERV,Pupil Services,3200,Medical/Health Services,In-District,162305,0,162305,103,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,SERV,Pupil Services,3300,Transportation Services,In-District,674447,35095,709542,449,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,SERV,Pupil Services,3400,Food Services,In-District,0,405070,405070,256,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,SERV,Pupil Services,3510,Athletics,In-District,173669,127074,300743,190,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,SERV,Pupil Services,3520,Other Student Activities,In-District,5047,12722,17769,11,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,category,SERV,Pupil Services,SERV,Pupil Services,,1015468,579961,1595429,1009,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TCHR,Teachers,2305,"Teachers, Classroom",In-District,5912625,631329,6543954,4139,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TCHR,Teachers,2310,"Teachers, Specialists",In-District,892406,56560,948966,600,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,category,TCHR,Teachers,TCHR,Teachers,,6805031,687889,7492920,4739,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TSER,Other Teaching Services,2320,Medical/ Therapeutic Services,In-District,346285,54313,400598,253,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TSER,Other Teaching Services,2325,Substitute Teachers,In-District,191664,0,191664,121,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TSER,Other Teaching Services,2330,Paraprofessionals,In-District,699478,154802,854280,540,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TSER,Other Teaching Services,2340,Librarians/Media Center Directors,In-District,131930,0,131930,83,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,category,TSER,Other Teaching Services,TSER,Other Teaching Services,,1369357,209115,1578472,998,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,total,TTPP,"Expenditure (Admin, Instruction, Operations)",TTPP,"Expenditure (Admin, Instruction, Operations)",,18199750,2476542,20676292,12027,yes,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9110,Tuition for School Choice,Out-of-District,475249,0,475249,0,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9120,Tuition to Commonwealth Charter Schools,Out-of-District,441183,0,441183,0,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9300,Tuition to Non-Public Schools,Out-of-District,814688,452756,1267444,0,,sources/state-dese/district-expenditures-by-function.xlsx
2013,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9400,Tuition to Collaboratives,Out-of-District,135147,152332,287479,0,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,ADMN,Administration,1110,School Committee,In-District,5135,0,5135,3,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,ADMN,Administration,1210,Superintendent,In-District,179146,74,179220,114,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,ADMN,Administration,1230,Other District-Wide Administration,In-District,0,10500,10500,7,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,ADMN,Administration,1410,Business and Finance,In-District,237980,26251,264231,169,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,ADMN,Administration,1430,Legal Service for School Committee,In-District,30713,0,30713,20,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,ADMN,Administration,1450,District-wide Information Mgmt & Tech,In-District,133869,0,133869,86,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,ADMN,Administration,ADMN,Administration,,586844,36825,623669,398,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5100,Employer Retirement Contributions,In-District,235609,8049,243658,156,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5150,Employee Separation Costs,In-District,16702,0,16702,11,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5200,Insurance for Active Employees,In-District,1955239,71701,2026940,1295,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5250,Insurance for Retired School Employees,In-District,786254,149689,935943,598,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5260,Other Non-Employee Insurance,In-District,82578,0,82578,53,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,BENE,"Insurance, Retirement Programs and Other",BENE,"Insurance, Retirement Programs and Other",,3076382,229439,3305821,2112,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,GUID,"Guidance, Counseling and Testing",2710,Guidance incl Adjustment Counselors,In-District,497724,0,497724,318,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,GUID,"Guidance, Counseling and Testing",2800,Psychological Services,In-District,84021,0,84021,54,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,GUID,"Guidance, Counseling and Testing",GUID,"Guidance, Counseling and Testing",,581745,0,581745,372,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,rollup,IIII,In-district Expenditure,IIII,In-district Expenditure,,16294531,1743239,18037770,11521,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,LDRS,Instructional Leadership,2110,Curriculum Directors  (Supervisory),In-District,294992,7243,302235,193,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,LDRS,Instructional Leadership,2210,School Leadership,In-District,723992,3909,727901,465,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,LDRS,Instructional Leadership,2315,Instructional Coordinators (Non-Supervisory),In-District,23214,0,23214,15,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,LDRS,Instructional Leadership,LDRS,Instructional Leadership,,1042199,11152,1053351,673,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2410,"Textbooks, Related Software/Media/Matls",In-District,6456,19,6475,4,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2415,Other Instructional Matls (Libraries),In-District,58450,10343,68793,44,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2420,Instructional Equipment,In-District,23257,3354,26611,17,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2430,General Classroom Supplies,In-District,26774,9609,36383,23,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2440,Other Instructional Services,In-District,4417,2990,7407,5,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2451,Classroom Instructional Technology,In-District,58066,38386,96452,62,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,MATL,"Instructional Materials, Equipment and Technology",MATL,"Instructional Materials, Equipment and Technology",,177419,64701,242121,155,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,ODTR,Out-of-district Transportation,ODTR,Out-of-district Transportation,,282976,0,282976,0,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,rollup,OODD,Out-of-district Expenditure,OODD,Out-of-district Expenditure,,2487857,590702,3078558,0,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,517506,0,517506,331,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,178767,0,178767,114,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,234263,64038,298301,191,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,72849,62,72911,47,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4220,Maintenance of Buildings,In-District,124000,0,124000,79,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4230,Maintenance of Equipment,In-District,20215,0,20215,13,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4300,Extraordinary Maintenance,In-District,185238,0,185238,118,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4400,Networking and Telecommunications,In-District,36230,0,36230,23,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4450,Technology Maintenance,In-District,3634,0,3634,2,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,OPMN,Operations and Maintenance,OPMN,Operations and Maintenance,,1372701,64099,1436801,918,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,PDEV,Professional Development,2357,"Prof. Dev. Stipends, Providers, Expenses",In-District,3500,93885,97385,62,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,PDEV,Professional Development,PDEV,Professional Development,,3500,93885,97385,62,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,SERV,Pupil Services,3200,Medical/Health Services,In-District,168465,0,168465,108,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,SERV,Pupil Services,3300,Transportation Services,In-District,629692,52758,682450,436,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,SERV,Pupil Services,3400,Food Services,In-District,0,438551,438551,280,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,SERV,Pupil Services,3510,Athletics,In-District,194316,115023,309338,198,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,SERV,Pupil Services,3520,Other Student Activities,In-District,5892,10005,15897,10,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,SERV,Pupil Services,SERV,Pupil Services,,998364,616337,1614701,1031,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TCHR,Teachers,2305,"Teachers, Classroom",In-District,6116812,146046,6262858,4000,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TCHR,Teachers,2310,"Teachers, Specialists",In-District,1232285,0,1232285,787,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,TCHR,Teachers,TCHR,Teachers,,7349097,146046,7495143,4787,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TSER,Other Teaching Services,2320,Medical/ Therapeutic Services,In-District,420266,14220,434486,278,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TSER,Other Teaching Services,2325,Substitute Teachers,In-District,138898,18372,157270,100,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TSER,Other Teaching Services,2330,Paraprofessionals,In-District,417121,448163,865284,553,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TSER,Other Teaching Services,2340,Librarians/Media Center Directors,In-District,129995,0,129995,83,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,category,TSER,Other Teaching Services,TSER,Other Teaching Services,,1106280,480755,1587035,1014,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,total,TTPP,"Expenditure (Admin, Instruction, Operations)",TTPP,"Expenditure (Admin, Instruction, Operations)",,18782388,2333940,21116328,12384,yes,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9100,Tuition to Mass. Schools,Out-of-District,9862,0,9862,0,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9110,Tuition for School Choice,Out-of-District,423947,0,423947,0,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9120,Tuition to Commonwealth Charter Schools,Out-of-District,509381,0,509381,0,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9300,Tuition to Non-Public Schools,Out-of-District,1025405,482246,1507651,0,,sources/state-dese/district-expenditures-by-function.xlsx
2014,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9400,Tuition to Collaboratives,Out-of-District,236285,108456,344741,0,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1110,School Committee,In-District,176119,0,176119,113,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1210,Superintendent,In-District,183188,159,183347,117,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1230,Other District-Wide Administration,In-District,0,10500,10500,7,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1410,Business and Finance,In-District,37134,19015,56149,36,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1420,Human Resources and Benefits,In-District,37000,0,37000,24,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1430,Legal Service for School Committee,In-District,32078,0,32078,21,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,ADMN,Administration,1450,District-wide Information Mgmt & Tech,In-District,152641,4018,156659,100,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,ADMN,Administration,ADMN,Administration,,618159,33693,651852,417,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5100,Employer Retirement Contributions,In-District,284167,0,284167,182,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5150,Employee Separation Costs,In-District,5864,8688,14552,9,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5200,Insurance for Active Employees,In-District,1935667,37386,1973054,1262,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5250,Insurance for Retired School Employees,In-District,717623,0,717623,459,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,BENE,"Insurance, Retirement Programs and Other",5260,Other Non-Employee Insurance,In-District,85754,0,85754,55,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,BENE,"Insurance, Retirement Programs and Other",BENE,"Insurance, Retirement Programs and Other",,3029075,46074,3075150,1967,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,GUID,"Guidance, Counseling and Testing",2710,Guidance incl Adjustment Counselors,In-District,505545,0,505545,323,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,GUID,"Guidance, Counseling and Testing",2800,Psychological Services,In-District,85856,0,85856,55,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,GUID,"Guidance, Counseling and Testing",GUID,"Guidance, Counseling and Testing",,591401,0,591401,378,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,rollup,IIII,In-district Expenditure,IIII,In-district Expenditure,,16642815,1374887,18017702,11525,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,LDRS,Instructional Leadership,2110,Curriculum Directors  (Supervisory),In-District,257176,85,257261,165,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,LDRS,Instructional Leadership,2210,School Leadership,In-District,736297,0,736297,471,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,LDRS,Instructional Leadership,2315,Instructional Coordinators (Non-Supervisory),In-District,23885,0,23885,15,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,LDRS,Instructional Leadership,LDRS,Instructional Leadership,,1017357,85,1017442,651,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2410,"Textbooks, Related Software/Media/Matls",In-District,7938,6399,14337,9,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2415,Other Instructional Matls (Libraries),In-District,51794,2628,54422,35,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2420,Instructional Equipment,In-District,16425,6629,23054,15,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2430,General Classroom Supplies,In-District,37995,0,37995,24,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2440,Other Instructional Services,In-District,2169,15870,18039,12,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,MATL,"Instructional Materials, Equipment and Technology",2451,Classroom Instructional Technology,In-District,9246,0,9246,6,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,MATL,"Instructional Materials, Equipment and Technology",MATL,"Instructional Materials, Equipment and Technology",,125566,31526,157092,100,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,ODTR,Out-of-district Transportation,ODTR,Out-of-district Transportation,,254075,0,254075,0,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,rollup,OODD,Out-of-district Expenditure,OODD,Out-of-district Expenditure,,2757808,644777,3402585,0,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,538547,47656,586203,375,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,184831,4886,189717,121,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,251856,0,251856,161,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,74979,0,74979,48,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4220,Maintenance of Buildings,In-District,131494,0,131494,84,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4230,Maintenance of Equipment,In-District,28698,0,28698,18,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4300,Extraordinary Maintenance,In-District,124367,0,124367,80,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,OPMN,Operations and Maintenance,4400,Networking and Telecommunications,In-District,23427,0,23427,15,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,OPMN,Operations and Maintenance,OPMN,Operations and Maintenance,,1358199,52542,1410741,902,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,PDEV,Professional Development,2357,"Prof. Dev. Stipends, Providers, Expenses",In-District,7139,94531,101670,65,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,PDEV,Professional Development,PDEV,Professional Development,,7139,94531,101670,65,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,SERV,Pupil Services,3200,Medical/Health Services,In-District,187663,480,188143,120,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,SERV,Pupil Services,3300,Transportation Services,In-District,754041,0,754041,482,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,SERV,Pupil Services,3400,Food Services,In-District,0,400305,400305,256,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,SERV,Pupil Services,3510,Athletics,In-District,224799,113963,338762,217,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,SERV,Pupil Services,3520,Other Student Activities,In-District,6441,3996,10437,7,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,SERV,Pupil Services,SERV,Pupil Services,,1172944,518744,1691688,1082,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TCHR,Teachers,2305,"Teachers, Classroom",In-District,6142884,110207,6253091,4000,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TCHR,Teachers,2310,"Teachers, Specialists",In-District,1325451,0,1325451,848,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,TCHR,Teachers,TCHR,Teachers,,7468335,110207,7578542,4848,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TSER,Other Teaching Services,2320,Medical/ Therapeutic Services,In-District,493396,9569,502965,322,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TSER,Other Teaching Services,2325,Substitute Teachers,In-District,173512,0,173512,111,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TSER,Other Teaching Services,2330,Paraprofessionals,In-District,445191,477915,923106,590,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TSER,Other Teaching Services,2340,Librarians/Media Center Directors,In-District,142541,0,142541,91,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,category,TSER,Other Teaching Services,TSER,Other Teaching Services,,1254640,487484,1742124,1114,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,total,TTPP,"Expenditure (Admin, Instruction, Operations)",TTPP,"Expenditure (Admin, Instruction, Operations)",,19400624,2019663,21420287,12424,yes,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9100,Tuition to Mass. Schools,Out-of-District,11889,0,11889,0,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9110,Tuition for School Choice,Out-of-District,524349,0,524349,0,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9120,Tuition to Commonwealth Charter Schools,Out-of-District,517459,0,517459,0,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9300,Tuition to Non-Public Schools,Out-of-District,1114849,602957,1717806,0,,sources/state-dese/district-expenditures-by-function.xlsx
2015,01620000,Lunenburg,detail,TUIT,Payments to Out-of-District Schools,9400,Tuition to Collaboratives,Out-of-District,335187,41820,377007,0,,sources/state-dese/district-expenditures-by-function.xlsx
2016,01620000,Lunenburg,detail,ADMN,Administration,1110,School Committee,In-District,5136,0,5136,3,,sources/state-dese/district-expenditures-by-function.xlsx
2016,01620000,Lunenburg,detail,ADMN,Administration,1210,Superintendent,In-District,196205,5321,201526,129,,sources/state-dese/district-expenditures-by-function.xlsx
2016,01620000,Lunenburg,detail,ADMN,Administration,1220,Assistant Superintendents,In-District,0,26189,26189,17,,sources/state-dese/district-expenditures-by-function.xlsx
2016,01620000,Lunenburg,detail,ADMN,Administration,1230,Other District-Wide Administration,In-District,7681,10500,18181,12,,sources/state-dese/district-expenditures-by-function.xlsx
2016,01620000,Lunenburg,detail,ADMN,Administration,1410,Business and Finance,In-District,224019,0,224019,143,,sources/state-dese/district-expenditures-by-function.xlsx
2016,01620000,Lunenburg,detail,ADMN,Administration,1420,Human Resources and Benefits,In-District,43260,0,43260,28,,sources/state-dese/district-expenditures-by-function.xlsx
