fy,lea,district,level,func_cat_code,func_cat_desc,func_code,func_desc,in_out_dist,gen_fund,grants_revolving,total,per_pupil,reconciles,doc_id
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,384348,14860,399208,329,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,305165,7500,312665,258,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,226603,7065,233668,193,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,82316,0,82316,68,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4220,Maintenance of Buildings,In-District,106283,0,106283,88,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4230,Maintenance of Equipment,In-District,2215,0,2215,2,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,OPMN,Operations and Maintenance,OPMN,Operations and Maintenance,,1106932,29424,1136356,936,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,PDEV,Professional Development,2357,"Prof. Dev. Stipends, Providers, Expenses",In-District,14204,77616,91820,76,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,PDEV,Professional Development,PDEV,Professional Development,,14204,77616,91820,76,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,SERV,Pupil Services,3100,Attendance and Parent Liaison Services,In-District,0,192556,192556,159,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,SERV,Pupil Services,3200,Medical/Health Services,In-District,116765,0,116765,96,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,SERV,Pupil Services,3300,Transportation Services,In-District,435188,0,435188,359,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,SERV,Pupil Services,3400,Food Services,In-District,0,450741,450741,371,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,SERV,Pupil Services,3510,Athletics,In-District,119426,59869,179294,148,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,SERV,Pupil Services,3520,Other Student Activities,In-District,40869,0,40869,34,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,SERV,Pupil Services,SERV,Pupil Services,,712248,703166,1415414,1166,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TCHR,Teachers,2305,"Teachers, Classroom",In-District,3399257,1017209,4416466,3639,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TCHR,Teachers,2310,"Teachers, Specialists",In-District,974102,98509,1072611,884,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,TCHR,Teachers,TCHR,Teachers,,4373359,1115718,5489077,4522,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TSER,Other Teaching Services,2320,Medical/ Therapeutic Services,In-District,57879,0,57879,48,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TSER,Other Teaching Services,2325,"Substitutes, Short-Term",In-District,53312,0,53312,44,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TSER,Other Teaching Services,2330,Paraprofessionals,In-District,269239,227968,497207,410,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TSER,Other Teaching Services,2340,Librarians/Media Center Directors,In-District,137152,0,137152,113,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,TSER,Other Teaching Services,TSER,Other Teaching Services,,517582,227968,745550,614,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,total,TTPP,"Expenditure (Admin, Instruction, Operations)",TTPP,"Expenditure (Admin, Instruction, Operations)",,13160487,3476573,16637060,12315,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9100,Tuition to Mass. Schools,Out-of-District,607757,0,607757,0,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9110,Tuition for School Choice,Out-of-District,197892,0,197892,0,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9120,Tuition to Commonwealth Charter Schools,Out-of-District,339210,0,339210,0,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9300,Tuition to Non-Public Schools,Out-of-District,168933,386760,555693,0,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,TUIT,Payments to Out-of-District Schools,9400,Tuition to Collaboratives,Out-of-District,572173,205463,777636,0,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,ADMN,Administration,1110,School Committee,In-District,12413,0,12413,10,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,ADMN,Administration,1210,Superintendent,In-District,188007,0,188007,156,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,ADMN,Administration,1410,Business and Finance,In-District,287197,0,287197,238,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,ADMN,Administration,1430,Legal Service for School Committee,In-District,17558,0,17558,15,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,ADMN,Administration,1450,District-wide Information Mgmt & Tech,In-District,171334,0,171334,142,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,ADMN,Administration,ADMN,Administration,,676510,0,676510,561,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5100,Employer Retirement Contributions,In-District,377822,0,377822,314,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5200,Insurance for Active Employees,In-District,1600436,0,1600436,1328,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5250,Insurance for Retired School Employees,In-District,419214,0,419214,348,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5260,Other Non-Employee Insurance,In-District,24955,0,24955,21,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5350,Rental Lease of Buildings,In-District,0,59570,59570,49,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,BENE,"Insurance, Retirement Programs and Other",BENE,"Insurance, Retirement Programs and Other",,2422427,59570,2481997,2060,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2710,Guidance incl Adjustment Counselors,In-District,266479,93760,360239,299,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2800,Psychological Services,In-District,74037,0,74037,61,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,GUID,"Guidance, Counseling and Testing",GUID,"Guidance, Counseling and Testing",,340516,93760,434276,360,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,rollup,IIII,In-district Expenditure,IIII,In-district Expenditure,,10731441,3114403,13845844,11491,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,LDRS,Instructional Leadership,2110,Curriculum Directors  (Supervisory),In-District,263704,0,263704,219,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,LDRS,Instructional Leadership,2210,School Leadership,In-District,458547,185497,644044,535,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,LDRS,Instructional Leadership,2250,Admin. Technology (School Level),In-District,10599,178400,188999,157,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,LDRS,Instructional Leadership,2315,Instructional Coordinators (Non-Supervisory),In-District,60380,0,60380,50,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,LDRS,Instructional Leadership,LDRS,Instructional Leadership,,793231,363897,1157128,960,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2410,"Textbooks, Related Software/Media/Matls",In-District,69211,0,69211,57,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2415,Other Instructional Matls (Libraries),In-District,7679,0,7679,6,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2420,Instructional Equipment,In-District,19907,0,19907,17,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2440,Other Instructional Services,In-District,4535,0,4535,4,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,MATL,"Instructional Materials, Equipment and Technology",MATL,"Instructional Materials, Equipment and Technology",,101332,0,101332,84,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,ODTR,Out-of-district Transportation,ODTR,Out-of-district Transportation,,285357,0,285357,0,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,rollup,OODD,Out-of-district Expenditure,OODD,Out-of-district Expenditure,,2609440,235835,2845275,0,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,403035,34445,437480,363,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,96548,17500,114048,95,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,248729,17500,266229,221,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,53751,0,53751,45,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,OPMN,Operations and Maintenance,4220,Maintenance of Buildings,In-District,91679,0,91679,76,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,OPMN,Operations and Maintenance,4230,Maintenance of Equipment,In-District,2757,0,2757,2,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,OPMN,Operations and Maintenance,OPMN,Operations and Maintenance,,896498,69445,965943,802,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,PDEV,Professional Development,2357,"Prof. Dev. Stipends, Providers, Expenses",In-District,44640,7375,52015,43,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,PDEV,Professional Development,PDEV,Professional Development,,44640,7375,52015,43,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,SERV,Pupil Services,3100,Attendance and Parent Liaison Services,In-District,0,77384,77384,64,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,SERV,Pupil Services,3200,Medical/Health Services,In-District,126801,0,126801,105,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,SERV,Pupil Services,3300,Transportation Services,In-District,390217,0,390217,324,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,SERV,Pupil Services,3400,Food Services,In-District,0,458207,458207,380,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,SERV,Pupil Services,3510,Athletics,In-District,112954,69245,182198,151,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,SERV,Pupil Services,3520,Other Student Activities,In-District,40413,0,40413,34,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,SERV,Pupil Services,SERV,Pupil Services,,670385,604836,1275221,1058,yes,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TCHR,Teachers,2305,"Teachers, Classroom",In-District,3328888,1370609,4699497,3900,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,detail,TCHR,Teachers,2310,"Teachers, Specialists",In-District,1014443,199825,1214268,1008,,sources/state-dese/district-expenditures-by-function.xlsx
2010,00190000,Ayer,category,TCHR,Teachers,TCHR,Teachers,,4343331,1570434,5913765,4908,yes,sources/state-dese/district-expenditures-by-function.xlsx
