role_raw,grade_or_dept,rows,role_category,role_grade,classified_by
Dept. Liaison,Math,5,administrator,,director
Dept. Liaison,Social Studies,5,administrator,,director
Director,Facilities & Grounds,5,administrator,,director
Executive Secretary,Superintendent of Schools,5,secretary,,clerical
Gr. 3 Para,Grade level Paraprofessionals,5,paraprofessional,3,para-title
Gr. 3 Para,Paraprofessionals,5,paraprofessional,3,para-title
Gr. 4 Para,Grade level Paraprofessionals,5,paraprofessional,4,para-title
Gr. 4 Teacher,Learning Center/Special Education,5,teacher,4,teacher-title
Gr. 5 Para,Grade level Paraprofessionals,5,paraprofessional,5,para-title
Gr. 5 Para,Paraprofessionals,5,paraprofessional,5,para-title
Grades 6 & 7,Guidance,5,counselor,6,heading-guidance
MS Secretary,Administration:,5,secretary,,clerical
Maintenance,Facilities & Grounds,5,custodian,,custodial
Music,Special Areas,5,teacher,,heading-department
Nurse,Administration/Office/Nurse,5,nurse,,nurse
Office Clerk,Central Office,5,secretary,,clerical
Phys. Therap,Specialists,5,specialist,,heading-specialists
Psychologist,Guidance,5,psychologist,,psychologist
School Nurse,Central Office,5,nurse,,nurse
Social Worker,Special Services,5,social_worker,,social-worker
Speech/Lang.,Special Services,5,speech_therapist,,speech
Superintendent,Superintendent of Schools,5,administrator,,superintendent
Teacher,Grade 3,5,teacher,3,teacher-title
Teacher,Grade 4,5,teacher,4,teacher-title
Teacher,Grade 5,5,teacher,5,teacher-title
Teacher,K1,5,teacher,K,teacher-title
Teacher,K2,5,teacher,K,teacher-title
Teacher,K3,5,teacher,K,teacher-title
Teacher,K4,5,teacher,K,teacher-title
Teacher,Language Arts,5,teacher,,teacher-title
Teacher,Science,5,teacher,,teacher-title
Teacher,Second Grade Teachers,5,teacher,2,teacher-title
Teacher,Social Studies,5,teacher,,teacher-title
Teacher,Special Services,5,teacher,,teacher-title
Teachers:,,5,unknown,,no-rule-matched
para,Cafeteria:,5,paraprofessional,,para-title
,Admin/Office/Nurse,4,nurse,,heading-nurse
,Administration/Office/Nurse,4,nurse,,heading-nurse
,Custodial Staff:,4,custodian,,heading-custodial
,ELL Teacher,4,teacher,,heading-department
,Foreign Language:,4,teacher,,heading-department
,Gth Grade:,4,teacher,,heading-department
,High School Science:,4,teacher,,heading-department
,High School World Language:,4,teacher,,heading-department
,ILC,4,unknown,,no-rule-matched
,Math:,4,teacher,,heading-department
,School Psychologist,4,unknown,,no-rule-matched
,Special Ed. High School:,4,unknown,,no-rule-matched
(Art) MS,Specialists: Middle School,4,specialist,,heading-specialists
1E,,4,unknown,1,no-rule-matched
2B,Second Grade Teachers,4,teacher,2,heading-department
2C,Second Grade Teachers,4,teacher,2,heading-department
2D,Second Grade Teachers,4,teacher,2,heading-department
2F,Second Grade Teachers,4,teacher,2,heading-department
6th DH,Special Ed. Middle School:,4,administrator,,director
AD,Unified Arts,4,teacher,,heading-department
Accounting/Data Reporting,School Personnel/Business Services,4,teacher,,heading-department
Achieve Para,Achieve/TLC,4,paraprofessional,,para-title
Admin Secty,,4,unknown,,no-rule-matched
Admin. Secretary,Special Services,4,secretary,,clerical
Assistant Principal,Administration/Office/Nurse,4,administrator,,principal
Asst. Principal,,4,administrator,,principal
Asst. Principal,Administration/Office/Nurse,4,administrator,,principal
Athletic Director,,4,administrator,,director
Athletic Secretary,Unified Arts,4,secretary,,clerical
BCBA,Special Services,4,specialist,,interventionist
Café Employee,Cafeteria,4,cafeteria,,heading-cafeteria
Chairperson,Lunenburg School Committee,4,unknown,,no-rule-matched
DH,6th Grade:,4,administrator,,director
DH,7th Grade:,4,administrator,,director
DH,8th Grade:,4,administrator,,director
Director,Special Services,4,administrator,,director
District-wide,Facilities & Grounds,4,custodian,,heading-custodial
"ELL Teacher, 119",Learning Center/Special Education,4,teacher,,teacher-title
Grades 4 & 5,Guidance,4,counselor,4,heading-guidance
Guidance,Guidance,4,counselor,,counselor
LMHS Principal,Administration:,4,administrator,,principal
LMS Assistant Principal,Administration:,4,administrator,,principal
Lunenburg Primary School Café Manager,Cafeteria Services,4,cafeteria,,heading-cafeteria
Manager,School Personnel/Business Services,4,teacher,,heading-department
Occup Therap.,Specialists,4,specialist,,heading-specialists
Occupational Therapist,Learning Center/Special Education,4,therapist,,ot-pt
Office Clerk,,4,secretary,,clerical
PE,Specialists: Middle School,4,specialist,,heading-specialists
PE,Specials,4,unknown,,no-rule-matched
Para,First Grade Teachers,4,paraprofessional,1,para-title
Para,Preschool,4,paraprofessional,PK,para-title
Para,Second Grade Teachers,4,paraprofessional,2,para-title
Para,Special Education,4,paraprofessional,,para-title
Paraprofessional,Achieve,4,paraprofessional,,para-title
Paraprofessional,Kindergarten,4,paraprofessional,K,para-title
Paraprofessional,Kindergarten:,4,paraprofessional,K,para-title
Paraprofessional,Pre-School,4,paraprofessional,PK,para-title
Paraprofessional,Pre-School:,4,paraprofessional,PK,para-title
Parents,Members of the Council for the 2011 - 2012 school year were:,4,unknown,,no-rule-matched
Parents,Primary School Parent/Teacher Advisory Council,4,unknown,,no-rule-matched
Red,Grade 4,4,teacher,4,heading-department
Red,Grade 5,4,teacher,5,heading-department
Secretary,Lunenburg School Committee,4,secretary,,clerical
Secretary Support,Administration/Office/Nurse,4,secretary,,clerical
TLC Para,Achieve/TLC,4,paraprofessional,,para-title
Teacher,Foreign Language,4,teacher,,teacher-title
Teacher,K5,4,teacher,K,teacher-title
Teacher,Pre- School,4,teacher,,teacher-title
Teachers,Primary School Parent/Teacher Advisory Council,4,unknown,,no-rule-matched
Technician,Technology/Network Service,4,technology,,heading-technology
Vice-Chairperson,Lunenburg School Committee,4,unknown,,no-rule-matched
,Custodial:,3,custodian,,heading-custodial
,Health Office,3,teacher,,heading-department
,High School History:,3,teacher,,heading-department
,Library Media/Technology,3,technology,,heading-technology
,Special Ed. Middle School:,3,unknown,,no-rule-matched
,Transportation Services,3,unknown,,no-rule-matched
(Behaviorist),Guidance: Middle School,3,counselor,,heading-guidance
(Library),Specialists: Middle School,3,librarian,,library
(Psychologist),Guidance: Middle School,3,psychologist,,psychologist
(Speech),Guidance: Middle School,3,speech_therapist,,speech
(nurse),Health Office:,3,nurse,,nurse
102/Red,Grade 5,3,teacher,5,heading-department
202/White,Grade 4,3,teacher,4,heading-department
205/Red,Grade 4,3,teacher,4,heading-department
207/Red,Grade 4,3,teacher,4,heading-department
2A,Second Grade Teachers,3,teacher,2,heading-department
3A,Third Grade,3,teacher,3,heading-department
3B,Third Grade,3,teacher,3,heading-department
3C,Third Grade,3,teacher,3,heading-department
3D,Third Grade,3,teacher,3,heading-department
3E,Third Grade,3,teacher,3,heading-department
510,Cafeteria,3,cafeteria,,heading-cafeteria
6th,Special Ed. Middle School:,3,unknown,,no-rule-matched
Achieve Assistants/Tutors,SPECIAL SERVICES,3,paraprofessional,,tutor-title
Admin Secretary,Central Office,3,secretary,,clerical
Admin. Assistant,,3,secretary,,clerical
Aide,Kindergarten,3,paraprofessional,K,aide-title
Art,Special Areas,3,teacher,,heading-department
Assistant Principal,Administration/Office,3,administrator,,principal
Athletic Secretary,,3,secretary,,clerical
BCBA,,3,specialist,,interventionist
Cafe,Cafeteria,3,cafeteria,,heading-cafeteria
Cafeteria Mgr.,Cafeteria,3,cafeteria,,food-service
Custodian,Custodians,3,custodian,,custodial
Dept. Liaison,Science,3,administrator,,director
Dept. Liaison,Special Services,3,administrator,,director
Dept. Liaison,Unified Arts,3,administrator,,director
Director,Technology/Network Service,3,administrator,,director
District-wide Utility/Custodial,Facilities & Grounds,3,custodian,,custodial
Gr. 3 Teacher,Learning Center/Special Education,3,teacher,3,teacher-title
Gr. 6 Teacher,Learning Center/Special Education,3,teacher,6,teacher-title
Gr. 7 Teacher,Learning Center/Special Education,3,teacher,7,teacher-title
Grades 7 & 8,Guidance: Middle School,3,counselor,7,heading-guidance
Guidance Counselor,Central Office,3,counselor,,counselor
Head Custodian,Custodial,3,custodian,,custodial
Head Custodian,Custodians,3,custodian,,custodial
ID,First Grade Teachers,3,teacher,1,heading-department
IT Dept.,,3,unknown,,no-rule-matched
K1 - Teacher,Kindergarten,3,teacher,K,teacher-title
K2 - Teacher,Kindergarten,3,teacher,K,teacher-title
K3 - Teacher,Kindergarten,3,teacher,K,teacher-title
K4 - Teacher,Kindergarten,3,teacher,K,teacher-title
Learning Center,SPECIAL SERVICES,3,specialist,,heading-special-services
Library,Special Areas,3,librarian,,library
Library/Media,,3,librarian,,library
Media Specialist,,3,librarian,,library
Network Administrator,Technology/Network Service,3,technology,,technology
PE/Health,Special Areas,3,teacher,,heading-department
Parents,School Council,3,unknown,,no-rule-matched
Parents:,,3,unknown,,no-rule-matched
Parents:,School Council,3,unknown,,no-rule-matched
Psychologist,,3,psychologist,,psychologist
Psychologist,Health,3,psychologist,,psychologist
Red,,3,unknown,,no-rule-matched
SLP,Learning Center/Special Education,3,speech_therapist,,speech
STEM,Special Areas,3,teacher,,heading-department
School Psych,Special Services,3,psychologist,,psychologist
Social Worker,,3,social_worker,,social-worker
Social Worker,Health,3,social_worker,,social-worker
Teacher,Achieve:,3,teacher,,teacher-title
Teachers:,School Council,3,unknown,,no-rule-matched
Title One Tutor,Paraprofessionals_,3,paraprofessional,,tutor-title
Tutor/208,MTSS,3,paraprofessional,,tutor-title
para,,3,paraprofessional,,para-title
para,Achieve: Middle School,3,paraprofessional,,para-title
,Achieve:High School,2,specialist,,heading-special-services
,Athletic Director,2,unknown,,no-rule-matched
,Athletic/Secretary,2,secretary,,heading-clerical
,Behavioral Health:,2,teacher,,heading-department
,Behaviorist:,2,unknown,,no-rule-matched
,Custodians:,2,custodian,,heading-custodial
,Ext Day/ELC,2,unknown,,no-rule-matched
,Facilities & Custodians,2,custodian,,heading-custodial
,GUIDANCE,2,counselor,,heading-guidance
,Guidance Secretary,2,secretary,,heading-clerical
,Head Custodian,2,custodian,,heading-custodial
,Health Office:,2,teacher,,heading-department
,History:,2,teacher,,heading-department
,Library / Media,2,unknown,,no-rule-matched
,Library:,2,unknown,,no-rule-matched
,MITSS,2,specialist,,heading-special-services
,Physical Education /Health,2,teacher,,heading-department
,Resource Officer: (Library Office),2,unknown,,no-rule-matched
,SRO,2,unknown,,no-rule-matched
,STEM,2,unknown,,no-rule-matched
,culaance,2,unknown,,no-rule-matched
(Art),Unified Arts:High School,2,teacher,,heading-department
(LMS Social Worker),Guidance: Middle School,2,social_worker,,social-worker
(LPN),Health Office:,2,teacher,,heading-department
(PE),Specials,2,unknown,,no-rule-matched
(PE),Unified Arts:High School,2,teacher,,heading-department
103/Blue,Grade 5,2,teacher,5,heading-department
107/White,Grade 5,2,teacher,5,heading-department
114 Art,SPECIAL AREAS,2,teacher,,heading-department
118 Music,SPECIAL AREAS,2,teacher,,heading-department
1:1 Para,Achieve Programs,2,paraprofessional,,para-title
1:1 Para,Paraprofessionals,2,paraprofessional,,para-title
1:1 Paraprofessional,Learning Ctr./SPED,2,paraprofessional,,para-title
1A,,2,unknown,1,no-rule-matched
1A,First Grade,2,teacher,1,heading-department
1B,,2,unknown,1,no-rule-matched
1B,First Grade,2,teacher,1,heading-department
1C,First Grade,2,teacher,1,heading-department
1D,,2,unknown,1,no-rule-matched
1D,First Grade,2,teacher,1,heading-department
1F,First Grade Teachers,2,teacher,1,heading-department
1st Grade,Paraprofessionals,2,paraprofessional,,heading-paras
203/Blue,Grade 4,2,teacher,4,heading-department
209,Grade 3,2,teacher,3,heading-department
210,Grade 3,2,teacher,3,heading-department
211,Grade 3,2,teacher,3,heading-department
212,Grade 3,2,teacher,3,heading-department
213,Grade 3,2,teacher,3,heading-department
2A,Second Grade,2,teacher,2,heading-department
2B,Second Grade,2,teacher,2,heading-department
2C,Second Grade,2,teacher,2,heading-department
2D,Second Grade,2,teacher,2,heading-department
2F,Second Grade,2,teacher,2,heading-department
2nd/grade,Paraprofessionals,2,paraprofessional,,heading-paras
2nd/grade,Paras,2,paraprofessional,,heading-paras
ACH Teacher,Achieve,2,teacher,,teacher-title
AD,Athletic Director:,2,unknown,,no-rule-matched
AD Secretary,Athletic Director:,2,secretary,,clerical
Admin Secty,Central Office,2,administrator,,heading-admin
Admin. Secretary,Administration:,2,secretary,,clerical
Administrative Assistant,,2,unknown,,no-rule-matched
