role_raw,grade_or_dept,rows,role_category,role_grade,classified_by
108 Library/Media Center,SPECIAL AREAS,1,librarian,,library
109 Science/Social Studies,EIGHTH GRADE,1,teacher,8,heading-department
111 Science/Social Studies,SEVENTH GRADE,1,teacher,7,heading-department
113 Grade 7 Teacher,LEARNING CENTER,1,teacher,7,teacher-title
119 Technology Education,SPECIAL AREAS,1,technology,,technology
15,,1,unknown,,no-rule-matched
1:1 Aide,,1,paraprofessional,,aide-title
1:1 Tutor,,1,paraprofessional,,tutor-title
1:2 Para Grade 4,Paraprofessionals_,1,paraprofessional,4,para-title
1A,First Grade:,1,teacher,1,heading-department
1B,First Grade:,1,teacher,1,heading-department
1C,,1,unknown,1,no-rule-matched
1C,First Grade:,1,teacher,1,heading-department
1D,First Grade:,1,teacher,1,heading-department
1E,First Grade,1,teacher,1,heading-department
1E,First Grade:,1,teacher,1,heading-department
1st Grade,Paras,1,paraprofessional,,heading-paras
1st grade,Paras,1,paraprofessional,,heading-paras
20,GRADE 2,1,teacher,2,heading-department
201 Math/Social Studies,SIXTH GRADE,1,teacher,6,heading-department
201/Blue,Grade 4,1,teacher,4,heading-department
201/White,Grade 4,1,teacher,4,heading-department
202 Science/Social Studies,SIXTH GRADE,1,teacher,6,heading-department
203 Grade 8 Teacher,LEARNING CENTER,1,teacher,8,teacher-title
203/White,Grade 4,1,teacher,4,heading-department
204 ELA/Social Studies (WHITE),SIXTH GRADE,1,teacher,6,heading-department
204/Blue,Grade 4,1,teacher,4,heading-department
205,FOREIGN LANGUAGE,1,teacher,,heading-department
209 Science/Social Studies (RED),SIXTH GRADE,1,teacher,6,heading-department
210,FOREIGN LANGUAGE,1,teacher,,heading-department
211 ELA/Social Studies,SIXTH GRADE,1,teacher,6,heading-department
212 Math/Social Studies,SIXTH GRADE,1,teacher,6,heading-department
213 Social Studies/Science (RED),SEVENTH GRADE,1,teacher,7,heading-department
215,Grade 3,1,teacher,3,heading-department
215 Math/Science,SEVENTH GRADE,1,teacher,7,heading-department
216 ELA/Science,SEVENTH GRADE,1,teacher,7,heading-department
2A,GRADE 2,1,teacher,2,heading-department
2A,Second Grade:,1,teacher,2,heading-department
2A,secona Grade,1,teacher,2,heading-department
2B,GRADE 2,1,teacher,2,heading-department
2B,Second Grade:,1,teacher,2,heading-department
2B,secona Grade,1,teacher,2,heading-department
2B - Teacher,econd Grade Teacher,1,teacher,,teacher-title
2C,,1,unknown,2,no-rule-matched
2C,Second Grade:,1,teacher,2,heading-department
2C,secona Grade,1,teacher,2,heading-department
2C - Teacher,econd Grade Teacher,1,teacher,,teacher-title
2D,,1,unknown,2,no-rule-matched
2D,GRADE 2,1,teacher,2,heading-department
2D,Second Grade:,1,teacher,2,heading-department
2D,secona Grade,1,teacher,2,heading-department
2D - Teacher,econd Grade Teacher,1,teacher,,teacher-title
2E,Second Grade Teachers,1,teacher,2,heading-department
2F,,1,unknown,,no-rule-matched
2F,GRADE 2,1,teacher,2,heading-department
2F,Second Grade:,1,teacher,2,heading-department
2F,secona Grade,1,teacher,,heading-department
2nd Grade,Paraprofessionals,1,paraprofessional,,heading-paras
3A,,1,unknown,3,no-rule-matched
3A,Third Grade:,1,teacher,3,heading-department
3B,,1,unknown,3,no-rule-matched
3B,Third Grade:,1,teacher,3,heading-department
3C,,1,unknown,3,no-rule-matched
3C,Third Grade:,1,teacher,3,heading-department
3D,,1,unknown,3,no-rule-matched
3D,Third Grade:,1,teacher,3,heading-department
3E,,1,unknown,3,no-rule-matched
3E,Third Grade:,1,teacher,3,heading-department
4A,,1,unknown,4,no-rule-matched
4B,,1,unknown,4,no-rule-matched
4C,,1,unknown,4,no-rule-matched
4D,,1,unknown,4,no-rule-matched
4E,,1,unknown,4,no-rule-matched
5A,,1,unknown,5,no-rule-matched
5A - Blue,Grade 5,1,teacher,5,heading-department
5B,,1,unknown,5,no-rule-matched
5B - Blue,Grade 5,1,teacher,5,heading-department
5C - Blue,Grade 5,1,teacher,5,heading-department
5C.,,1,unknown,,no-rule-matched
5D,,1,unknown,5,no-rule-matched
5D - White,Grade 5,1,teacher,5,heading-department
5E,,1,unknown,5,no-rule-matched
5E - White,Grade 5,1,teacher,5,heading-department
6th                   DH,Special Ed. Middle School:,1,administrator,,director
8-9,Guidance: High School,1,counselor,,heading-guidance
8-9,Guidance: Middle School,1,counselor,,heading-guidance
A,First Grade Teachers,1,teacher,1,heading-department
A,Grade 4,1,teacher,4,heading-department
A - Teache,econd Grade Teacher,1,teacher,,heading-department
ACH Teacher,,1,teacher,,teacher-title
ACH Teacher,Achieve/TLC,1,teacher,,teacher-title
ACH Teacher,Pre-School,1,teacher,PK,teacher-title
AD,Athletic Director,1,unknown,,no-rule-matched
Access,Paraprofessionals_,1,paraprofessional,,heading-paras
"Access Para, 112",Paraprofessionals,1,paraprofessional,,para-title
Accounting/Data Reporting Services Mgr.,School Personnel/Business Services,1,teacher,,heading-department
Accounts Payable Clerk,School Personnel/Business Services,1,secretary,,clerical
Acheive Teacher,Pre-School,1,teacher,PK,teacher-title
Achieve I Teacher,SPECIAL EDUCATION,1,teacher,,teacher-title
Achieve Teacher,Achieve Programs,1,teacher,,teacher-title
Achieve Teacher,Pre-School,1,teacher,PK,teacher-title
Achieve Teacher,SPECIAL SERVICES,1,teacher,,teacher-title
Adjustment Counselor,Admin/Office/Nurse,1,counselor,,counselor
Adjustment Counselor 9-12,Guidance:High School,1,counselor,,counselor
Adm. Assist.,PRESCHOOL,1,teacher,PK,heading-department
Adm. Secretary,Admin/Office/Nurse,1,secretary,,clerical
Adm. Secretary,Administration/Nurse,1,secretary,,clerical
Adm. Secretary,Administration/Office,1,secretary,,clerical
Adm. Secretary 6-12,Administration/Office/Nurse,1,secretary,,clerical
Admin. Asst.,,1,unknown,,no-rule-matched
Admin. Secretary,Administration/Office/Nurse,1,secretary,,clerical
Admin. Secretary,OFFICE,1,secretary,,clerical
Admin. Secty.,,1,unknown,,no-rule-matched
Admin. Secty.,Central Office,1,administrator,,heading-admin
Admin. Secty.,Central Office:,1,administrator,,heading-admin
Administrative Secretary,,1,secretary,,clerical
Administrative Secretary,Office of the Superintendent of Schools,1,secretary,,clerical
Administrative Secretary,Special Education Services,1,secretary,,clerical
Aide,,1,paraprofessional,,aide-title
Aide,Pre- School,1,paraprofessional,,aide-title
All 6th & A-K 8th,Guidance: Middle School,1,counselor,K,heading-guidance
All 7th & L-Z 8th,Guidance: Middle School,1,counselor,,heading-guidance
Art,,1,unknown,,no-rule-matched
Art,SPECIAL AREAS,1,teacher,,heading-department
Art,Unified Arts,1,teacher,,heading-department
Art MS,Specialists: Middle School,1,specialist,,heading-specialists
Assistant Principal,Admin/Office/Nurse,1,administrator,,principal
Assistant Principal,Leadership,1,administrator,,principal
Assistant Principal,Primary School Parent/Teacher Advisory Council,1,administrator,,principal
Assistant Principal:,,1,administrator,,principal
Asst. Principal,Administration/Nurse,1,administrator,,principal
Asst. Principal,Central Office:,1,administrator,,principal
Asst. Principal 6-12,Administration/Office/Nurse,1,administrator,,principal
Athletic Director,Unified Arts,1,administrator,,director
Athletic Sec.,Unified Arts,1,teacher,,heading-department
Athletic/Secretary,,1,secretary,,clerical
Augment. Spec.,Specialists,1,specialist,,heading-specialists
Augment. Spec.,Specialists:,1,specialist,,heading-specialists
B,First Grade Teachers,1,teacher,1,heading-department
B,Grade 4,1,teacher,4,heading-department
BCB,Specialists,1,specialist,,heading-specialists
BCBA,Learning Center/Sp Ed,1,specialist,,interventionist
"BCBA, 109",,1,specialist,,interventionist
"BCBA, 111",Learning Center/Special Education,1,specialist,,interventionist
Behavior Specialis,SPECIAL EDUCATION,1,specialist,,heading-special-services
Behaviorist,Guidance: Middle School,1,counselor,,heading-guidance
Business Manager,Leadership,1,administrator,,business-office
COTA,,1,therapist,,ot-pt
COTA,SPECIAL EDUCATION,1,therapist,,ot-pt
COTA,Specialists:,1,therapist,,ot-pt
Cafe.,Cafeteria,1,cafeteria,,heading-cafeteria
Cafeteria Manager,,1,cafeteria,,food-service
Cafeteria Mgr.,Cafeteria:,1,cafeteria,,food-service
Café Monitor,Cafeteria,1,cafeteria,,heading-cafeteria
Chairperson,Lunenburg School Committee:,1,unknown,,no-rule-matched
Clerk,,1,secretary,,clerical
Clerk,Administration/Office/Nurse,1,secretary,,clerical
Clerk,Student Services Office,1,secretary,,clerical
Clerk (part-time),Special Education Services,1,secretary,,clerical
Community Member,Members of the Council for the 2011 - 2012 school year were:,1,unknown,,no-rule-matched
Community Representative,Primary School Parent/Teacher Advisory Council,1,unknown,,no-rule-matched
Community Representative:,School Council,1,unknown,,no-rule-matched
Counselor,,1,counselor,,counselor
Counselor,Central Office,1,counselor,,counselor
Counselor / ICS,,1,counselor,,counselor
Counselor / LCSW,,1,social_worker,,social-worker
Counselor / LICSW,Central Office,1,social_worker,,social-worker
Counselor / LSW,,1,counselor,,counselor
Counselor 9-12 (H-N),Guidance:High School,1,counselor,,counselor
Counselor DH 9-12 (A-G),Guidance:High School,1,administrator,,director
Custodian,,1,custodian,,custodial
D,Grade 4,1,teacher,4,heading-department
DH,English:,1,administrator,,director
DH,Foreign Language:,1,administrator,,director
DH,Gth Grade:,1,administrator,,director
DH,High School English:,1,administrator,,director
DH,High School History:,1,administrator,,director
DH,High School Math:,1,administrator,,director
DH,High School Science:,1,administrator,,director
DH,High School World Language:,1,administrator,,director
DH,History:,1,administrator,,director
DH,Math:,1,administrator,,director
DH,Science:,1,administrator,,director
Dean of Students,Administration/Office/Nurse,1,nurse,,heading-nurse
Dean of Students,OFFICE,1,unknown,,no-rule-matched
Dean of Students(.4),Administration/Office/Nurse,1,nurse,,heading-nurse
Department Liaison,Foreign Language,1,teacher,,heading-department
Department Liaison,Guidance,1,counselor,,heading-guidance
Department Liaison,Language Arts,1,teacher,,heading-department
Department Liaison,Math,1,teacher,,heading-department
Department Liaison,Unified Arts,1,teacher,,heading-department
Dept. Liaison,,1,administrator,,director
Dept. Liason,Guidance,1,counselor,,heading-guidance
Dir. Teaching/Learning,Administration:,1,administrator,,heading-admin
Director,Ext Day/ELC,1,administrator,,director
Director,Office of Facilities & Grounds,1,administrator,,director
Director,School Business/Human Resources,1,administrator,,director
Director (shared with the Town),Technology/Network Services,1,administrator,,director
Director of Academic Programs,Leadership,1,administrator,,director
Director of Facilities,Facilities & Custodians,1,administrator,,director
Director of Instruction,,1,administrator,,director
Director of Vocational Programs,Leadership,1,administrator,,director
District Health &Safety,Health Office:,1,teacher,,heading-department
District-wide,Utility/Custodial,1,custodian,,heading-custodial
District-wide Utility/Custodial,Office of Facilities & Grounds,1,custodian,,custodial
E,Grade 4,1,teacher,4,heading-department
E - Teache,econd Grade Teacher,1,teacher,,heading-department
ELL,Specialists,1,specialist,,heading-specialists
ELL Specialist,SPECIAL EDUCATION,1,specialist,,interventionist
ELL Teacher,ENGLISH LANGUAGE LEARNERS (ELL),1,teacher,,teacher-title
Extended Day & Early Learning Center,Extended Day/School Linked Services,1,unknown,,no-rule-matched
Gr. 3 Para,Paraprofessionals_,1,paraprofessional,3,para-title
Gr. 3 Para One-One,Paraprofessionals,1,paraprofessional,3,para-title
Gr. 3 Teacher,Learning Center/Sp Ed,1,teacher,3,teacher-title
"Gr. 3 Teacher, 214",,1,teacher,3,teacher-title
Gr. 3/4 Para,Paraprofessionals_,1,paraprofessional,3,para-title
Gr. 4 Paraprofessional,Learning Ctr./SPED,1,paraprofessional,4,para-title
Gr. 4 Teacher,Learning Center/Sp Ed,1,teacher,4,teacher-title
Gr. 4 Teacher,Learning Ctr./SPED,1,teacher,4,teacher-title
"Gr. 4 Teacher, 206",,1,teacher,4,teacher-title
Gr. 4 Teacher/MTSS,Learning Center/Special Education,1,teacher,4,teacher-title
Gr. 4 Tutor,Learning Center/Special Education,1,paraprofessional,4,tutor-title
Gr. 4/5 Para,Paraprofessionals,1,paraprofessional,4,para-title
Gr. 4/5 Tutor,Learning Center/Special Education,1,paraprofessional,4,tutor-title
Gr. 5 Para,Paraprofessionals_,1,paraprofessional,5,para-title
Gr. 5 Paraprofessional,Learning Ctr./SPED,1,paraprofessional,5,para-title
Gr. 5 Teacher,Learning Center/Sp Ed,1,teacher,5,teacher-title
Gr. 5 Teacher,Learning Ctr./SPED,1,teacher,5,teacher-title
"Gr. 5 Teacher, 106",,1,teacher,5,teacher-title
Gr. 5 Tutor,Learning Center/Special Education,1,paraprofessional,5,tutor-title
Gr. 6 Teacher,Learning Center/ Spec. Ed.,1,teacher,6,teacher-title
Gr. 6 Teacher,Learning Ctr./SPED,1,teacher,6,teacher-title
Gr. 6 Tutor,Learning Center/Special Education,1,paraprofessional,6,tutor-title
Gr. 6-12,Media Center,1,unknown,6,no-rule-matched
Gr. 7 Paraprofessional,Learning Ctr./SPED,1,paraprofessional,7,para-title
Gr. 7 Teacher,Learning Center/ Spec. Ed.,1,teacher,7,teacher-title
Gr. 7 Teacher,Learning Ctr./SPED,1,teacher,7,teacher-title
Gr. 8 Teacher,Learning Center/ Spec. Ed.,1,teacher,8,teacher-title
Gr: 5 Para,Paraprofessionals_,1,paraprofessional,,para-title
Grade 1,,1,unknown,1,no-rule-matched
Grade 1,Special Education,1,specialist,1,heading-special-services
Grade 2,,1,unknown,2,no-rule-matched
Grade 2,Special Education,1,specialist,2,heading-special-services
Grade 6 1:1,Paraprofessionals,1,paraprofessional,6,heading-paras
Grade 7 Tutor,LEARNING CENTER,1,paraprofessional,7,tutor-title
Grade 8,Guidance,1,counselor,8,heading-guidance
Grade- 6 & 7-Red,,1,unknown,,no-rule-matched
Greenhouse Asst.,,1,unknown,,no-rule-matched
Greenhouse Manager,,1,unknown,,no-rule-matched
Guid. Counselor,,1,counselor,,counselor
Guid. Sec. & LMHS Registrar,Guidance:High School,1,counselor,,heading-guidance
Guid./Psych.,Central Office,1,administrator,,heading-admin
Guidance,Central Office,1,counselor,,counselor
Guidance,Central Office:,1,counselor,,counselor
Guidance,PRESCHOOL,1,counselor,PK,counselor
Guidance Counselor,,1,counselor,,counselor
Guidance Secretary,Administration/Office,1,counselor,,counselor
Guidance Secretary,Guidance: High School,1,counselor,,counselor
"Guidance, 216",Health,1,counselor,,counselor
Guidance/126,,1,counselor,,counselor
Guidance/126,Health & Behavioral Health,1,counselor,,counselor
HS Nurse,Health Office:,1,nurse,,nurse
HS Principal,Administration:,1,administrator,,principal
Head,Custodians,1,custodian,,heading-custodial
Head Custodian,,1,custodian,,custodial
High School,Health Office:,1,teacher,,heading-department
IA,First Grade Teachers,1,teacher,1,heading-department
IC,First Grade Teachers,1,teacher,1,heading-department
ID,,1,unknown,,no-rule-matched
IE,First Grade Teachers,1,teacher,1,heading-department
IF,,1,unknown,,no-rule-matched
IT Director,Technology/Network Service,1,administrator,,director
Instructional Services Director,Office of the Superintendent of Schools,1,administrator,,director
Interim Assistant Principal,Administration:,1,administrator,,principal
Interim Principal,,1,administrator,,principal
Interventionist/2 04,MTSS,1,specialist,,interventionist
Interventionist/20,MTSS,1,specialist,,interventionist
Interventionist/Room 104,MTSS,1,specialist,,interventionist
Ist Grade,Paraprofessionals,1,paraprofessional,,heading-paras
K-1,KINDERGARTEN,1,teacher,K,heading-department
K-2,KINDERGARTEN,1,teacher,K,heading-department
K1,,1,unknown,K,no-rule-matched
K1 - Teacher,Kindergarten:,1,teacher,K,teacher-title
K2,,1,unknown,K,no-rule-matched
K2,Kindergarten,1,teacher,K,heading-department
K2 - Teacher,Kindergarten:,1,teacher,K,teacher-title
K3,,1,unknown,K,no-rule-matched
K3,Kindergarten,1,teacher,K,heading-department
K3 - Teacher,Kindergarten:,1,teacher,K,teacher-title
K4,,1,unknown,K,no-rule-matched
K4,Kindergarten,1,teacher,K,heading-department
K4 - Teacher,Kindergarten:,1,teacher,K,teacher-title
K5,Kindergarten,1,teacher,K,heading-department
K5-Teacher,Kindergarten:,1,teacher,K,teacher-title
K6,,1,unknown,K,no-rule-matched
K6,Kindergarten,1,teacher,K,heading-department
K6 - Teacher,Kindergarten,1,teacher,K,teacher-title
KI,Kindergarten,1,teacher,K,heading-department
Kindergarten,,1,unknown,K,no-rule-matched
Kindergarten,Paraprofessionals,1,paraprofessional,K,heading-paras
Kindergarten,Special Education,1,specialist,K,heading-special-services
LHS Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
LICSW,Central Office,1,social_worker,,social-worker
LMHS Office Clerk,Administration:,1,secretary,,clerical
LMS Social Worker,Guidance: Middle School,1,social_worker,,social-worker
LPN,Health Office:,1,teacher,,heading-department
LPS Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
Lead,Custodians,1,custodian,,heading-custodial
Lead Custodian,Custodial,1,custodian,,custodial
Lead Custodian,Custodial Staff:,1,custodian,,custodial
Lead Custodian,Custodians,1,custodian,,custodial
Library,Specialists: Middle School,1,librarian,,library
Library/Technology,Special Areas,1,librarian,,library
Literacy Specialist/Title 1,Admin/Office/Nurse,1,specialist,,interventionist
Long Term Sub TBD Middle School,Health Office:,1,teacher,,heading-department
Lunenburg High Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
"MS Nurse, Long Term Sub",Health Office:,1,nurse,,nurse
MS Principal,Administration:,1,administrator,,principal
Media Specialist,Media Specialist,1,librarian,,library
Media/Library Specialist,Library:,1,librarian,,library
Middle School,Health Office:,1,teacher,,heading-department
Music,,1,unknown,,no-rule-matched
Music,SPECIAL AREAS,1,teacher,,heading-department
Music,Unified Arts,1,teacher,,heading-department
Music MS,Specialists: Middle School,1,specialist,,heading-specialists
Nurse,Admin/Office/Nurse,1,nurse,,nurse
Nurse,Administration/Nurse,1,nurse,,nurse
Nurse,Administration/Office,1,nurse,,nurse
Nurse,Health & Behavioral Health,1,nurse,,nurse
Nurse,Nurse/Health & Behavioral Health,1,nurse,,nurse
Nurse,OFFICE,1,nurse,,nurse
Nurse,PRESCHOOL,1,nurse,PK,nurse
Nurse (Achieve),Administration/Office/Nurse,1,nurse,,nurse
Occ. Ther.,Learning Center/Special Education,1,specialist,,heading-special-services
Occup Therap,Specialists,1,specialist,,heading-specialists
Occup Therap.,,1,unknown,,no-rule-matched
Occup. Therap.,SPECIAL EDUCATION,1,specialist,,heading-special-services
Occup. Therap.,Specialists:,1,specialist,,heading-specialists
Occup. Therapist,Specialists,1,specialist,,heading-specialists
Occup.Therapy,Specialists,1,specialist,,heading-specialists
Occupational Therapist,Learning Center/Sp Ed,1,therapist,,ot-pt
"Occupational Therapist, 109",,1,therapist,,ot-pt
"Occupational Therapist, 112",,1,therapist,,ot-pt
Ortice,,1,unknown,,no-rule-matched
PE,,1,unknown,,no-rule-matched
PE,Unified Arts,1,teacher,,heading-department
"PE, GYM",Special Areas,1,teacher,,heading-department
"PE, Gym",Special Areas,1,teacher,,heading-department
"PE, Gym/Health",SPECIAL AREAS,1,teacher,,heading-department
"PE, gym Health, 216",Special Areas,1,teacher,,heading-department
"PE, mGym/Health",SPECIAL AREAS,1,teacher,,heading-department
PE/Health,SPECIAL AREAS,1,teacher,,heading-department
PT,Learning Center/Special Education,1,therapist,,ot-pt
Par,Achieve,1,specialist,,heading-special-services
Para,Kindergarten Teachers,1,paraprofessional,K,para-title
Para Grade 3,Paraprofessionals_,1,paraprofessional,3,para-title
Paraprofessional,Learning Ctr./SPED,1,paraprofessional,,para-title
Paraprofessional,Second Grade Teachers,1,paraprofessional,2,para-title
Parapropfessional,Kindergarten,1,teacher,K,heading-department
Paraprotessional,Kindergarten:,1,paraprofessional,K,para-title
Phys. Ther.,Specialists,1,specialist,,heading-specialists
Phys. Therap,,1,unknown,,no-rule-matched
Phys. Therap.,Specialists,1,specialist,,heading-specialists
Phys. Therap.,Specialists:,1,specialist,,heading-specialists
Phys. Therapist,Specialists,1,specialist,,heading-specialists
Phys.Ther,Specialists,1,specialist,,heading-specialists
Physical Education,Special Areas,1,teacher,,heading-department
Physical Therapy,Specialists,1,therapist,,ot-pt
Pre-School,Paraprofessionals,1,paraprofessional,PK,heading-paras
Primary School Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
Principal,Admin/Office/Nurse,1,administrator,,principal
Principal,Administration/Nurse,1,administrator,,principal
Principal,Central Office:,1,administrator,,principal
Principal,Leadership,1,administrator,,principal
Principal,Members of the Council for the 2011 - 2012 school year were:,1,administrator,,principal
Principal,OFFICE,1,administrator,,principal
Principal,PRESCHOOL,1,administrator,PK,principal
Principal,Primary School Parent/Teacher Advisory Council,1,administrator,,principal
Principal,School Council,1,administrator,,principal
Principal:,,1,administrator,,principal
Principal:,School Council,1,administrator,,principal
Psychologi,,1,psychologist,,psychologist
Psychologist,Guidance: High School,1,psychologist,,psychologist
Psychologist,Health & Behavioral Health,1,psychologist,,psychologist
Psychologist,Nurse/Health & Behavioral Health,1,psychologist,,psychologist
"SEL, 216",Special Areas,1,teacher,,heading-department
SLP,Learning Ctr./SPED,1,speech_therapist,,speech
SLP 6-12,Learning Center/ Spec. Ed.,1,speech_therapist,,speech
SRO,SRO,1,unknown,,no-rule-matched
STEM,,1,unknown,,no-rule-matched
STEM,Unified Arts,1,teacher,,heading-department
STEP,Guidance,1,counselor,,heading-guidance
Sch. Psychologist,SPECIAL EDUCATION,1,psychologist,,psychologist
School Committee Rep,Members of the Council for the 2011 - 2012 school year were:,1,unknown,,no-rule-matched
School Committee Rep,Primary School Parent/Teacher Advisory Council,1,unknown,,no-rule-matched
School Committee Rep:,,1,unknown,,no-rule-matched
School Committee Rep:,School Council,1,unknown,,no-rule-matched
School Linked Services,Extended Day/School Linked Services,1,unknown,,no-rule-matched
School Nurse,Central Office:,1,nurse,,nurse
School Personnel Services Manager,School Personnel/Business Services,1,teacher,,heading-department
School Psych.,Guidance,1,psychologist,,psychologist
School Psych.,Special Services,1,psychologist,,psychologist
School Psych.,Specialists:,1,psychologist,,psychologist
School Psychologist,Special Services,1,psychologist,,psychologist
Secretary,Athletic Secretary,1,secretary,,clerical
Secretary,Central Office,1,secretary,,clerical
Secretary,Lunenburg School Committee:,1,secretary,,clerical
Secretary,Student Services Office,1,secretary,,clerical
Secretary (PT),Special Services,1,therapist,,ot-pt
Secretary (part-time),Special Education Services,1,secretary,,clerical
Secretary (part-time),Superintendent of Schools,1,secretary,,clerical
Senior Custodian,Custodial Staff:,1,custodian,,custodial
Social Worker,Health & Behavioral Health,1,social_worker,,social-worker
Social Worker,Nurse/Health & Behavioral Health,1,social_worker,,social-worker
Sp.Ed Para,,1,paraprofessional,,para-title
Special Ed 1 & 2,Special Education,1,specialist,,heading-special-services
Special Ed K& 1,Special Education,1,specialist,K,heading-special-services
Special Ed Teacher,,1,teacher,,teacher-title
Special Ed Teacher,GRADE 2,1,teacher,2,teacher-title
Special Services Coordinator,Student Services Office,1,administrator,,director
Speec,Specialists,1,specialist,,heading-specialists
Speech,Guidance: High School,1,speech_therapist,,speech
Speech,Learning Center/Sp Ed,1,speech_therapist,,speech
Speech,Special Services,1,speech_therapist,,speech
"Speech, 204",,1,speech_therapist,,speech
"Speech, 213",,1,speech_therapist,,speech
"Speech-Language, 113",LEARNING CENTER,1,speech_therapist,,speech
Speech/Language,Special Services,1,speech_therapist,,speech
Superintendent,Office of the Superintendent of Schools,1,administrator,,superintendent
Superintendent-Director,Leadership,1,administrator,,superintendent
TCP Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
THMS Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
TLC Inclusion,,1,unknown,,no-rule-matched
TLC Teach,Achieve,1,specialist,,heading-special-services
TLC Teacher,,1,teacher,,teacher-title
TLC Teacher,Achieve Programs,1,teacher,,teacher-title
TLC Teacher,Achieve/TLC,1,teacher,,teacher-title
Teacher,2A,1,teacher,2,teacher-title
Teacher,"ACHIEVE PROGRAM, 110",1,teacher,,teacher-title
Teacher,Achieve/TLC,1,teacher,,teacher-title
Teacher,Interventionist,1,teacher,,teacher-title
Teacher,Media Specialist,1,teacher,,teacher-title
Teacher/110,Achieve Programs,1,teacher,,teacher-title
Teacher/110,Achieve/TLC,1,teacher,,teacher-title
Teacher/111,Achieve,1,teacher,,teacher-title
Teacher/111,Achieve Programs,1,teacher,,teacher-title
Teacher/113,Achieve Programs,1,teacher,,teacher-title
Teachers,Members of the Council for the 2011 - 2012 school year were:,1,unknown,,no-rule-matched
Teaching Asst.,PRESCHOOL,1,paraprofessional,PK,aide-title
Tech MS,Specialists: Middle School,1,specialist,,heading-specialists
Tech Support Specialist,Technology/Network Service,1,specialist,,interventionist
Tech. 119,Special Areas,1,teacher,,heading-department
Technology,,1,technology,,technology
Technology,Special Areas,1,technology,,technology
Title One,Learning Center/Special Education,1,specialist,,heading-special-services
Turkey Hill Middle School Cafe Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
Turkey Hill Middle School Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
Turnkey Hill Middle School Café Manager,Cafeteria Services,1,cafeteria,,heading-cafeteria
Tutor,,1,paraprofessional,,tutor-title
Tutor/204,MTSS,1,paraprofessional,,tutor-title
Tutor/Room Former Lunchroom,MTSS,1,paraprofessional,,tutor-title
Tutor/Room Tech Lab 119,MTSS,1,paraprofessional,,tutor-title
Vember,Lunenburg School Committee,1,unknown,,no-rule-matched
Vice-Chairperson,Lunenburg School Committee:,1,unknown,,no-rule-matched
White,,1,unknown,,no-rule-matched
Wilson Para,Paraprofessionals,1,paraprofessional,,para-title
Wilson Reading,Learning Center/Sp Ed,1,unknown,,no-rule-matched
"Wilson Reading, 204",,1,unknown,,no-rule-matched
"Wilson Reading, 213",,1,unknown,,no-rule-matched
Wilson Tutor,,1,paraprofessional,,tutor-title
Wilson Tutor,Learning Ctr./SPED,1,paraprofessional,,tutor-title
_eache,Achieve,1,specialist,,heading-special-services
b,History:,1,teacher,,heading-department
ecretary,,1,unknown,,no-rule-matched
i - Teach,econd Grade Teacher,1,teacher,,heading-department
nurse,Health Office:,1,nurse,,nurse
para/substitute admin asst.,Paraprofessionals_,1,paraprofessional,,para-title
ra,Achieve,1,specialist,,heading-special-services
|Gr. 3 Para,Paraprofessionals,1,paraprofessional,3,para-title
"ВСвА, 110",,1,unknown,,no-rule-matched
• Pa,Paraprofessionals,1,paraprofessional,,heading-paras
