dor_code,municipality,fy,sf_value_total,sf_parcels,avg_sf_value,avg_sf_bill,bill_pct_of_value,income_per_capita,bill_pct_of_income,rank,source_file,sha256
001,Abington,2000,523838100,3431,152678,2916,1.91,,,96,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1999,516127500,3403,151668,2750,1.81,,,98,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1998,511805500,3389,151020,2564,1.7,,,104,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1997,450215500,3366,133754,2474,1.85,,,102,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1996,440727300,3331,132311,2358,1.78,,,102,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1995,428111500,3273,130801,2302,1.76,,,98,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1994,419252200,3208,130690,2321,1.78,,,82,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1993,467982100,3161,148049,2369,1.6,,,69,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1992,453998500,3092,146830,2239,1.52,,,69,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1991,491829500,3075,159945,1974,1.23,,,72,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1990,484373800,3046,159020,1873,1.18,,,78,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1989,474239400,3021,156981,1677,1.07,,,73,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,1988,236325700,3019,78279,1583,2.02,,,78,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2027,,,,,,,,,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2026,4699210300,5011,937779,15220,1.62,88147,17.27,21,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2025,4360653200,5013,869869,14918,1.72,92784,16.08,20,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2024,4213518100,5020,839346,13992,1.67,81081,17.26,20,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2023,3891018800,5010,776650,13638,1.76,72152,18.9,19,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2022,3325605600,4995,665787,12950,1.94,70004,18.5,19,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2021,3083881100,4991,617888,12500,2.02,66129,18.9,16,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2020,3048615400,4975,612787,11790,1.92,69770,16.9,17,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2019,2901122600,4965,584315,11318,1.94,61285,18.47,17,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2018,2808177000,4959,566279,10974,1.94,61849,17.74,18,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2017,2776746700,4948,561186,10696,1.91,57489,18.61,17,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2016,2666545100,4939,539896,10382,1.92,59235,17.53,16,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
002,Acton,2015,2617261000,4923,531639,10128,1.91,55932,18.11,15,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
