date,election,question,type,amount,purpose,yes,no,blanks,total,registered,turnout_pct,result,fy_report,page,read_by,checks
2012-05,Annual Town Election,QUESTION 1. OVERRIDE,Proposition 2½ override,2200000,Funding the Town Manager's FY2013 Override Budget,1084,2275,,3374,,,FAILED,2012,105,ocr,precinct YES 290+191+246+357=1084; NO 620+527+594+534=2275
2014-01-11,Special Town Election,QUESTION 1. DEBT EXCLUSION,Proposition 2½ debt exclusion,72975321,"Bonds to construct a new Lunenburg Middle/High School for approximately 820 students in Grade 6-12 at 1079 Massachusetts Avenue. Authorised borrowing $72,975,321; moved the town's authorised-unissued debt from about $2.4M to $77,129,843",1414,543,0,1957,7059,27.7,PASSED,2014,152,plain,"YES 413+234+323+444=1414; NO 163+111+140+129=543; 1414+543+0=1957 ties to printed TOTAL; 1,957 ballots of 7,059 registered voters = 27.7% turnout; passed on a split 5-1 Finance Committee recommendation"
2016-05,Annual Town Election,QUESTION 1 – Pavement Management Plan,Proposition 2½ debt exclusion,4000000,Pavement Management Plan — town roads,181,127,55,363,,,PASSED,2016,193,plain,"YES 58+27+34+62=181; NO 28+36+32+31=127; Blanks 19+11+12+13=55; 181+127+55=363 ties to printed TOTAL; NOTE turnout: 363 ballots cast in total — a $4,000,000 debt exclusion carried on 181 YES votes"
2024-05-18,Annual Town Election,QUESTION 1. OVERRIDE,Proposition 2½ override,,"Override approved by voters in May 2024; Article 8 school supplement of $948,136 was contingent on it",753,664,,,,,PASSED,2024,174,plain,YES 189+149+157+258=753; NO 195+118+175+176=664
2025-05,Annual Town Meeting,ARTICLE 11 (Citizens Petition),Proposition 2½ override,2099337,Citizens petition requesting a Proposition 2½ override,,,,,,,NOT PLACED ON BALLOT,2025,,plain,Town Meeting voted disapproval and voted not to include the override on the Annual Town Election ballot
2025-05,Annual Town Meeting,ARTICLE 28,Proposition 2½ debt exclusion,13800000,Bonds for construction and revitalization,,,,,,,SEE REPORT,2025,,plain,amount as printed in the FY2025 warrant summary
2025-05,Annual Town Meeting,ARTICLE 29,Proposition 2½ debt exclusion,,"Bonds — stated as a range between $21,409,100 and $22,301,145",,,,,,,SEE REPORT,2025,,plain,range as printed; no single figure given
