board,board_id,date,kind,file_id,path,url
Architectural Preservation District Commission,3,2025-01-16,minutes,6959,architectural-preservation-district-commission/2025-01-16-minutes-6959.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01162025-6959
Architectural Preservation District Commission,3,2025-02-13,agenda,7023,architectural-preservation-district-commission/2025-02-13-agenda-7023.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02132025-7023
Architectural Preservation District Commission,3,2025-02-13,minutes,7023,architectural-preservation-district-commission/2025-02-13-minutes-7023.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02132025-7023
Architectural Preservation District Commission,3,2025-03-13,agenda,7097,architectural-preservation-district-commission/2025-03-13-agenda-7097.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03132025-7097
Architectural Preservation District Commission,3,2025-03-13,minutes,7097,architectural-preservation-district-commission/2025-03-13-minutes-7097.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03132025-7097
Architectural Preservation District Commission,3,2025-04-10,agenda,7155,architectural-preservation-district-commission/2025-04-10-agenda-7155.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04102025-7155
Architectural Preservation District Commission,3,2025-04-10,minutes,7155,architectural-preservation-district-commission/2025-04-10-minutes-7155.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04102025-7155
Architectural Preservation District Commission,3,2025-05-08,agenda,7209,architectural-preservation-district-commission/2025-05-08-agenda-7209.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05082025-7209
Architectural Preservation District Commission,3,2025-05-08,minutes,7209,architectural-preservation-district-commission/2025-05-08-minutes-7209.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05082025-7209
Architectural Preservation District Commission,3,2025-06-12,agenda,7264,architectural-preservation-district-commission/2025-06-12-agenda-7264.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06122025-7264
Architectural Preservation District Commission,3,2025-06-12,minutes,7264,architectural-preservation-district-commission/2025-06-12-minutes-7264.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06122025-7264
Architectural Preservation District Commission,3,2025-07-10,agenda,7310,architectural-preservation-district-commission/2025-07-10-agenda-7310.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07102025-7310
Architectural Preservation District Commission,3,2025-07-10,minutes,7310,architectural-preservation-district-commission/2025-07-10-minutes-7310.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07102025-7310
Architectural Preservation District Commission,3,2025-08-14,agenda,7346,architectural-preservation-district-commission/2025-08-14-agenda-7346.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08142025-7346
Architectural Preservation District Commission,3,2025-08-14,minutes,7346,architectural-preservation-district-commission/2025-08-14-minutes-7346.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08142025-7346
Architectural Preservation District Commission,3,2025-09-11,agenda,7395,architectural-preservation-district-commission/2025-09-11-agenda-7395.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09112025-7395
Architectural Preservation District Commission,3,2025-09-11,minutes,7395,architectural-preservation-district-commission/2025-09-11-minutes-7395.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09112025-7395
Architectural Preservation District Commission,3,2025-10-20,agenda,7461,architectural-preservation-district-commission/2025-10-20-agenda-7461.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202025-7461
Architectural Preservation District Commission,3,2025-11-13,agenda,7509,architectural-preservation-district-commission/2025-11-13-agenda-7509.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11132025-7509
Architectural Preservation District Commission,3,2025-11-13,minutes,7509,architectural-preservation-district-commission/2025-11-13-minutes-7509.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11132025-7509
Architectural Preservation District Commission,3,2025-12-11,agenda,7557,architectural-preservation-district-commission/2025-12-11-agenda-7557.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12112025-7557
Architectural Preservation District Commission,3,2025-12-11,minutes,7557,architectural-preservation-district-commission/2025-12-11-minutes-7557.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12112025-7557
Architectural Preservation District Commission,3,2026-01-08,agenda,7593,architectural-preservation-district-commission/2026-01-08-agenda-7593.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082026-7593
Architectural Preservation District Commission,3,2026-01-08,minutes,7593,architectural-preservation-district-commission/2026-01-08-minutes-7593.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01082026-7593
Architectural Preservation District Commission,3,2026-02-12,agenda,7647,architectural-preservation-district-commission/2026-02-12-agenda-7647.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122026-7647
Architectural Preservation District Commission,3,2026-02-12,minutes,7647,architectural-preservation-district-commission/2026-02-12-minutes-7647.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02122026-7647
Architectural Preservation District Commission,3,2026-03-12,agenda,7709,architectural-preservation-district-commission/2026-03-12-agenda-7709.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122026-7709
Architectural Preservation District Commission,3,2026-03-12,minutes,7709,architectural-preservation-district-commission/2026-03-12-minutes-7709.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03122026-7709
Architectural Preservation District Commission,3,2026-06-11,agenda,7848,architectural-preservation-district-commission/2026-06-11-agenda-7848.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112026-7848
Athletic Advisory Council,34,2025-01-27,agenda,6980,athletic-advisory-council/2025-01-27-agenda-6980.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01272025-6980
Athletic Advisory Council,34,2025-02-04,agenda,6979,athletic-advisory-council/2025-02-04-agenda-6979.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02042025-6979
Board of Assessors,4,2025-01-08,agenda,6949,board-of-assessors/2025-01-08-agenda-6949.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082025-6949
Board of Assessors,4,2025-01-08,minutes,6949,board-of-assessors/2025-01-08-minutes-6949.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01082025-6949
Board of Assessors,4,2025-01-22,agenda,6965,board-of-assessors/2025-01-22-agenda-6965.docx,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01222025-6965
Board of Assessors,4,2025-01-22,agenda,6968,board-of-assessors/2025-01-22-agenda-6968.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01222025-6968
Board of Assessors,4,2025-01-22,minutes,6968,board-of-assessors/2025-01-22-minutes-6968.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01222025-6968
Board of Assessors,4,2025-02-05,agenda,6999,board-of-assessors/2025-02-05-agenda-6999.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02052025-6999
Board of Assessors,4,2025-02-05,minutes,6999,board-of-assessors/2025-02-05-minutes-6999.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02052025-6999
Board of Assessors,4,2025-02-19,agenda,7065,board-of-assessors/2025-02-19-agenda-7065.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02192025-7065
Board of Assessors,4,2025-02-19,minutes,7065,board-of-assessors/2025-02-19-minutes-7065.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02192025-7065
