board,board_id,date,kind,file_id,path,url
Board of Assessors,4,2026-07-01,minutes,7885,board-of-assessors/2026-07-01-minutes-7885.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07012026-7885
Board of Assessors,4,2026-08-05,agenda,7942,board-of-assessors/2026-08-05-agenda-7942.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052026-7942
Board of Assessors,4,2026-08-05,minutes,7942,board-of-assessors/2026-08-05-minutes-7942.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08052026-7942
Board of Assessors,4,2026-08-11,agenda,7956,board-of-assessors/2026-08-11-agenda-7956.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08112026-7956
Board of Assessors,4,2026-08-11,minutes,7956,board-of-assessors/2026-08-11-minutes-7956.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08112026-7956
Board of Assessors,4,2026-09-09,agenda,7999,board-of-assessors/2026-09-09-agenda-7999.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09092026-7999
Board of Health,5,2026-02-02,agenda,7629,board-of-health/2026-02-02-agenda-7629.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02022026-7629
Board of Health,5,2026-02-02,minutes,7629,board-of-health/2026-02-02-minutes-7629.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02022026-7629
Board of Health,5,2026-03-10,agenda,7699,board-of-health/2026-03-10-agenda-7699.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03102026-7699
Board of Health,5,2026-03-16,agenda,7711,board-of-health/2026-03-16-agenda-7711.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03162026-7711
Board of Health,5,2026-03-16,minutes,7711,board-of-health/2026-03-16-minutes-7711.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03162026-7711
Board of Health,5,2026-04-06,agenda,7749,board-of-health/2026-04-06-agenda-7749.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062026-7749
Board of Health,5,2026-04-06,minutes,7749,board-of-health/2026-04-06-minutes-7749.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04062026-7749
Board of Health,5,2026-05-04,agenda,7792,board-of-health/2026-05-04-agenda-7792.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05042026-7792
