kind,sy,org_code,org_name,org_type,stu_grp,subj_cat,subj,test_takers_cnt,tests_taken_cnt,one_test_cnt,two_test_cnt,three_test_cnt,four_test_cnt,five_plus_test_cnt,tests_taken,score_1,score_2,score_3,score_4,score_5,pct_1_2,pct_3_5
participation,2020,01620505,Lunenburg High,School,High Needs,History and Social Science,History: U.S.,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,High Needs,History and Social Science,History and Social Science,7,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,High Needs,Foreign Languages,Spanish Lang,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,High Needs,History and Social Science,Govt & Pol: U.S.,4,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,History and Social Science,Govt & Pol: U.S.,2,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,English Language Arts,English Language Arts,5,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,History and Social Science,Govt RAD: U.S.,2,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,Foreign Languages,Spanish Lang,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,Math and Computer Science,Math and Computer Science,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,English Language Arts,English Lit/Comp,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,English Language Arts,English Lang/Comp,4,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,History and Social Science,History: U.S.,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,History and Social Science,History and Social Science,5,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,Math and Computer Science,Calculus AB,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Economically Disadvantaged,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Students with Disabilities,History and Social Science,Govt RAD: U.S.,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Students with Disabilities,History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Students with Disabilities,History and Social Science,Govt & Pol: U.S.,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,English Language Arts,English Lit/Comp,15,15,15,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,History and Social Science,Govt RAD: U.S.,16,16,16,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Math and Computer Science,Math and Computer Science,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,History and Social Science,Psychology,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Foreign Languages,Foreign Languages,8,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Science and Technology,Biology,6,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Foreign Languages,French Lang,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,English Language Arts,English Lang/Comp,14,14,14,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,English Language Arts,English Language Arts,29,29,29,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,History and Social Science,Govt & Pol: U.S.,16,16,16,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,History and Social Science,Human Geography,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,History and Social Science,History and Social Science,26,28,24,2,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Arts,Arts,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Foreign Languages,Spanish Lang,5,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Science and Technology,Science and Technology,7,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,History and Social Science,History: U.S.,10,10,10,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Female,Math and Computer Science,Calculus AB,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Science and Technology,Chemistry,4,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,History and Social Science,History: U.S.,21,21,21,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Science and Technology,Biology,2,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,History and Social Science,Govt & Pol: U.S.,18,18,18,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,English Language Arts,English Lang/Comp,15,15,15,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,History and Social Science,History and Social Science,39,39,39,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Foreign Languages,Latin: Vergil,1,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Science and Technology,Science and Technology,6,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Math and Computer Science,Calculus AB,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,English Language Arts,English Lit/Comp,6,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,English Language Arts,English Language Arts,21,21,21,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,History and Social Science,Govt RAD: U.S.,18,18,18,0,0,0,0,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Foreign Languages,French Lang,2,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Foreign Languages,Foreign Languages,3,,,,,,,,,,,,,,
participation,2020,01620505,Lunenburg High,School,Male,Math and Computer Science,Math and Computer Science,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,All Subjects,All Subjects,99,189,35,45,13,5,1,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,All Subjects,All Subjects,7,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,All Subjects,All Subjects,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,All Subjects,All Subjects,88,166,33,38,12,4,1,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,All Subjects,All Subjects,14,23,5,9,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,All Subjects,All Subjects,14,23,5,9,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Students with Disabilities,All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,All Subjects,All Subjects,61,120,19,29,9,4,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,All Subjects,All Subjects,38,69,16,16,4,1,1,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Arts,Arts,5,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Foreign Languages,Foreign Languages,8,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Science and Technology,Chemistry,11,11,11,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Science and Technology,Science and Technology,24,26,22,2,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Science and Technology,Biology,15,15,15,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Foreign Languages,Spanish Lang,6,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,History and Social Science,History: U.S.,30,30,30,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,History and Social Science,Govt RAD: U.S.,36,36,36,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,History and Social Science,History and Social Science,66,66,66,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,English Language Arts,English Lit/Comp,35,35,35,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,English Language Arts,English Language Arts,71,71,71,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,English Language Arts,English Lang/Comp,36,36,36,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Arts,Drawing,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Math and Computer Science,Calculus AB,13,13,13,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Foreign Languages,Latin: Vergil,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Arts,Studio Art: Drawing,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,History and Social Science,Govt & Pol: U.S.,36,36,36,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,All Students,Math and Computer Science,Math and Computer Science,13,13,13,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,History and Social Science,History and Social Science,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,History and Social Science,History: U.S.,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,English Language Arts,English Lang/Comp,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,Science and Technology,Science and Technology,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,Science and Technology,Chemistry,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,English Language Arts,English Language Arts,5,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,History and Social Science,Govt & Pol: U.S.,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,English Language Arts,English Lit/Comp,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,Math and Computer Science,Math and Computer Science,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,Math and Computer Science,Calculus AB,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,Foreign Languages,Spanish Lang,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Asian,History and Social Science,Govt RAD: U.S.,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,Science and Technology,Science and Technology,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Black or African American,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,History and Social Science,Govt RAD: U.S.,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,History and Social Science,Govt & Pol: U.S.,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,English Language Arts,English Lit/Comp,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Arts,Arts,5,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Science and Technology,Science and Technology,21,23,19,2,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,English Language Arts,English Lit/Comp,32,32,32,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,History and Social Science,History and Social Science,59,59,59,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,English Language Arts,English Lang/Comp,31,31,31,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,History and Social Science,History: U.S.,26,26,26,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Foreign Languages,Foreign Languages,7,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Science and Technology,Biology,15,15,15,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Foreign Languages,Spanish Lang,5,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Foreign Languages,Latin: Vergil,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,History and Social Science,Govt RAD: U.S.,33,33,33,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Science and Technology,Chemistry,8,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Arts,Drawing,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Math and Computer Science,Calculus AB,9,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,History and Social Science,Govt & Pol: U.S.,33,33,33,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,English Language Arts,English Language Arts,63,63,63,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Math and Computer Science,Math and Computer Science,9,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,White,Arts,Studio Art: Drawing,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,History and Social Science,Govt & Pol: U.S.,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,English Language Arts,English Lit/Comp,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Arts,Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,History and Social Science,Govt RAD: U.S.,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,English Language Arts,English Lang/Comp,7,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Math and Computer Science,Math and Computer Science,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,English Language Arts,English Language Arts,10,10,10,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Science and Technology,Science and Technology,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,History and Social Science,History and Social Science,8,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,History and Social Science,History: U.S.,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Science and Technology,Biology,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Math and Computer Science,Calculus AB,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,High Needs,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,History and Social Science,History: U.S.,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Science and Technology,Biology,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,History and Social Science,History and Social Science,8,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Science and Technology,Science and Technology,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,English Language Arts,English Lit/Comp,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,English Language Arts,English Language Arts,10,10,10,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Arts,Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,History and Social Science,Govt RAD: U.S.,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Math and Computer Science,Math and Computer Science,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,History and Social Science,Govt & Pol: U.S.,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,English Language Arts,English Lang/Comp,7,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Economically Disadvantaged,Math and Computer Science,Calculus AB,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Students with Disabilities,English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Students with Disabilities,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Arts,2-D Art and Design,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,English Language Arts,English Lit/Comp,20,20,20,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Arts,Studio Art: 2-D Design,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,English Language Arts,English Language Arts,48,48,48,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Math and Computer Science,Math and Computer Science,9,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Foreign Languages,Latin: Vergil,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Arts,Studio Art: Drawing,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,History and Social Science,History: U.S.,19,19,19,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Science and Technology,Science and Technology,17,19,15,2,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Arts,Arts,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,History and Social Science,History and Social Science,34,34,34,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Foreign Languages,Spanish Lang,5,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,English Language Arts,English Lang/Comp,28,28,28,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Science and Technology,Biology,11,11,11,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Math and Computer Science,Calculus AB,9,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Science and Technology,Chemistry,8,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,History and Social Science,Govt & Pol: U.S.,15,15,15,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,History and Social Science,Govt RAD: U.S.,15,15,15,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Arts,Drawing,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Female,Foreign Languages,Foreign Languages,6,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Arts,Studio Art: 2-D Design,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Science and Technology,Science and Technology,7,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,History and Social Science,Govt & Pol: U.S.,21,21,21,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Foreign Languages,Foreign Languages,2,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Math and Computer Science,Math and Computer Science,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Math and Computer Science,Calculus AB,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Foreign Languages,Spanish Lang,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Arts,Arts,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Science and Technology,Chemistry,3,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,History and Social Science,History and Social Science,32,32,32,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Science and Technology,Biology,4,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,English Language Arts,English Lang/Comp,8,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Foreign Languages,Latin: Vergil,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,Arts,2-D Art and Design,1,,,,,,,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,English Language Arts,English Language Arts,23,23,23,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,History and Social Science,History: U.S.,11,11,11,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,English Language Arts,English Lit/Comp,15,15,15,0,0,0,0,,,,,,,,
participation,2019,01620000,Lunenburg,District,Male,History and Social Science,Govt RAD: U.S.,21,21,21,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,All Subjects,All Subjects,99,189,35,45,13,5,1,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,All Subjects,All Subjects,7,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Black or African American,All Subjects,All Subjects,2,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Native Hawaiian or Other Pacific Islander,All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,White,All Subjects,All Subjects,88,166,33,38,12,4,1,,,,,,,,
participation,2019,01620505,Lunenburg High,School,High Needs,All Subjects,All Subjects,14,23,5,9,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Economically Disadvantaged,All Subjects,All Subjects,14,23,5,9,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Students with Disabilities,All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Female,All Subjects,All Subjects,61,120,19,29,9,4,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Male,All Subjects,All Subjects,38,69,16,16,4,1,1,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,English Language Arts,English Lit/Comp,35,35,35,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Math and Computer Science,Calculus AB,13,13,13,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Science and Technology,Biology,15,15,15,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Arts,Studio Art: Drawing,3,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Arts,Drawing,3,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Foreign Languages,Spanish Lang,6,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,History and Social Science,Govt RAD: U.S.,36,36,36,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Math and Computer Science,Math and Computer Science,13,13,13,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Science and Technology,Science and Technology,24,26,22,2,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Foreign Languages,Latin: Vergil,2,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Arts,Arts,5,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,History and Social Science,Govt & Pol: U.S.,36,36,36,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Science and Technology,Chemistry,11,11,11,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,History and Social Science,History and Social Science,66,66,66,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,English Language Arts,English Language Arts,71,71,71,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,Foreign Languages,Foreign Languages,8,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,History and Social Science,History: U.S.,30,30,30,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,All Students,English Language Arts,English Lang/Comp,36,36,36,0,0,0,0,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,Foreign Languages,Spanish Lang,1,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,History and Social Science,History and Social Science,4,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,Science and Technology,Chemistry,2,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,English Language Arts,English Lit/Comp,2,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,English Language Arts,English Lang/Comp,3,,,,,,,,,,,,,,
participation,2019,01620505,Lunenburg High,School,Asian,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
