kind,sy,org_code,org_name,org_type,stu_grp,subj_cat,subj,test_takers_cnt,tests_taken_cnt,one_test_cnt,two_test_cnt,three_test_cnt,four_test_cnt,five_plus_test_cnt,tests_taken,score_1,score_2,score_3,score_4,score_5,pct_1_2,pct_3_5
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,English Language Arts,English Lit/Comp,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,English Language Arts,English Language Arts,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,History and Social Science,History and Social Science,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Arts,Arts,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,History and Social Science,Govt & Pol: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,History and Social Science,Govt & Pol: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,History and Social Science,Govt RAD: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,History and Social Science,History: U.S.,21,21,21,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Science and Technology,Science and Technology,8,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,English Language Arts,English Language Arts,54,54,54,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,History and Social Science,Psychology,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,English Language Arts,English Lit/Comp,21,21,21,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,English Language Arts,English Lang/Comp,33,33,33,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Math and Computer Science,Statistics,12,12,12,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Foreign Languages,French Lang,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Science and Technology,Physics 1,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Math and Computer Science,Math and Computer Science,17,20,14,3,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,Science and Technology,Environmental Sci,1,,,,,,,,,,,,,,
