dor_code,municipality,fy,starting_balance,revenues,expenditures,fund_balance,flag,source_file,sha256
002,Acton,2010,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2011,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2012,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2013,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2014,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2015,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2016,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2017,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2018,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2019,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2020,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2021,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2022,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2023,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2024,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2025,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
002,Acton,2026,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2003,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2004,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2005,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2006,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2007,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2008,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2009,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2010,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2011,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2012,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2013,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2014,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2015,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2016,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2017,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2018,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2019,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2020,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2021,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2022,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2023,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2024,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2025,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
003,Acushnet,2026,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2003,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2004,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2005,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2006,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2007,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2008,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2009,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2010,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2011,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2012,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
004,Adams,2013,,,,,N,health-self-insured-funds-2026-09-26-386b09a3b235.xlsx,386b09a3b23502d463cf5323a2cc191d55c563f812d470bc63e273828b40d966
