fiscal_year_as_listed,receipt_date,amount,payer_as_printed,munis_description,source_file
FY2024,2024-04-25,387,LUNENBURG YOUTH SOCCER ASSOCIATION,,field-rental-receipts-fy2024-fy2026-lysa.xlsx
FY2024,2024-07-08,6341,LUNENBURG YOUTH SOCCER ASSOC,,field-rental-receipts-fy2024-fy2026-lysa.xlsx
FY2025,2025-02-12,8118,LUNENBURG YOUTH SOCCER ASSOC,THES RENTAL/FIELD RENTAL 2023/,field-rental-receipts-fy2024-fy2026-lysa.xlsx
FY2025,2025-02-12,15190,LUNENBURG YOUTH SOCCER ASSOCIATION,,field-rental-receipts-fy2024-fy2026-lysa.xlsx
FY2026,2025-07-15,7497.5,LUNENBURG YOUTH SOCCER ASSOC,,field-rental-receipts-fy2024-fy2026-lysa.xlsx
FY2026,2025-09-04,1112.5,LUNENBURG YOUTH SOCCER,,field-rental-receipts-fy2024-fy2026-lysa.xlsx
FY2026,2025-09-04,427.5,LUNENBURG YOUTH SOCCER,,field-rental-receipts-fy2024-fy2026-lysa.xlsx
