role_as_printed,position,times_seen
Clerk (part-time),,1
Community Member,,1
Community Representative,,1
Community Representative:,,1
Cook/Managers,,6
Coordinator,,2
Counselor,Guidance / Adjustment Counselor,2
Counselor / ICS,Guidance / Adjustment Counselor,1
Counselor / LCSW,Guidance / Adjustment Counselor,1
Counselor / LICSW,Guidance / Adjustment Counselor,1
Counselor / LSW,Guidance / Adjustment Counselor,1
Counselor 9-12 (H-N),Guidance / Adjustment Counselor,1
Counselor DH 9-12 (A-G),Department Head,1
Custodian,Custodial / Facilities,4
Custodian/Nigh,Custodial / Facilities,2
Custodian/Night,Custodial / Facilities,11
D,,1
DH,Department Head,27
Dean of Students,,4
Dean of Students(.4),,1
Department Liaison,,5
Dept Liaison,,6
Dept. Head,Department Head,16
Dept. Liaison,,32
Dept. Liason,,1
Dir. Teaching/Learning,Director,1
Director,Director,15
Director (shared with the Town),Director,1
Director of Academic Programs,Director,1
Director of Facilities,Director,1
Director of Food Services,Director,2
Director of Instruction,Director,1
Director of Teaching and Learning,Director,2
Director of Vocational Programs,Director,1
District Health & Safety,,2
District Health &Safety,,1
District-wide,,5
District-wide Utility/Custodial,Custodial / Facilities,4
E,,1
E - Teache,,1
ELL,,1
ELL Specialist,,1
ELL Teacher,Classroom Teacher,9
"ELL Teacher, 109",Classroom Teacher,2
"ELL Teacher, 119",Classroom Teacher,4
Executive Secretary,Administrative Staff,5
Extended Day & Early Learning Center,Special Education Teacher,1
FL,,2
Food Service Director,Director,2
General workers,,17
Gr. 3 Para,Paraprofessional,11
Gr. 3 Para One-One,Paraprofessional,1
Gr. 3 Teacher,Classroom Teacher,4
"Gr. 3 Teacher, 214",Classroom Teacher,3
Gr. 3/4 Para,Paraprofessional,1
Gr. 4 Para,Paraprofessional,12
Gr. 4 Paraprofessional,Paraprofessional,1
Gr. 4 Teacher,Classroom Teacher,7
"Gr. 4 Teacher, 206",Classroom Teacher,3
Gr. 4 Teacher/MTSS,Classroom Teacher,1
Gr. 4 Tutor,Paraprofessional,1
Gr. 4/5 Para,Paraprofessional,1
Gr. 4/5 Tutor,Paraprofessional,1
Gr. 5 Para,Paraprofessional,11
Gr. 5 Paraprofessional,Paraprofessional,1
Gr. 5 Teacher,Classroom Teacher,8
"Gr. 5 Teacher, 106",Classroom Teacher,3
Gr. 5 Tutor,Paraprofessional,1
Gr. 6 Para,Paraprofessional,2
Gr. 6 Paraprofessional,Paraprofessional,2
Gr. 6 Teacher,Classroom Teacher,5
Gr. 6 Tutor,Paraprofessional,1
Gr. 6-12,Classroom Teacher,1
Gr. 7 Para,Paraprofessional,2
Gr. 7 Paraprofessional,Paraprofessional,1
Gr. 7 Teacher,Classroom Teacher,5
Gr. 8 Para,Paraprofessional,2
Gr. 8 Teacher,Classroom Teacher,1
Gr: 5 Para,Paraprofessional,1
Grade 1,Classroom Teacher,2
Grade 2,Classroom Teacher,2
Grade 6,Classroom Teacher,4
Grade 6 1:1,Classroom Teacher,1
