fy,edition,page_printed,page_pdf,total_row,fund,amount,quote
2013,FY2013,57,61,TOTAL ASSETS,capital_project,273367.84,"TOTAL ASSETS row, printed page 57"
2013,FY2013,57,61,TOTAL ASSETS,trust_agency,1999590.75,"TOTAL ASSETS row, printed page 57"
2013,FY2013,57,61,TOTAL ASSETS,long_term_debt,24298665,"TOTAL ASSETS row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES,general,5081880.87,"TOTAL LIABILITIES row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES,special_revenue,231032.80,"TOTAL LIABILITIES row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES,enterprise,6555268.96,"TOTAL LIABILITIES row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES,capital_project,24689.63,"TOTAL LIABILITIES row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES,trust_agency,14626.29,"TOTAL LIABILITIES row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES,long_term_debt,24298665,"TOTAL LIABILITIES row, printed page 57"
2013,FY2013,57,61,TOTAL FUND EQUITY,general,1673874.03,"TOTAL FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL FUND EQUITY,special_revenue,873525.47,"TOTAL FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL FUND EQUITY,enterprise,1335475.20,"TOTAL FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL FUND EQUITY,capital_project,248678.21,"TOTAL FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL FUND EQUITY,trust_agency,1984964.46,"TOTAL FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL FUND EQUITY,long_term_debt,,"TOTAL FUND EQUITY row, printed page 57 — the column is BLANK, not zero"
2013,FY2013,57,61,TOTAL LIABILITIES/FUND EQUITY,general,6755754.90,"TOTAL LIABILITIES/FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES/FUND EQUITY,special_revenue,1104558.27,"TOTAL LIABILITIES/FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES/FUND EQUITY,enterprise,7890744.16,"TOTAL LIABILITIES/FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES/FUND EQUITY,capital_project,273367.84,"TOTAL LIABILITIES/FUND EQUITY row, printed page 57"
2013,FY2013,57,61,TOTAL LIABILITIES/FUND EQUITY,trust_agency,1999590.75,"TOTAL LIABILITIES/FUND EQUITY row, printed page 57"
