board_slug,since,approved_by,approved_on,note
school-committee,2026-06-11,TJ,2026-09-11,"the three boards TJ watched; last three months first, the rest later"
finance-committee,2026-06-11,TJ,2026-09-11,
select-board,2026-06-11,TJ,2026-09-11,
