first_seen,source,kind,published,title,link
2026-09-12,Town of Lunenburg — News Flash,town,2026-09-01,Preliminary Update on FY26 School Department Closeout,https://www.lunenburgma.gov/CivicAlerts.aspx?aid=267
2026-09-12,Town of Lunenburg — News Flash,town,2026-08-24,"Warrant for November 17, 2026 Special Town Meeting Now Open",https://www.lunenburgma.gov/CivicAlerts.aspx?aid=265
2026-09-12,Town of Lunenburg — News Flash,town,2026-08-20,"Early Voting for the September 1, 2026 State Primary",https://www.lunenburgma.gov/CivicAlerts.aspx?aid=263
2026-09-12,Town of Lunenburg — News Flash,town,2026-08-20,"September 3, 2026 Special Town Meeting",https://www.lunenburgma.gov/CivicAlerts.aspx?aid=262
