kind,sy,org_code,org_name,org_type,subj,tot_clss_cnt,avg_clss_cnt,tot_stu_cnt,aian_pct,as_pct,baa_pct,hl_pct,mnhl_pct,nhpi_pct,wh_pct,fe_pct,ma_pct,el_pct,li_pct,ecd_pct,swd_pct
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Arts and Communications Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Business and Consumer Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Construction,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Exploratory,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Health,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Hospitality and Tourism,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Human Services and Education,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Information Technology Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,CH74 - Transportation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,"CH74 - Manufacturing, Engineering and Technology",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620605,Advanced Community Experience Program,School,Architecture and Construction,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,All,781,19.1,1587,0.003,0.013,0.042,0.124,0.037,0.004,0.779,0.493,0.506,0.038,23.6,,0.17
class_size,2025,01620000,Lunenburg,District,"Agriculture, Food and Natural Resources",2,12.0,20,0.0,0.0,0.05,0.1,0.05,0.0,0.8,0.55,0.45,0.0,30.0,,0.1
class_size,2025,01620000,Lunenburg,District,Arts,123,21.9,1359,0.002,0.01,0.041,0.122,0.035,0.004,0.786,0.495,0.504,0.04,23.6,,0.155
class_size,2025,01620000,Lunenburg,District,Business and Marketing,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Civics/Government,9,20.2,176,0.0,0.011,0.051,0.102,0.028,0.006,0.801,0.483,0.517,0.011,18.8,,0.131
class_size,2025,01620000,Lunenburg,District,Communications and Audio/Visual Technology,2,21.5,43,0.0,0.023,0.0,0.047,0.07,0.0,0.861,0.721,0.279,0.0,11.6,,0.047
class_size,2025,01620000,Lunenburg,District,Computer and Information Sciences,20,22.8,456,0.002,0.011,0.05,0.138,0.031,0.002,0.765,0.493,0.507,0.055,24.6,,0.167
class_size,2025,01620000,Lunenburg,District,Core-All Subjects,70,22.5,672,0.005,0.009,0.046,0.122,0.03,0.003,0.786,0.509,0.491,0.036,23.4,,0.204
class_size,2025,01620000,Lunenburg,District,Economics,2,23.0,46,0.0,0.022,0.0,0.065,0.0,0.0,0.913,0.283,0.717,0.022,13.0,,0.065
class_size,2025,01620000,Lunenburg,District,Engineering and Technology,4,12.3,47,0.0,0.043,0.043,0.043,0.064,0.021,0.787,0.17,0.83,0.0,21.3,,0.128
class_size,2025,01620000,Lunenburg,District,English/Language Arts,85,18.6,1503,0.001,0.013,0.041,0.12,0.035,0.004,0.785,0.496,0.503,0.037,23.3,,0.15
class_size,2025,01620000,Lunenburg,District,Foreign Language,26,14.2,368,0.0,0.027,0.046,0.106,0.06,0.003,0.758,0.5,0.5,0.027,17.4,,0.068
class_size,2025,01620000,Lunenburg,District,Geography,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Health Care Sciences,2,4.0,8,0.0,0.125,0.0,0.0,0.0,0.125,0.75,0.375,0.625,0.0,12.5,,0.0
class_size,2025,01620000,Lunenburg,District,History,15,17.3,259,0.0,0.027,0.035,0.127,0.062,0.004,0.745,0.487,0.514,0.039,20.9,,0.124
class_size,2025,01620000,Lunenburg,District,Hospitality and Tourism,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Human Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Manufacturing,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Mathematics,84,18.4,1509,0.001,0.013,0.041,0.119,0.036,0.004,0.785,0.496,0.503,0.037,23.3,,0.15
class_size,2025,01620000,Lunenburg,District,Military Science,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Miscellaneous,56,5.1,163,0.0,0.025,0.043,0.135,0.049,0.0,0.749,0.442,0.558,0.049,35.6,,0.472
class_size,2025,01620000,Lunenburg,District,"Physical, Health, and Safety Education",110,22.1,1386,0.001,0.013,0.04,0.123,0.033,0.004,0.786,0.49,0.509,0.04,23.5,,0.16
class_size,2025,01620000,Lunenburg,District,"Public, Protective, and Government Service",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Reading,27,20.7,559,0.002,0.005,0.041,0.14,0.029,0.004,0.78,0.521,0.479,0.05,25.4,,0.147
class_size,2025,01620000,Lunenburg,District,Religious Education and Theology,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Science,95,19.5,1455,0.001,0.014,0.042,0.121,0.036,0.004,0.782,0.499,0.501,0.039,23.4,,0.154
class_size,2025,01620000,Lunenburg,District,Social Studies/Social Sciences,49,20.2,981,0.002,0.009,0.043,0.128,0.028,0.003,0.787,0.507,0.492,0.045,25.2,,0.17
class_size,2025,01620000,Lunenburg,District,"Transportation, Distribution and Logistics",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Agriculture and Natural Resources,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Arts and Communications Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Business and Consumer Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Construction,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Exploratory,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Health,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Hospitality and Tourism,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Human Services and Education,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Information Technology Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,CH74 - Transportation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,"CH74 - Manufacturing, Engineering and Technology",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620000,Lunenburg,District,Architecture and Construction,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,All,247,13.5,438,0.0,0.021,0.027,0.105,0.05,0.007,0.79,0.475,0.523,0.023,20.8,,0.103
class_size,2025,01620505,Lunenburg High,School,"Agriculture, Food and Natural Resources",2,12.0,20,0.0,0.0,0.05,0.1,0.05,0.0,0.8,0.55,0.45,0.0,30.0,,0.1
class_size,2025,01620505,Lunenburg High,School,Arts,25,17.5,280,0.0,0.011,0.025,0.107,0.046,0.011,0.8,0.457,0.539,0.021,20.4,,0.089
class_size,2025,01620505,Lunenburg High,School,Business and Marketing,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Civics/Government,4,14.5,53,0.0,0.0,0.019,0.113,0.0,0.019,0.849,0.491,0.509,0.0,17.0,,0.057
class_size,2025,01620505,Lunenburg High,School,Communications and Audio/Visual Technology,2,21.5,43,0.0,0.023,0.0,0.047,0.07,0.0,0.861,0.721,0.279,0.0,11.6,,0.047
class_size,2025,01620505,Lunenburg High,School,Computer and Information Sciences,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Core-All Subjects,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Economics,2,23.0,46,0.0,0.022,0.0,0.065,0.0,0.0,0.913,0.283,0.717,0.022,13.0,,0.065
class_size,2025,01620505,Lunenburg High,School,Engineering and Technology,4,12.3,47,0.0,0.043,0.043,0.043,0.064,0.021,0.787,0.17,0.83,0.0,21.3,,0.128
class_size,2025,01620505,Lunenburg High,School,English/Language Arts,30,16.1,431,0.0,0.021,0.028,0.104,0.049,0.007,0.791,0.469,0.529,0.023,20.9,,0.104
class_size,2025,01620505,Lunenburg High,School,Foreign Language,21,12.1,253,0.0,0.032,0.04,0.111,0.063,0.004,0.751,0.51,0.49,0.032,16.6,,0.051
class_size,2025,01620505,Lunenburg High,School,Geography,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Health Care Sciences,2,4.0,8,0.0,0.125,0.0,0.0,0.0,0.125,0.75,0.375,0.625,0.0,12.5,,0.0
class_size,2025,01620505,Lunenburg High,School,History,15,17.3,259,0.0,0.027,0.035,0.127,0.062,0.004,0.745,0.487,0.514,0.039,20.9,,0.124
class_size,2025,01620505,Lunenburg High,School,Hospitality and Tourism,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Human Services,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
class_size,2025,01620505,Lunenburg High,School,Manufacturing,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
