board,board_slug,year,listed,held,with_text_file,searchable,unsearchable,image_scan,vector_outlines,blank,extract_failed,unreadable,not_fetched
Agricultural Commission,agricultural-commission,2017,12,12,12,6,6,6,0,0,0,0,0
Agricultural Commission,agricultural-commission,2018,19,19,19,8,11,11,0,0,0,0,0
Agricultural Commission,agricultural-commission,2019,18,18,18,17,1,0,0,1,0,0,0
Agricultural Commission,agricultural-commission,2020,12,12,12,11,1,0,0,1,0,0,0
Agricultural Commission,agricultural-commission,2021,15,15,15,15,0,0,0,0,0,0,0
Agricultural Commission,agricultural-commission,2022,15,15,15,15,0,0,0,0,0,0,0
Agricultural Commission,agricultural-commission,2023,24,24,24,22,2,2,0,0,0,0,0
Agricultural Commission,agricultural-commission,2024,37,37,37,37,0,0,0,0,0,0,0
Agricultural Commission,agricultural-commission,2025,27,27,27,27,0,0,0,0,0,0,0
Agricultural Commission,agricultural-commission,2026,6,6,6,6,0,0,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2016,24,24,24,22,2,2,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2017,10,10,10,6,4,4,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2018,16,16,16,6,10,10,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2019,24,24,24,10,14,14,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2020,9,9,9,5,4,4,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2021,24,24,24,23,1,1,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2022,29,29,29,27,2,2,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2023,22,22,22,21,1,1,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2024,26,26,26,26,0,0,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2025,23,23,23,23,0,0,0,0,0,0,0
Architectural Preservation District Commission,architectural-preservation-district-commission,2026,7,7,7,7,0,0,0,0,0,0,0
Athletic Advisory Council,athletic-advisory-council,2023,1,1,1,1,0,0,0,0,0,0,0
Athletic Advisory Council,athletic-advisory-council,2024,1,1,1,1,0,0,0,0,0,0,0
Athletic Advisory Council,athletic-advisory-council,2025,2,2,2,2,0,0,0,0,0,0,0
BOA Neighborhood ans Site Index Subcommittee,boa-neighborhood-ans-site-index-subcommittee,2024,1,1,1,1,0,0,0,0,0,0,0
Board of Assessors,board-of-assessors,2010,24,24,24,1,23,23,0,0,0,0,0
Board of Assessors,board-of-assessors,2011,25,25,25,6,19,19,0,0,0,0,0
Board of Assessors,board-of-assessors,2012,25,25,25,13,12,12,0,0,0,0,0
Board of Assessors,board-of-assessors,2013,25,25,25,12,13,13,0,0,0,0,0
