fy,edition,page_printed,page_pdf,statement,ordinal,total_row,amount,pct,precision,quote,document
2020,FY2020,75,75,revenue_vs_expenses,5,Subtotal,449041.36,,cents,"$449,041.36",sources/town-annual-reports/docs/4127-fy-2020-annual-town-report.pdf
2020,FY2020,75,75,revenue_vs_expenses,6,Total,582941.93,,cents,"$582,941.93",sources/town-annual-reports/docs/4127-fy-2020-annual-town-report.pdf
2021,FY2021,72,73,line_item_expenses,1,Total,92823.26,100.00,cents,"$92,823.26",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2021,FY2021,72,73,revenue_vs_expenses,1,Starting Balance,272000.00,,cents,"$272,000.00",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2021,FY2021,72,73,revenue_vs_expenses,2,Revenue (Comcast),196331.78,,cents,"$196,331.78",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2021,FY2021,72,73,revenue_vs_expenses,3,Enterprise Interest,3404.52,,cents,"$3,404.52",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2021,FY2021,72,73,revenue_vs_expenses,4,Revenue Total,471736.30,,cents,"471,736.30",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2021,FY2021,72,73,revenue_vs_expenses,5,Expenses,92823.26,,cents,"$92,823.26",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2021,FY2021,72,73,revenue_vs_expenses,6,TOTAL,378913.04,,cents,"$378,913.04",sources/town-annual-reports/docs/4128-fy-2021-annual-town-report.pdf
2022,FY2022,72,72,line_item_expenses,1,Total,127191.05,100.00,cents,"$127,191.05",sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf
2022,FY2022,72,72,revenue_vs_expenses,1,Revenue (from Comcast),199956.37,,cents,"$199,956.37",sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf
2022,FY2022,72,72,revenue_vs_expenses,2,Enterprise Interest,3565.40,,cents,"$3,565.40",sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf
2022,FY2022,72,72,revenue_vs_expenses,3,Revenue Total,203521.77,,cents,"$203,521.77",sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf
2022,FY2022,72,72,revenue_vs_expenses,4,Expenses,127191.05,,cents,"$127,191.05",sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf
