report_fy,document,page,program,line_no,label,kind,appropriated_or_forward,total_funds_available,total_expended,total_encumbered,balance_to_revenue,proof
2011,4117-fy-2011-annual-town-report.pdf,60,Tax letor Arministration,3,Payroll-Clerical,line,27959.92,27959.92,27668.43,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 72,668.67 vs 72,668.67; total_funds_available 72,668.67 vs 72,668.67; total_expended 72,182.41 vs 72,182.41; available - expended - encumbered 486.26 vs balance to revenue 486.26 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Tax letor Arministration,4,Other Expenses,line,14433.28,14589.75,14394.58,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 72,668.67 vs 72,668.67; total_funds_available 72,668.67 vs 72,668.67; total_expended 72,182.41 vs 72,182.41; available - expended - encumbered 486.26 vs balance to revenue 486.26 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Tax letor Arministration,,,subtotal,72668.67,72668.67,72182.41,0.00,486.26,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 72,668.67 vs 72,668.67; total_funds_available 72,668.67 vs 72,668.67; total_expended 72,182.41 vs 72,182.41; available - expended - encumbered 486.26 vs balance to revenue 486.26 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Treasurer's Administration,1,Treasurer's Administration,line,106.98,,,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 78,493.48 vs 78,493.48; total_funds_available 78,493.48 vs 78,493.48; total_expended 77,232.48 vs 77,232.48; available - expended - encumbered 1,261.00 vs balance to revenue 1,261.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Treasurer's Administration,2,Treasurer's Salary,line,30119.00,30119.00,30119.40,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 78,493.48 vs 78,493.48; total_funds_available 78,493.48 vs 78,493.48; total_expended 77,232.48 vs 77,232.48; available - expended - encumbered 1,261.00 vs balance to revenue 1,261.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Treasurer's Administration,3,Clerical Salaries,line,40737.00,40737.00,40736.89,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 78,493.48 vs 78,493.48; total_funds_available 78,493.48 vs 78,493.48; total_expended 77,232.48 vs 77,232.48; available - expended - encumbered 1,261.00 vs balance to revenue 1,261.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Treasurer's Administration,4,Other Expenses,line,7530.50,7637.48,6376.19,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 78,493.48 vs 78,493.48; total_funds_available 78,493.48 vs 78,493.48; total_expended 77,232.48 vs 77,232.48; available - expended - encumbered 1,261.00 vs balance to revenue 1,261.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Treasurer's Administration,,,subtotal,78493.48,78493.48,77232.48,0.00,1261.00,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 78,493.48 vs 78,493.48; total_funds_available 78,493.48 vs 78,493.48; total_expended 77,232.48 vs 77,232.48; available - expended - encumbered 1,261.00 vs balance to revenue 1,261.00 -- printed only on the subtotal, so untested: total_encumbered, balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Banking Charges,1,Banking Charges,line,1000.00,1000.00,738.09,,,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 1,000.00 vs 1,000.00; total_funds_available 1,000.00 vs 1,000.00; total_expended 738.09 vs 738.09; available - expended - encumbered 261.91 vs balance to revenue 261.91 -- printed only on the subtotal, so untested: balance_to_revenue"
2011,4117-fy-2011-annual-town-report.pdf,60,Banking Charges,,,subtotal,1000.00,1000.00,738.09,,261.91,"the lines above sum to this subtotal in 4 column(s): appropriated_or_forward 1,000.00 vs 1,000.00; total_funds_available 1,000.00 vs 1,000.00; total_expended 738.09 vs 738.09; available - expended - encumbered 261.91 vs balance to revenue 261.91 -- printed only on the subtotal, so untested: balance_to_revenue"
