doc_id,fy,period,fund,fund_name,funds_covered,account_type,level,dept,org,object,account,function,name,original,transfers,revised,expended,encumbered,available,pct_used,totals_only,suppress_zero,rounded_columns
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,5000,SEWER BETTERMENTS,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,5000,570014,,,TRANS GF,184920.0,0.0,184920.0,184920.48,0.0,0.0,100.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,5100,WATER BETTERMENT FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,5100,570014,,,TRANS GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,511000,,,PRBUSMANAG,64352.0,0.0,64352.0,47086.08,0.0,17266.08,73.2,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,511001,,,SAL CLERIC,23495.0,0.0,23495.0,18203.38,0.0,5291.26,77.5,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,511003,,,PRCLERK,3200.0,0.0,3200.0,2542.35,0.0,657.65,79.4,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,513000,,,SAL OVERTI,2000.0,0.0,2000.0,0.0,0.0,2000.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,514002,,,LONGEVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,517004,,,SICK LEAVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,517007,,,SEWERSALRE,2300.0,0.0,2300.0,0.0,0.0,2300.0,0.0,0,0,"original,transfers,revised"
sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-ef-sewer.txt,2026,9,6000,SEWER ENTERPRISE FUND,5000 SEWER BETTERMENTS;5100 WATER BETTERMENT FUND;6000 SEWER ENTERPRISE FUND,expense,account,,60001,519001,,,UNIFORM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"original,transfers,revised"
