fy,document,page,section,line,balance_forward,commitments,abatements,payments,refunds,transfer,adjustments,balance,row_check,ocr_corrected
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2010,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2011,6016.98,,,-105.00,,,,5911.98,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2012,4146.38,,,-47.50,,,,4098.88,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2013,3801.76,,,-31.88,,,7.41,3777.29,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2014,5404.07,,,-304.06,,,10.41,5110.42,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2015,6023.23,,,-130.00,,,38.15,5931.38,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2016,8030.59,,,-198.63,,,17.74,7849.70,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2017,12485.96,,,-1148.54,,,17.83,11355.25,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2018,16344.14,,-423.90,-5755.12,716.17,,11.69,10892.98,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2019,48850.72,322.08,-1688.89,-32801.59,1273.80,,16.03,15972.15,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2020,238094.99,191388.07,-23944.71,-379118.57,20612.53,,,47032.31,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,,LEVY OF 2021,0.00,1789941.19,-37679.02,-1585383.59,3462.79,,,170341.37,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,OTHER EXCISE TAXES,FARM ANIMAL EXCISE,17.50,,,,,,,17.50,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,LEVY OF 2017,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,LEVY OF 2018,-0.74,,,,,,0.74,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,LEVY OF 2019,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,LEVY OF 2020,9209.37,,-6411.86,-29819.18,,,27021.67,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,LEVY OF 2021,0.00,38370.77,,-36556.02,,,4849.54,6664.29,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,TAX LIENS,1394377.55,276705.94,-543.60,-225954.50,,-511.05,,1444074.34,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,TAX TITLE USER CHARGES,32186.39,13273.97,,,,,,45460.36,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,FORECLOSURES,46668.21,511.05,,,,,,47179.26,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,ROLLBACK TAXES,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,DEFERRED PROPERTY TAX,2614.02,,,,,,,2614.02,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,DEFERRED SEWER PRI,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,DEFERRED SEWER INT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,WATER USER CHARGES,682.98,33785.62,,-33814.06,,,,654.54,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,SUPPLEMENTAL TAXES,SEWER USER CHARGES,153333.78,1011128.91,,-1054145.29,,-44223.27,,66094.13,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,UTILITY LIENS ADDED TO TAXES,SLIEN COMM TO RE PRIN,14306.72,68986.92,,-32631.55,,-46877.91,,3784.18,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,UTILITY LIENS ADDED TO TAXES,SLIEN COMM TO RE INT,889.09,5882.88,,-2681.07,,-3830.96,0.43,260.37,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,UNAPPORTIONED ASSESSMENTS,SEWER BETTERMENT,5031955.49,-315278.20,,-170480.35,,,5821.52,4552018.46,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,UNAPPORTIONED ASSESSMENTS,MEADOW WOODS WATER BETTERMENT,980000.00,-20000.00,,,,,,960000.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,48,UNAPPORTIONED ASSESSMENTS,STREET BETTERMENT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,,SEPTIC BETTERMENT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,,SEPTIC EOCDSE,11900.00,-700.00,,,,,,11200.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,,WATER BETTERMENT,0.00,,,,,,,,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER COMMITTED PRIN,19887.72,343273.14,,-331005.04,295.55,-9282.00,,23169.37,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER COMMITTED INT,7210.81,153559.40,,-151594.34,63.39,-4085.61,,5153.65,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER PRELIM COMM PRI,1000.00,,,,,,,1000.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER PRELIM COMM INT,200.00,,,,,,,200.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,MEADOW WATER COMMITTED PRIN,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,MEADOW WATER COMMITTED INT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,STREET COMMITTED PRIN,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,STREET COMMITTED INT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,WATER COMMITTED DUE W.D. PRI,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,WATER COMMITTED DUE W.D. INT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC COMMITTED PRI,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC COMMITTED INT,0.00,,,,,,,0.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC EOCDSE COMMITTED PRIN,350.00,700.00,,-350.00,,,,700.00,checked,
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,49,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC EOCDSE COMMITTED INT,126.00,238.00,,-126.00,,,,238.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2007,3890.09,,,,,,,3890.09,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2008,15.90,,,,,,,15.90,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2009,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2010,137.74,,,,,,,137.74,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2011,21.01,,,,,,,21.01,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2012,21.88,,,,,,,21.88,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2013,22.49,,,,,,,22.49,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2014,23.39,,,,,,,23.39,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2015,341.22,,,,,,,341.22,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2016,3.92,,,,,,,3.92,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2017,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2018,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2019,-104.00,,,,,,,-104.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2020,-453.63,,-3765.34,,,15.79,,-4203.18,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2021,505253.99,,-3686.37,-280566.77,26955.26,-251863.39,7.10,-3900.18,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,,LEVY OF 2022,0.00,43544885.08,-238557.56,-28535586.45,27853.95,-14434655.16,,363939.86,checked,transfer
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 1998,281.48,,,,,,,281.48,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 1999,336.42,,,-336.42,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2000,259.27,,,-259.27,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2001,268.76,,,-232.87,,,,35.89,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2002,235.56,,,-201.24,,,,34.32,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2003,1966.69,,,-148.26,,,,1818.43,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2004,270.43,,,-161.88,,,,108.55,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2005,532.26,,,-168.08,,,,364.18,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2006,3475.42,,,-158.85,,,,3316.57,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2007,3362.61,,,-155.26,,,,3207.35,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2008,3287.74,,,-156.54,,,,3131.20,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2009,3276.19,,,-183.86,,,,3092.33,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2010,2962.23,,,-200.22,,,,2762.01,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2011,2383.80,,,,,,,2383.80,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2012,2357.18,,,,,,,2357.18,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2013,2518.41,,,,,,,2518.41,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2014,2806.45,,,,,,,2806.45,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2015,1717.68,,,,,,,1717.68,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2016,3321.86,,,,,,,3321.86,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2017,4428.76,,,-199.80,,,,4228.96,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2018,3529.65,,,,,,,3529.65,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2019,5710.20,,,-168.13,,,,5542.07,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2020,9375.94,,,-868.09,172.14,,,8679.99,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2021,29609.28,,,-17931.08,94.72,,,11772.92,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,PERSONAL PROPERTY,LEVY OF 2022,0.00,958916.12,-823.57,-938656.86,,,,19435.69,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49,MOTOR VEHICLE EXCISE,LEVY OF 2005,-0.02,,,,,,,-0.02,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2007,1585.73,,,,,,,1585.73,two printed lines read as one,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2008,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2009,204.58,,,,,,,204.58,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2010,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2011,5911.98,,,,,,,5911.98,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2012,4098.88,,,-57.50,,,,4041.38,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2013,3777.29,,,-57.50,,,,3719.79,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2014,5110.42,,,-74.69,,,,5035.73,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2015,5931.38,,,-41.25,,,,5890.13,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2016,7849.70,,,-51.96,,,,7797.74,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2017,11355.25,,,-401.41,,,,10953.84,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2018,10892.98,,,-525.14,,,,10367.84,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2019,15972.15,,,-4117.64,485.28,,,12339.79,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2020,47032.31,42.48,-971.93,-26263.24,1803.33,,,21642.95,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2021,170341.37,196779.00,-15443.46,-319440.29,22974.23,,,55210.85,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,,LEVY OF 2022,0.00,1852877.21,-39278.70,-1520118.40,6848.22,,,300328.33,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,OTHER EXCISE TAXES,FARM ANIMAL EXCISE,17.50,,,,,,,17.50,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,LEVY OF 2017,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,LEVY OF 2018,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,LEVY OF 2019,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,LEVY OF 2020,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,LEVY OF 2021,6664.29,,,-6664.29,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,LEVY OF 2022,0.00,28086.37,,-5009.13,,,,23077.24,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,TAX LIENS,1444074.34,295919.43,,-940763.18,,-153.06,,799077.53,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,TAX TITLE USER CHARGES,45460.36,773.62,,-46233.98,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,FORECLOSURES,47179.26,,,,,,,47179.26,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,ROLLBACK TAXES,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,DEFERRED PROPERTY TAX,2614.02,,,,,,,2614.02,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,DEFERRED SEWER PRI,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,DEFERRED SEWER INT,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,WATER USER CHARGES,654.54,46462.11,,-47116.65,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,SUPPLEMENTAL TAXES,SEWER USER CHARGES,66094.13,1035974.48,-38838.82,-997448.37,215.05,,,65996.47,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,UTILITY LIENS ADDED TO TAXES,SLIEN COMM TO RE PRIN,3784.18,27938.90,,-27643.73,,-707.00,,3372.35,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,UTILITY LIENS ADDED TO TAXES,SLIEN COMM TO RE INT,260.37,2654.45,,-2565.17,,-66.62,,283.03,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,50,UNAPPORTIONED ASSESSMENTS,SEWER BETTERMENT,4552018.46,-330329.93,,-350736.69,,,,3870951.84,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,,STREET BETTERMENT,960000.00,-20000.00,,,,,,940000.00,two printed lines read as one,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,,SEPTIC BETTERMENT,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,,SEPTIC EOCDSE,11200.00,,,-11200.00,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,,WATER BETTERMENT,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER COMMITTED PRIN,23169.37,330329.93,,-327037.15,,-14402.53,,12059.62,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER COMMITTED INT,5153.65,137509.42,,-136091.59,40.00,-3042.25,,3569.23,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER PRELIM COMM PRI,1000.00,,,,,,,1000.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEWER PRELIM COMM INT,200.00,,,,,,,200.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,MEADOW WATER COMMITTED PRIN,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,MEADOW WATER COMMITTED INT,0.00,34837.50,,-34837.50,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,STREET COMMITTED PRIN,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,STREET COMMITTED INT,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,WATER COMMITTED DUE W.D. PRI,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,WATER COMMITTED DUE W.D. INT,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC COMMITTED PRI,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC COMMITTED INT,0.00,,,,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC EOCDSE COMMITTED PRIN,700.00,,,-700.00,,,,0.00,checked,
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,51,APPROTIONED ASSESSMENT ADDED TO TAXES,SEPTIC EOCDSE COMMITTED INT,238.00,,,-238.00,,,,0.00,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2008,3905.99,,,-3818.52,,,,87.47,two printed lines read as one,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2010,137.74,,,-119.28,,,,18.46,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2011,21.01,,,,,,,21.01,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2012,21.88,,,,,,,21.88,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2013,22.49,,,,,,,22.49,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2014,23.39,,,,,,,23.39,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,EVY OF 2015,341.22,,,,,,,341.22,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2016,3.92,,,,,,,3.92,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2017,0.00,,,,,,,0.00,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2018,0.00,,,,,,,0.00,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2019,-104.00,,,,,104.00,,0.00,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2020,-4203.18,,,,3987.23,-114.82,11.48,-319.29,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2021,-3900.18,,,,2022.57,610.56,16.64,-1250.41,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2022,363939.86,,,-239139.98,14323.91,-158662.68,15.90,-19522.99,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,,LEVY OF 2023,0.00,30127768.81,-1431482.56,-29560505.96,1317690.21,,-64918.34,388552.16,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 1998,281.48,,,,,,,281.48,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 1999,0.00,,,,,,,0.00,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 2000,0.00,,,,,,,0.00,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 2001,35.89,,,,,,,35.89,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 2002,34.32,,,,,,,34.32,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 2003,1818.43,,,,,,,1818.43,checked,
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54,PERSONAL PROPERTY,LEVY OF 2004,108.55,,,,,,,108.55,checked,
