dataset,edition,report_fy,document,page,state,printed_total,columns_as_printed,reconciliation
capital_plan,FY2013,2013,4119-fy-2013-annual-town-report.pdf,12,refused,129000.0,"Additional recommendations from the Town Manager, totaling $ 129,000:","11 candidate rows ruled into 2 money columns and none of them sums to the printed 129,000.00; refused rather than read"
capital_plan,FY2024,2024,4132-fy-2024-annual-town-report.pdf,87,refused,1317119.0,"funding 10 of the prioritized projects totaling $1,317,119 using a combination of Free Cash and unexpended funding","11 candidate rows ruled into 2 money columns and none of them sums to the printed 1,317,119.00; refused rather than read"
