fy,section,item,forward,committed,adjustments,refunds,payments,abatements,transfer,balance,proof,page,instrument,document
2025,MOTOR VEHICLE EXCISE,LEVY OF 2006,1585.73,,,,,,,1585.73,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2007,0.00,,,,,,,0.00,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2008,0.00,,,,,,,0.00,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2009,204.58,,,,,,,204.58,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2010,0.00,,,,,,,0.00,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2011,5824.48,,,,,,,5824.48,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2012,3988.88,,,,-56.25,,,3932.63,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2013,3719.79,,,,-56.25,,,3663.54,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2014,4998.54,,,,-56.29,,,4942.25,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2015,5738.04,,,,,,,5738.04,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2016,7520.55,,,,-82.09,,,7438.46,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2017,10428.83,,,,-102.92,,,10325.91,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2018,9418.24,,,,-168.75,,,9249.49,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2019,9830.29,,,,-5.01,,,9825.28,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2020,13533.51,,,,-667.90,-109.25,,12756.36,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2021,9196.68,,,114.00,-2140.51,,,7170.17,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2022,19155.92,,,1372.84,-8262.96,-1388.82,,10876.98,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2023,49382.23,,-812.05,1422.23,-25431.35,-1363.27,,23197.79,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2024,200698.11,353313.36,,26222.79,-466041.32,-38343.35,,75849.59,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,MOTOR VEHICLE EXCISE,LEVY OF 2025,0.00,1745393.70,-5.00,4574.71,-1312745.95,-34305.32,,402912.14,footed to its own printed balance,40,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,FARM ANIMAL EXCISE,17.50,,,,,,,17.50,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,SUPPLEMENTAL TAXES,LEVY OF 2023,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,SUPPLEMENTAL TAXES,LEVY OF 2024,-2390.66,34405.95,-0.48,,-25396.62,,-6618.19,-0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,SUPPLEMENTAL TAXES,LEVY OF 2025,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,TAX LIENS,1044719.07,237621.88,-1.15,,-68213.78,,,1214126.02,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,TAX TITLE USER CHARGES,5150.42,,,,-275.41,5805.54,,10680.55,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,FORECLOSURES,47179.26,,,,,,,47179.26,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,ROLLBACK TAXES,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,DEFERRED PROPERTY TAX,2614.02,,,,,,,2614.02,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,DEFERRED SEWER PRI,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,DEFERRED SEWER INT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,WATER USER CHARGES,-3.14,20206.98,,,-20116.74,,,87.10,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEWER USER CHARGES,156427.44,1308976.28,-99064.20,6040.52,-1196113.90,,-67537.21,108728.93,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SLIEN COMM TO RE PRIN,6335.24,68287.77,,,-65573.00,,-5375.90,3674.11,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SILIEN COMM TO RE INT,662.23,6480.42,,,-6315.94,,-429.64,397.07,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEWER BETTERMENT,3120573.94,26771.96,,,-95117.66,,-264916.71,2787311.53,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,MEADOW WOODS WATER BETTERMENT,890000.00,,,,,,-25000.00,865000.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,STREET BETTERMENT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEPTIC BETTERMENT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEPTIC EOCDSE,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,WATER BETTERMENT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEWER COMMITTED PRIN,13193.61,264916.71,-5370.31,,-240634.61,,,32105.40,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEWER COMMITTED INT,2793.01,91330.82,-1495.50,,-66880.96,,,25747.37,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEWER PRELIM COMM PRI,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEWER PRELIM COMM INT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,MEADOW WATER COMMITTED PRIN,0.00,25000.00,,,-12500.00,,,12500.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,MEADOW WATER COMMITTED INT,0.00,31337.50,,,-15668.75,,,15668.75,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,STREET COMMITTED PRIN,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,STREET COMMITTED INT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,WATER COMMITTED DUE W.D. PRI,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,WATER COMMITTED DUE W.D. INT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEPTIC COMMITTED PRI,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEPTIC COMMITTED INT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEPTIC EOCDSE COMMITTED PRIN,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,SEPTIC EOCDSE COMMITTED INT,0.00,,,,,,,0.00,footed to its own printed balance,41,text layer,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
