fy,lea,org4_code,lea_number,district,level,foundation_enrollment,foundation_budget,required_local_contribution,ch70_aid,ch70_aid_after_penalties,required_nss,required_nss_published,net_school_spending,nss_stage,nss_pct_of_required,reconciles,doc_id
2017,01250000,0125,125,HARVARD,district,996,9175786.110199999,7758081,1896961,1896961,9655042,9655042,13725891.383531619,actual,1.4216,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2017,01620000,0162,162,LUNENBURG,district,1632,15538424.62,9187168,6351257,6351257,15538425,15538425,19861673.08961372,actual,1.2782,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2017,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2206,21190453,11043254,10675483,10675483,21718737,21718737,23854338.480000008,actual,1.0983,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2017,06160000,0616,616,AYER SHIRLEY,district,1758,17539418,10906245,8144051,8144051,19050296,19050296,23914501.840000004,actual,1.2553,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2017,06730000,0673,673,GROTON DUNSTABLE,district,2380,21908747,18375113,10706573,10706573,29081686,29081686,32583854.349999998,actual,1.1204,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2017,07350000,0735,735,NORTH MIDDLESEX,district,3300,31685058,17154907,20107493,20107493,37262400,37262400,43143633.45,actual,1.1578,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,00000000,0000,999,STATE TOTAL,state,941303.0000000418,10379173843.167685,6046916786,4745645155.949439,4745645155.949439,10792561941.949446,10796832247.94993,13572066831.261648,actual,1.2570,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,01250000,0125,125,HARVARD,district,980,9274857.152969085,7706220,1926361,1926361,9632581,9632581,14128389.023555286,actual,1.4667,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,01620000,0162,162,LUNENBURG,district,1705,16554528.397230644,9282023,7272505,7272505,16554528,16554528,21483776.187633846,actual,1.2978,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2208,21596182.82885348,11367955,10741723,10741723,22109678,22109678,25705459.947499998,actual,1.1626,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,06160000,0616,616,AYER SHIRLEY,district,1771,17859764.734966867,11291639,8197181,8197181,19488820,19488820,24545416.05260714,actual,1.2595,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,06730000,0673,673,GROTON DUNSTABLE,district,2385,22374529.724943254,18540836,10778123,10778123,29318959,29318959,33662085.74011572,actual,1.1481,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2018,07350000,0735,735,NORTH MIDDLESEX,district,3208.0000000320797,31435627.826777488,17200693,20203733.00000096,20203733.00000096,37404426.00000096,37404426.00000096,44465365.99152,actual,1.1888,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,00000000,0000,999,STATE TOTAL,state,941411.0000000228,10777588551.40456,6246842886,4906614765.802122,4906614765.802122,11153457651.802118,11158956055.478664,14079862373.393879,actual,1.2618,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,01250000,0125,125,HARVARD,district,945,9216263.062120002,7603417,1954741,1954741,9558158,9558158,15049178.855764711,actual,1.5745,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,01620000,0162,162,LUNENBURG,district,1716,17203377.8,9678671,7538072,7538072,17216743,17216743,22038812.777447533,actual,1.2801,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2260,22810309.799999997,11550868,11259442,11259442,22810310,22810310,26834746.9812,actual,1.1764,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,06160000,0616,616,AYER SHIRLEY,district,1738,18209773.01,11893424,8249321,8249321,20142745,20142745,24688289.49,actual,1.2257,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,06730000,0673,673,GROTON DUNSTABLE,district,2373,23046297.120000005,18825814,10849343,10849343,29675157,29675157,35753408,actual,1.2048,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2019,07350000,0735,735,NORTH MIDDLESEX,district,3162,32197040.990000002,17771448,20298593.00000096,20298593.00000096,38070041.00000096,38070041.00000096,45982926.35000001,actual,1.2079,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,00000000,0000,999,STATE TOTAL,state,939682.999999911,11359048511.850758,6513607368,5175694094,5175694094,11689301462,11695589440.674828,14680147542.45678,actual,1.2552,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,01250000,0125,125,HARVARD,district,931,9480813.67881527,7821672,1982671,1982671,9804343,9804343,15502687.197412953,actual,1.5812,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,01620000,0162,162,LUNENBURG,district,1705,17948505.2841987,10176765,7771740,7771740,17948505,17948505,22275868.49250772,actual,1.2411,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2266,23747271.33999095,12136491,11669561,11669561,23806052,23806052,28069473.0726,actual,1.1791,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,06160000,0616,616,AYER SHIRLEY,district,1737,19201202.775432397,12571064,8301431,8301431,20872495,20872495,25652666.820000004,actual,1.2290,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,06730000,0673,673,GROTON DUNSTABLE,district,2357,23962885.117804695,19528829,10920053,10920053,30448882,30448882,36594678,actual,1.2018,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2020,07350000,0735,735,NORTH MIDDLESEX,district,3153,33435820.1449665,18529976,20393183,20393183,38923159,38923159,46466321.06999999,actual,1.1938,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,00000000,0000,999,STATE TOTAL,state,938084.9999998874,11626531095.326303,6705321561,5283343073.48,5283343073.48,11988664634.48,12029313514.368101,15169565115.113089,actual,1.2610,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,01250000,0125,125,HARVARD,district,911,9458347.190000001,7803137,1982671,1982671,9785808,9785808,15197365.410157599,actual,1.5530,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,01620000,0162,162,LUNENBURG,district,1705,18301715.41,10527777,7773938,7773938,18301715,18301715,22735918.13520787,actual,1.2423,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2286,24646397.09,12303561,12361170,12361170,24664731,24664731,29480656.097700007,actual,1.1953,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,06160000,0616,616,AYER SHIRLEY,district,1689,19068236.100000005,12820462,8301431,8301431,21121893,21121893,26956273.320000008,actual,1.2762,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,06730000,0673,673,GROTON DUNSTABLE,district,2317,24034914.079999994,19807347,10920053,10920053,30727400,30727400,38443512.07,actual,1.2511,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2021,07350000,0735,735,NORTH MIDDLESEX,district,3158,34146333.74,19126198,20393183,20393183,39519381,39519381,47951124.61999999,actual,1.2134,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,00000000,0000,999,STATE TOTAL,state,907506.0000000488,11926225791.72623,6827673657,5502959666.600001,5502959666.600001,12330633323.6,12353873866.368965,15751797504.052347,actual,1.2750,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,01250000,0125,125,HARVARD,district,876,9395298.26,7751121,2008951,2008951,9760072,9760072,15248914.144071095,actual,1.5624,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,01620000,0162,162,LUNENBURG,district,1656,18408485.4,10908378,7823618,7823618,18731996,18731996,23919189.331993807,actual,1.2769,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2184,24454471.870000005,12482932,12426690,12426690,24909622,24909622,30157725.429999996,actual,1.2107,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,06160000,0616,616,AYER SHIRLEY,district,1642,19326736.270000003,13326540,8350691,8350691,21677231,21677231,26809377.48,actual,1.2368,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,06730000,0673,673,GROTON DUNSTABLE,district,2253,23977455.17,19781401,10987643,10987643,30769044,30769044,40834045,actual,1.3271,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2022,07350000,0735,735,NORTH MIDDLESEX,district,2991.00000002991,33474930.93033474,19920829,20482913.000000898,20482913.000000898,40403742.000000894,40403742.000000894,49497513.64,actual,1.2251,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,00000000,0000,999,STATE TOTAL,state,903751.0000000059,12890335880.607767,7166744291,5997901328.600002,5997901328.600002,13164645619.6,26449117583.61916,33425394157.49706,actual,1.2638,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,01250000,0125,125,HARVARD,district,873,9947885.43,8018632,2061331,2061331,10079963,10079963,16036088.260693321,actual,1.5909,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,01620000,0162,162,LUNENBURG,district,1671,20056630.419999998,11334402,8722228,8722228,20056630,20056630,24273712.820558168,actual,1.2103,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2258,27181254.040000007,13193830,13987424,13987424,27181254,22538076,27545172.24703507,actual,1.2222,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,06160000,0616,616,AYER SHIRLEY,district,1658,20782030.89,14087905,8450171,8450171,22538076,21082503,24421354.782187365,actual,1.1584,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,06730000,0673,673,GROTON DUNSTABLE,district,2288,26006774.040000003,20809059,11124923,11124923,31933982,8440742.000000365,13402718.7452,actual,1.5879,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2023,07350000,0735,735,NORTH MIDDLESEX,district,3066,37611036.84,20649455,20666873.000000898,20666873.000000898,41316328.000000894,28418383.00000118,32924341.366922684,actual,1.1586,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,00000000,0000,999,STATE TOTAL,state,905105.9999999338,13963389872.29413,7566302116,6592314527.600001,6592314527.600001,14158616643.599998,14185411152.350134,17670286655.354424,actual,1.2457,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,01250000,0125,125,HARVARD,district,875,10576374.95,8379508,2196867,2196867,10576375,10576375,16074234,actual,1.5198,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,01620000,0162,162,LUNENBURG,district,1615,20659694.909999996,11910986,8819128,8819128,20730114,20730114,24043451.70773381,actual,1.1598,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2282,29646112.5,13950290,15695823,15695823,29646113,29646113,32982289.184003327,actual,1.1125,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,06160000,0616,616,AYER SHIRLEY,district,1712,23119470.369999997,14814575,8552891,8552891,23367466,23367466,27562766.435625006,actual,1.1795,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,06730000,0673,673,GROTON DUNSTABLE,district,2283,27429942.139999997,21929584,11261903,11261903,33191487,33191487,45046433.3762975,actual,1.3572,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2024,07350000,0735,735,NORTH MIDDLESEX,district,3096,40550528.92,21382473,20852633.000000898,20852633.000000898,42235106.000000894,42235106.000000894,52383445.73040125,actual,1.2403,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,00000000,0000,999,STATE TOTAL,state,905572.0000000788,14535103399.717712,7972055321,6901610127.260007,6901610127.260007,14873665448,14905723473.49798,18463677878.489014,budgeted,1.2387,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,01250000,0125,125,HARVARD,district,881,10978851.09,8697832,2288491,2288491,10986323,10986323,19241826.46,budgeted,1.7514,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,01620000,0162,162,LUNENBURG,district,1633,21553250.21,12595979,8988960,8988960,21584939,21584939,25420399.654624697,budgeted,1.1777,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2241,29665602.809999995,14854145,15928887,15928887,30783032,30783032,34772532.102741785,budgeted,1.1296,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,06160000,0616,616,AYER SHIRLEY,district,1698,23852633.54,15653161,8729483,8729483,24382644,24382644,30302436.820000008,budgeted,1.2428,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,06730000,0673,673,GROTON DUNSTABLE,district,2250,27803440.189999998,22810900,11495903,11495903,34306803,34306803,45029412.61,budgeted,1.3126,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2025,07350000,0735,735,NORTH MIDDLESEX,district,3099,41616153.89999999,22365493,21174929.000000898,21174929.000000898,43540422,43540422.000000894,53835463.77099656,budgeted,1.2364,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,00000000,0000,999,STATE TOTAL,state,905307.000000098,15314834159.408,8377180548,7361555994.49002,0,15738736542.49,15779016047.856285,19579899816.615883,budgeted,1.2409,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,00190000,0019,19,AYER,district,0,0,0,0,0,0,0,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,01250000,0125,125,HARVARD,district,868,11305864.01,9082614,2418691,2418691,11501305,11501305,18114573.4,budgeted,1.5750,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,01620000,0162,162,LUNENBURG,district,1603,22073945.75,13334631,9229410,9229410,22564041,22564041,27085833,budgeted,1.2004,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2225,30580474.56,15663508,16262637,8993333,31926145,31926145,35610610,budgeted,1.1154,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,06160000,0616,616,AYER SHIRLEY,district,1759,25842986.01,16955476,8993333,12080008,25948809,25948809,30614062.73,budgeted,1.1798,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,06730000,0673,673,GROTON DUNSTABLE,district,2236,28651580.75,23386350,11831303,3510417.000000712,35217653,35217653,47961231,budgeted,1.3619,yes,sources/state-dese/dese-ch70-district-profile.xlsx
2026,07350000,0735,735,NORTH MIDDLESEX,district,2993,42024593.63,23346390,21623879.0000009,17421662.00000118,44970269.0000009,44970269.000000894,57985650,budgeted,1.2894,yes,sources/state-dese/dese-ch70-district-profile.xlsx
