video_id,board_slug,meeting_date,reason,url,seen_at
cTkc4roSbjk,select-board,2015-11-03,TranscriptsDisabled,https://www.youtube.com/watch?v=cTkc4roSbjk,2026-09-12T02:32:04Z
dagI7HJ6YGE,zoning-board-of-appeals,2015-10-28,TranscriptsDisabled,https://www.youtube.com/watch?v=dagI7HJ6YGE,2026-09-23T01:47:47Z
6MuuKvu_aM0,sewer-commission,2015-10-27,TranscriptsDisabled,https://www.youtube.com/watch?v=6MuuKvu_aM0,2026-09-23T01:48:33Z
ntsXeefvqvQ,planning-board,2015-10-26,TranscriptsDisabled,https://www.youtube.com/watch?v=ntsXeefvqvQ,2026-09-23T01:49:19Z
lnhRv2sFDF4,select-board,2015-10-20,TranscriptsDisabled,https://www.youtube.com/watch?v=lnhRv2sFDF4,2026-09-12T02:32:50Z
bnjUDBuLwVk,zoning-board-of-appeals,2015-10-14,TranscriptsDisabled,https://www.youtube.com/watch?v=bnjUDBuLwVk,2026-09-23T01:50:05Z
O85CPwYLOJ0,select-board,2015-10-13,TranscriptsDisabled,https://www.youtube.com/watch?v=O85CPwYLOJ0,2026-09-12T02:33:36Z
NDMkEeJwaTo,school-committee,2015-10-07,TranscriptsDisabled,https://www.youtube.com/watch?v=NDMkEeJwaTo,2026-09-11T11:44:48Z
d7qqDBNCfkg,select-board,2015-10-06,TranscriptsDisabled,https://www.youtube.com/watch?v=d7qqDBNCfkg,2026-09-12T02:48:39Z
ZdONmfH8nfM,sewer-commission,2015-09-29,TranscriptsDisabled,https://www.youtube.com/watch?v=ZdONmfH8nfM,2026-09-23T01:50:51Z
LA9QuPv96uQ,planning-board,2015-09-28,TranscriptsDisabled,https://www.youtube.com/watch?v=LA9QuPv96uQ,2026-09-23T01:51:37Z
a7Kkrfo2QSI,select-board,2015-09-22,TranscriptsDisabled,https://www.youtube.com/watch?v=a7Kkrfo2QSI,2026-09-12T02:49:25Z
dWN_s-13snY,select-board,2015-09-15,TranscriptsDisabled,https://www.youtube.com/watch?v=dWN_s-13snY,2026-09-12T02:50:11Z
nDaLFc-i13M,planning-board,2015-09-14,TranscriptsDisabled,https://www.youtube.com/watch?v=nDaLFc-i13M,2026-09-23T01:56:39Z
ynG-gO07NCk,school-committee,2015-09-02,TranscriptsDisabled,https://www.youtube.com/watch?v=ynG-gO07NCk,2026-09-11T11:45:34Z
gr-sxtJr4w8,sewer-commission,2015-08-25,TranscriptsDisabled,https://www.youtube.com/watch?v=gr-sxtJr4w8,2026-09-23T01:58:11Z
OMdj-WhjYXc,planning-board,2015-08-24,TranscriptsDisabled,https://www.youtube.com/watch?v=OMdj-WhjYXc,2026-09-23T01:58:57Z
PdZfICnccn8,select-board,2015-08-18,TranscriptsDisabled,https://www.youtube.com/watch?v=PdZfICnccn8,2026-09-12T02:51:43Z
qtgT6xh-5hI,ferc,2015-08-12,TranscriptsDisabled,https://www.youtube.com/watch?v=qtgT6xh-5hI,2026-09-23T01:59:43Z
oueYcG8d1SU,planning-board,2015-08-10,TranscriptsDisabled,https://www.youtube.com/watch?v=oueYcG8d1SU,2026-09-23T02:00:29Z
VujIIingwsQ,ma-efsb,2015-08-06,TranscriptsDisabled,https://www.youtube.com/watch?v=VujIIingwsQ,2026-09-23T02:01:15Z
gUk23Y_mwqs,select-board,2015-08-04,TranscriptsDisabled,https://www.youtube.com/watch?v=gUk23Y_mwqs,2026-09-12T02:53:15Z
Ih_mmbZG970,planning-board,2015-07-27,TranscriptsDisabled,https://www.youtube.com/watch?v=Ih_mmbZG970,2026-09-23T02:02:01Z
ZCAzAkpOHME,zoning-board-of-appeals,2015-07-22,TranscriptsDisabled,https://www.youtube.com/watch?v=ZCAzAkpOHME,2026-09-23T02:02:47Z
bbWBaDEruLw,select-board,2015-07-21,TranscriptsDisabled,https://www.youtube.com/watch?v=bbWBaDEruLw,2026-09-12T02:54:01Z
0n2O91nf7Bw,select-board,2015-07-14,TranscriptsDisabled,https://www.youtube.com/watch?v=0n2O91nf7Bw,2026-09-12T02:54:47Z
t1921weuaNw,planning-board,2015-07-13,TranscriptsDisabled,https://www.youtube.com/watch?v=t1921weuaNw,2026-09-23T02:03:34Z
zBscg0oxoeg,sewer-commission,2015-06-30,TranscriptsDisabled,https://www.youtube.com/watch?v=zBscg0oxoeg,2026-09-23T02:05:06Z
4NAECN3j_uo,select-board,2015-06-23,TranscriptsDisabled,https://www.youtube.com/watch?v=4NAECN3j_uo,2026-09-12T02:56:19Z
k0UFg3u4Ltw,planning-board,2015-06-22,TranscriptsDisabled,https://www.youtube.com/watch?v=k0UFg3u4Ltw,2026-09-23T02:06:38Z
lw-Ps4O9hYU,finance-committee,2015-06-11,TranscriptsDisabled,https://www.youtube.com/watch?v=lw-Ps4O9hYU,2026-09-11T22:31:53Z
