fy,department,pages,people,form,reason,evidence
2024,Teaching & Learning Models and PD Update,99-100,,,"mentions staff, states no number",trict staff with multiple sessions on cultural competence; we received positive feedback around the impact of this work
2013,Technology Department,18-19,,,"mentions staff, states no number","graduating from Fitchburg State. Our staff has remained the same this year, but our network administrator Josh Branham has taken on a full time position following"
2016,Technology Department,104-104,,,"mentions staff, states no number","cess to the network for students, faculty, and staff - even allowing for multiple devices per person."
2017,Technology Department,101-101,,,"mentions staff, states no number","in IT to serve our students, faculty, and staff proactively, so that the tools used to"
2015,Town & School Employee Compensation,206-211,,,no mention of staff on its own pages,
2016,Town & School Employee Compensation,198-202,,,no mention of staff on its own pages,
2013,Town Manager,9-9,,,no mention of staff on its own pages,
2020,Town Manager,17-21,,,"mentions staff, states no number","opening measures that adequately protected our employees, students and the public, remote learning for"
2022,Town Manager,18-23,,,no mention of staff on its own pages,
2023,Town Manager,18-23,,,no mention of staff on its own pages,
2017,Town Manager Report,16-19,,,"mentions staff, states no number",Manager's recommendation was to begin to fund the Other Post-Employment Benefits
2015,Town Manager Report- Kerry A. Lafleur,19-19,,,no mention of staff on its own pages,
2016,Town Manager Report-Heather R. Lemieux,18-19,,,"mentions staff, states no number","respect that each of you gives your fellow members, the staff, and the public and well thought out"
2014,Town/School Employee Compensation,168-168,,,no mention of staff on its own pages,
2024,Trust and Stabilization Funds Held by Other Banks,35-35,,,no mention of staff on its own pages,
2025,Trust and Stabilization Funds Held by Other Banks,37-37,,,no mention of staff on its own pages,
2017,Turkey Hill Elementary,109-112,,,"mentions staff, states no number",conduits of communication between administration and staff and decision makers about
2016,Turkey Hill Elementary School,111-114,,,"mentions staff, states no number",school for students in grades 3 -5. The staff includes a number of skilled veterans who have been reunited from
2024,Turkey Hill Elementary School,106-108,,,"mentions staff, states no number","lor, and 21 full time teachers. Other support personnel who work across the district include an ELA coach, a Math"
2025,Turkey Hill Elementary School,101-103,,,"mentions staff, states no number",full time teachers. Other support personnel who work across the district include an ELA coach (through
2015,Turkey Hill Middle School,108-111,,,"mentions staff, states no number",The dedicated and accomplished staff of professionals within the school embraces the philosophy of educating the
2019,Veteran's Agent,88-98,47,career staff plus the low end of the on-call range,,"In 2019 your Fire Department responded to 1885 calls for service, broken down as follows: Fires & Hazardous Conditions 420 Emergency Medical 949 Inspections 554 Other 26 Current Fire Department staffi"
2020,Veteran's Agent,80-81,,,no mention of staff on its own pages,
2016,Veterans Services,78-79,,,"mentions staff, states no number",Referral to veteran employment services
2022,Veterans' Services,77-79,,,"mentions staff, states no number",• Employment assistance
2023,Veterans' Services,84-87,,,"mentions staff, states no number",• Employment assistance
2024,Veterans' Services,69-70,,,"mentions staff, states no number",• Employment assistance
2025,Veterans' Services,68-69,,,"mentions staff, states no number",--Employment assistance
2013,Zoning Board of Appeals,19-19,,,no mention of staff on its own pages,
2014,Zoning Board of Appeals,88-90,,,no mention of staff on its own pages,
2015,Zoning Board of Appeals,95-98,,,no mention of staff on its own pages,
2016,Zoning Board of Appeals,97-100,,,"mentions staff, states no number",A successful school actively engages students and staff.
