fy,department,pages,people,form,reason,evidence
2018,Fiscal Year 2018 Omnibus Budget,155-155,,,no mention of staff on its own pages,
2019,Fiscal Year 2020 Omnibus Budget,161-164,,,no mention of staff on its own pages,
2024,General Fund Accounts Receivable Detail,22-22,,,no mention of staff on its own pages,
2014,General Fund Revenues Chart,21-22,,,no mention of staff on its own pages,
2021,Green Communities Committee,65-65,,,"mentions staff, states no number",• Building Operator Training for Dept. of Public Works staff
2011,Green Community Task Force,30-31,,,no mention of staff on its own pages,
2013,Green Community Task Force,14-15,,,"mentions staff, states no number",youngsters in school system are provided by the Nashoba dental staff. With our Nahoba Nursing and Hospice partners we provide in-
2014,Green Community Task Force,56-56,,,"mentions staff, states no number",lighting supplies from Bulbs.com. Lunenburg DPW personnel are installing the lamps. Remaining work
2015,Green Community Task Force,60-60,,,"mentions staff, states no number",for lighting supplies from Bulbs.com. Lunenburg DPW personnel are installing the lamps. Remaining
2013,Health 12 Historical Commission,18-18,,,"mentions staff, states no number","graduating from Fitchburg State. Our staff has remained the same this year, but our network administrator Josh Branham has taken on a full time position following"
2011,Health 14 Historical Commission,20-21,,,"mentions staff, states no number",obligated to address weekend and overnight coverage in the station for the safety of our community. Currently we staff the
2014,High School,106-110,,,"mentions staff, states no number","This year, we oriented 128 eighth grade students, three teachers, and four staff members to our"
2015,High School,112-116,,,"mentions staff, states no number","year, we oriented 116 eighth grade students, four teachers, and six staff members to our building and school"
2016,High School,117-120,,,"mentions staff, states no number",staff members) will be able to participate in the Blood Drive with parent permission.
2017,High School,116-121,,,"mentions staff, states no number",sixteen and over (and staff members) will be able to participate in the Blood Drive with
2014,Historical Commission,56-56,,,no mention of staff on its own pages,
2016,Historical Commission,66-66,,,no mention of staff on its own pages,
2017,Historical Commission,61-61,,,no mention of staff on its own pages,
2019,Historical Commission,74-74,,,no mention of staff on its own pages,
2020,Historical Commission,66-66,,,no mention of staff on its own pages,
2021,Historical Commission,66-66,,,no mention of staff on its own pages,
2022,Historical Commission,65-65,,,no mention of staff on its own pages,
2024,Historical Committee,55-55,,,no mention of staff on its own pages,
2025,Housing Authority Submitted Lunenburg Public Library,55-60,,,"mentions staff, states no number","department heads, municipal staff, and school employees for their dedication to the town."
2015,Information Technology,61-61,,,"mentions staff, states no number","We have almost an entirely new staff this year, with only the director remaining constant from the"
2016,Information Technology,67-69,4,"a named roster, one biography per person",,Steve Malandrinos; Daniel Nadareski; Jordan Pochini; Nicholas Scoggins
2017,Information Technology,62-62,4,"a named roster, one biography per person",,Steve Malandrinos; Daniel Nadareski; Jordan Pochini; Nicholas Scoggins
2020,Information Technology,67-67,3,"a named roster, one biography per person",,Steve Malandrinos; Daniel Nadareski; Neil Trahan
2015,LUNENBURG PUBLIC SCHOOLS,99-99,,,"mentions staff, states no number",• A successful school actively engages students and staff.
2018,LUNENBURG PUBLIC SCHOOLS,110-133,,,"mentions staff, states no number","given to the school staff to flush taps at the start of the school day, repairs to some fixtures were"
2019,LUNENBURG PUBLIC SCHOOLS,113-136,,,"mentions staff, states no number",emerged as an area for additional focus at all grades. All principals worked with staff to include
2013,Library 10-11 Meetings,5-5,,,"mentions staff, states no number",Personnel Board 1st Thursday 6:00 PM Lunenburg Public Library
2011,Library 22-23 Meetings,5-5,,,"mentions staff, states no number",Personnel Board 1st Thursday 6:00 PM Lunenburg Public Library
2016,Library 68-69 Public Access Channel Committee,70-74,,,"mentions staff, states no number","Staff, Producers and Volunteers"
2024,Lunenburg High School,111-115,,,"mentions staff, states no number",Lunenburg High School Staff Roster
2025,Lunenburg High School,107-110,,,"mentions staff, states no number",Lunenburg High School Faculty/Staff Roster
2024,Lunenburg Middle School,109-111,,,"mentions staff, states no number","complished staff of professionals within the school embraces the philosophy of educating the whole child academically,"
2025,Lunenburg Middle School,103-106,,,"mentions staff, states no number",communication. The dedicated and accomplished staff of professionals within the school embraces the
2024,Lunenburg Primary School,102-105,,,"mentions staff, states no number","Our school community consists of students, families, teachers, instructional staff, and support personnel who"
2025,Lunenburg Primary School,98-101,,,"mentions staff, states no number",staff working collaboratively to ensure that every child's individual needs are met. By focusing on the whole
2024,Lunenburg Public Access,60-65,,,"mentions staff, states no number","including Cemetery Commission, Board of Assessors, Personnel Committee and Master Plan Steering Committee."
2025,Lunenburg Public Access,60-66,,,"mentions staff, states no number","staff, volunteers, Trustees, Friends, and patrons who make this library the exceptional place it is."
2024,Lunenburg Public Library,56-59,,,"mentions staff, states no number","All three of our young library pages are brand new employees, their predecessors leaving to pursue their studies, and we"
2014,Lunenburg Public Schools,91-91,,,"mentions staff, states no number",A successful school actively engages students and staff.
2020,Lunenburg Public Schools,102-128,,,"mentions staff, states no number",Teams (BHST) were established. These teams review student cases referred by staff or administration. TST
2021,Lunenburg Public Schools,100-121,,,"mentions staff, states no number",student cases referred by staff or administration and determine which academic or social/emotional/
2022,Lunenburg Public Schools,100-119,,,"mentions staff, states no number",to inform their instruction; and hired tutoring/intervention staff for additional academic supports during the school day as
2023,Lunenburg Public Schools,116-139,,,"mentions staff, states no number","Now, with staff, curriculum and best practices in place, we are seeing improved student outcomes. We must con-"
2025,Lunenburg Public Schools IT,91-91,,,"mentions staff, states no number",devices to monitor any malicious activities on the staff devices and lab computers.
2024,Lunenburg Public Schools IT Review,96-96,,,"mentions staff, states no number",and the emergency personnel will receive both the building as well as the room number of the caller.
2024,Lunenburg School Food Service,101-101,,,"mentions staff, states no number",uses LINQ Connect for Point of sale including student and staff account payment/management.
2016,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL,123-138,,,"mentions staff, states no number",the evening with their family members to further explore the facilities and talk with staff members.
2023,Master Planning Steering Committee,111-111,,,no mention of staff on its own pages,
2014,Meeting Schedule,167-167,,,"mentions staff, states no number",PERSONNEL BOARD Ist Thursday 6:30 PM Public Library
2018,Meeting Schedules ooooooooooooo a o,255-255,,,no mention of staff on its own pages,
2014,Middle School,103-105,,,"mentions staff, states no number",honest communication. The dedicated and accomplished staff of professionals within the school
2016,Middle School,114-116,,,"mentions staff, states no number",munication. The dedicated and accomplished staff of professionals within the school embraces the philos-
2017,Middle School,113-115,,,"mentions staff, states no number",and accomplished staff of professionals within the school embraces the philosophy of
2025,Montachusett Regional Vocational,111-134,,,"mentions staff, states no number","students, families, instructors, staff, administrators and community partners. As always, I"
2011,Montachusett Regional Vocational Technical School,46-55,,,"mentions staff, states no number","it has provided me with an opportunity to reflect on the achievements and activities of our students, faculty and staff. It"
2013,Montachusett Regional Vocational Technical School,44-59,,,"mentions staff, states no number","education to area youth. A Monty Tech education not only prepares students for employment, but also for post-"
2014,Montachusett Regional Vocational Technical School,111-112,,,no mention of staff on its own pages,
2020,Montachusett Regional Vocational Technical School,129-144,,,"mentions staff, states no number","Report, I was reminded of the progress and accomplishments made by our students and staff, during an"
2021,Montachusett Regional Vocational Technical School,122-137,,,"mentions staff, states no number","While face-to-face instruction was provided, that, too, looked and felt different to students and staff. On those days"
2023,Montachusett Regional Vocational Technical School,140-161,,,"mentions staff, states no number",employed for more than 3 months. This is an effort we continue to be so proud of.
2024,Montachusett Regional Vocational Technical School District,116-136,,,"mentions staff, states no number","in support of the ground-breaking efforts of our students, faculty, staff and"
2022,Montachusett Regional Vocational Technical School ooooooooooo a o,120-139,,,"mentions staff, states no number","faculty, staff and administrative team, has allowed for a successful transition into this new"
2011,Nashoba Associated Boards of Health,17-20,,,no mention of staff on its own pages,
2013,Nashoba Associated Boards of Health,15-18,,,"mentions staff, states no number","graduating from Fitchburg State. Our staff has remained the same this year, but our network administrator Josh Branham has taken on a full time position following"
2014,Nashoba Associated Boards of Health,68-73,,,"mentions staff, states no number","staff including: Registered Sanitarians, Certified Health Officers, Registered Nurses,"
2015,Nashoba Associated Boards of Health,76-80,,,"mentions staff, states no number",• Through membership in the Association Lunenburg benefited from the services of Nashoba staff including:
2016,Nashoba Associated Boards of Health,81-84,,,"mentions staff, states no number","Through membership in the Association, Lunenburg benefited from the services of Nashoba staff including: reg-"
2017,Nashoba Associated Boards of Health,75-78,,,"mentions staff, states no number","Nashoba staff including: Registered Sanitarians, Certified Health Officers, Registered"
2018,Nashoba Associated Boards of Health,91-95,,,"mentions staff, states no number",Through membership in the Association Lunenburg benefited from the services of Nashoba staff including: Regis-
2020,Nashoba Associated Boards of Health,83-85,,,"mentions staff, states no number",your Health Agent our staff adjusted to provide the needed responses as listed below.
2021,Nashoba Associated Boards of Health,83-85,,,"mentions staff, states no number",• We added additional public health nursing staff and contact tracers to help with contact tracing and
2022,Nashoba Associated Boards of Health,80-83,,,"mentions staff, states no number","• The agency staff informed, educated and stayed current with the COVID-19 information from the Department of Public"
2023,Nashoba Associated Boards of Health,88-91,,,"mentions staff, states no number","• The agency staff informed, educated and stayed current with the COVID-19 information from the Department of Public"
2024,Nashoba Associated Boards of Health,72-75,,,"mentions staff, states no number","Since 2022, the PHE Grant has enabled the onboarding of staff over time, including two Health Agents, an Education"
2025,Nashoba Associated Boards of Health,71-75,,,"mentions staff, states no number","The PHE Grant has enabled the onboarding of staff over time, including two Health Agents, an"
2011,Office Hours,4-4,,,no mention of staff on its own pages,
2015,Omnibus Budget FY 2016,140-140,,,no mention of staff on its own pages,
2014,Omnibus Budget FY2015,139-151,,,"mentions staff, states no number","Article 8. Staff. The Town Manager shall appoint or hire staff as is necessary, to meet programming,"
2025,PD Update Lunenburg School Food Service,97-98,,,"mentions staff, states no number","nutrition analysis while saving staff time. Additionally, allowing students to enter their own identification"
2020,PROTECTION OF PERSONS & PROPERTY page Board of Health,82-82,,,"mentions staff, states no number","Police, Firemen and EMT personnel from each town while following State requirements. Clinics have also"
2013,Payroll Report 89,96-96,,,no mention of staff on its own pages,
2011,Payroll Report 97-99 10 PM Personnel Committee,26-27,,,"mentions staff, states no number",is Trustees Friends Staff
2013,Planning Board,13-13,,,no mention of staff on its own pages,
2014,Planning Board,86-87,,,no mention of staff on its own pages,
2015,Planning Board,94-94,,,no mention of staff on its own pages,
2016,Planning Board,95-96,,,no mention of staff on its own pages,
2017,Planning Board,91-92,,,no mention of staff on its own pages,
2018,Planning Board,105-105,,,no mention of staff on its own pages,
2020,Planning Board,97-97,,,"mentions staff, states no number","Lunenburg, business owners and applicants for their cooperation and patience as the staff and Board adjusted"
2021,Planning Board,97-97,,,no mention of staff on its own pages,
2022,Planning Board,95-95,,,no mention of staff on its own pages,
2023,Planning Board,109-110,,,"mentions staff, states no number",the Town for 26 years and was appreciated by staff and the Lunenburg Community. Annie Aubrey joined to
2024,Planning Board,88-89,,,no mention of staff on its own pages,
2025,Planning Board,84-85,,,no mention of staff on its own pages,
2013,Police Department,27-30,,,"mentions staff, states no number","Once again, thank you for the opportunity to serve as your Police Chief. I am pleased to introduce five new members to our patrol staff;"
2015,Police Department,84-92,,,"mentions staff, states no number",first employed by the Town in 1981 and in 1982 accepted a position with the police department as the
2017,Police Department,82-89,,,"mentions staff, states no number",he is now employed as a Police Officer. I'm confident that Deven will serve the Citizens of
2018,Police Department,99-103,,,"mentions staff, states no number","ployed 27 times. In the first half of fiscal 2017, staff assignments had to be increased 75 times to effectively"
2020,Police Department,89-93,,,"mentions staff, states no number",addiction. It is a pleasure to welcome Sgt. Mathieu to the department's command staff.
2021,Police Department,89-95,,,"mentions staff, states no number",Department Personnel:
2022,Police Department,86-93,,,"mentions staff, states no number","• We recognize the value of our employees, and recognize they are our most valued resource. We will strive to"
2023,Police Department,95-107,,,"mentions staff, states no number","• We recognize the value of our employees, and recognize they are our most valued resource. We will"
2024,Police Department,79-85,,,"mentions staff, states no number","• We recognize the value of our employees, and recognize they are our most valued resource. We will"
2025,Police Department,79-82,,,"mentions staff, states no number",• We recognize the value of our employees and recognize they are our most valued resource. We will
2016,Police Department **•,88-92,,,"mentions staff, states no number",In December of 2016 Pete's career path took him to the City of Boston where he is now employed as a
2020,"Presidential Primary Election March 3, 2020",192-195,,,no mention of staff on its own pages,
2016,"Presidential Primary March 1, 2016",188-191,,,no mention of staff on its own pages,
2014,Primary School,99-102,,,"mentions staff, states no number","Our staff works hard to maintain a school culture which is positive, inclusive, and"
2015,Primary School,105-107,,,"mentions staff, states no number",education or employment one year after leaving high school. Engagement is defined through three measurements:
2016,Primary School,108-109,,,"mentions staff, states no number",teachers and support staff; working together to create an educationally rich and safe learning environment that
2017,Primary School,105-108,,,"mentions staff, states no number",healthy choices giving us a bronze level on our score. The Primary Cafeteria staff looks
2025,Program Sewer Commission,67-68,,,no mention of staff on its own pages,
2019,Public Access Cable Committee,79-84,,,"mentions staff, states no number","Staff, Producers and Volunteers"
2020,Public Access Cable Committee,71-76,,,"mentions staff, states no number","Staff, Producers and Volunteers"
2021,Public Access Cable Committee,70-81,,,"mentions staff, states no number","PAC Manager, staff and committee members regularly attend MassAccess conferences and Meet & Greets to"
2022,Public Access Cable Committee,69-72,,,"mentions staff, states no number","PAC Manager, staff and committee members regularly attend MassAccess conferences and Meet & Greets to develop"
2023,Public Access Cable Committee,75-81,,,"mentions staff, states no number","PAC Manager, staff and committee members regularly attend MassAccess conferences and Meet & Greets to"
2015,Public Access Channel Committee,62-66,,,"mentions staff, states no number","Staff, Producers and Volunteers"
2017,Public Access Channel Committee,65-69,,,"mentions staff, states no number",ly being used by the PAC staff.
2014,Public Library,57-58,,,"mentions staff, states no number","can easily give us feedback or ask a question of the Library staff. The LPL also ""virtualized"" all of our"
2017,Public Library,63-64,,,"mentions staff, states no number",as leveraging the skills of some of the Library's staff to help other organizations get the word out on a
2019,Public Library,75-78,10,a stated headcount,,There are new faces on staff at your library. Retirements and graduations mean that five people working at the library are new to their jobs in 2019-we only employ ten total-and the staff is happier t
2020,Public Library,68-70,,,"mentions staff, states no number",during the spring and the pandemic. The unexpected challenges which arose were met by our library staff's
2021,Public Library,67-69,,,"mentions staff, states no number","Fiscal year 2021 was filled with disruption, but our library staff focused on improving the value of the library"
2022,Public Library,66-68,,,"mentions staff, states no number","library staff for help on a question or a reading recommendation without visiting the library. Of course, if you never"
2023,Public Library,71-74,,,"mentions staff, states no number","as analog for the efforts of both the staff and the library trustees to build a safe, inclusive, and welcoming envi-"
2015,"Public Library 67,",68-68,,,no mention of staff on its own pages,
