dor_code,municipality,fy,residential,open_space,commercial,industrial,personal_property,total,ro_pct,cip_pct,source_file,sha256
019,Ayer,2002,375072600,0,70997300,131128700,137396470,714595070,52.4874,47.5126,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2003,420626800,0,70971400,128614400,131559230,751771830,55.9514,44.0486,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2004,462798900,0,78677500,131541900,125676590,798694890,57.9444,42.0556,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2005,544647500,0,83473400,135543300,116440030,880104230,61.8844,38.1156,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2006,598705500,0,87754900,134465700,108596580,929522680,64.41,35.59,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2007,630638700,0,89070200,132571800,105772880,958053580,65.825,34.175,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2008,668655200,0,93624000,144055300,100495560,1006830060,66.4119,33.5881,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2009,650453000,0,93490300,144581000,102238800,990763100,65.6517,34.3483,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2010,627463300,0,93092300,145299000,106888850,972743450,64.5045,35.4955,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2011,624918400,0,98060200,140806100,103580890,967365590,64.6,35.4,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2012,624899400,0,97595100,140761800,108373020,971629320,64.3146,35.6854,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2013,621119500,0,98149200,143514100,106480690,969263490,64.0816,35.9184,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2014,628963700,0,100935500,146140500,106771970,982811670,63.9964,36.0036,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2015,643066800,0,105074600,143047000,124622000,1015810400,63.3058,36.6942,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2016,675182600,0,106187100,145008400,119737580,1046115680,64.5419,35.4581,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2017,717378800,0,111597300,150707900,118435600,1098119600,65.3279,34.6721,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2018,756632300,0,112845500,150479600,133618860,1153576260,65.5901,34.4099,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2019,819924700,0,116819900,158111200,136895270,1231751070,66.5658,33.4342,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2020,871752300,0,124548700,164134400,140604790,1301040190,67.0043,32.9957,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2021,919843200,0,126591700,161276800,144057950,1351769650,68.0473,31.9527,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2022,1009870200,0,132316100,167419300,152385660,1461991260,69.075,30.925,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2023,1129618443,0,138869227,178340400,153389430,1600217500,70.5916,29.4084,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2024,1246426912,0,144792929,185750200,155449910,1732419951,71.9472,28.0528,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2025,1351356965,0,163325631,225030400,172978440,1912691436,70.6521,29.3479,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2026,1478265606,0,159447407,237062375,191137160,2065912548,71.5551,28.4449,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
019,Ayer,2027,,,,,,,,,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
097,Fitchburg,2002,1053806104,0,162727809,94092800,54890000,1365516713,77.1727,22.8273,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
097,Fitchburg,2003,1272004405,0,164842338,96420700,59520380,1592787823,79.8603,20.1397,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
097,Fitchburg,2004,1538374509,0,173083428,102105375,65316020,1878879332,81.8772,18.1228,assessedvalues.xlsx,a00e38d28f989855d544fbaeac27038c445a4a9aff631cfe1f6cddc11d9cb3a1
