ran_at,as_of,new_agendas,new_minutes,new_videos,new_transcripts,new_our_minutes,deployed,seconds,timings,notes,state
2026-09-12T02:03:35Z,2026-09-11,7,5,0,6,1,no,,,transcript fetch skipped: the backfill is running,
2026-09-12T11:36:37Z,2026-09-12,0,0,0,0,0,no,,,transcript fetch skipped: the backfill is running,
2026-09-13T13:12:14Z,2026-09-13,0,0,0,0,0,yes,734,watch_meetings.py=95 extract_minutes.py=1 build_minutes_searchable.py=13 write_agenda_preview.py=0 watch_documents.py=144 watch_feeds.py=1 watch_youtube.py=0 build_youtube_classification.py=0 reconcile_minutes.py=0 build_meeting_feed.py=0 build_recording_minutes.py=0 build_notices.py=0 tag_document_affinity.py=2 build_search_index.py=56 build_app_metrics.py=0 build_sitemap.py=0 sync_search_d1.py=225 npm_build:site=174 npx_pages_deploy=17,transcript fetch skipped: the backfill is running,
2026-09-15T14:48:47Z,2026-09-15,2,0,2,8,3,yes,6521,watch_meetings.py=93 fetch_agendas.py=46 extract_minutes.py=1 build_minutes_searchable.py=11 write_agenda_preview.py=39 watch_documents.py=139 watch_feeds.py=1 watch_youtube.py=0 build_youtube_classification.py=0 fetch_youtube_transcripts.py=325 write_recording_minutes.py_select-board_2026-03-17=165 write_recording_minutes.py_select-board_2026-03-16=302 write_recording_minutes.py_select-board_2026-03-10=93 write_budget_state.py=472 build_budget_season.py_fy28=0 reconcile_minutes.py=4435 build_meeting_feed.py=0 build_recording_minutes.py=0 build_notices.py=0 build_boards.py=5 build_budget_feed.py=0 build_budget_feed.py=0 build_budget_feed.py=1 tag_document_affinity.py=1 build_search_index.py=70 build_app_metrics.py=0 build_sitemap.py=0 sync_search_d1.py=77 npm_build:site=193 npx_pages_deploy=40,"898 recordings await minutes; wrote 3; 2 row(s) proposed for the FY28 board in sources/data/budget-seasons/fy28.proposed.csv -- confirm by copying into fy28.csv; a budget story may be forming: athletic -- 19 lines across 9 meetings, 2026-06-24 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: transportation -- 21 lines across 7 meetings, 2026-06-24 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: school choice -- 8 lines across 7 meetings, 2026-06-24 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: capital plan -- 8 lines across 5 meetings, 2026-07-14 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: snow and ice -- 6 lines across 4 meetings, 2026-06-24 to 2026-09-01; add to sources/data/budget-threads.csv to give it a thread",
2026-09-21T22:17:17Z,2026-09-21,3,0,1,0,3,yes,5337,watch_meetings.py=82 fetch_agendas.py=46 extract_minutes.py=2 build_minutes_searchable.py=5 write_agenda_preview.py=0 watch_documents.py=148 write_document_budget_state.py=0 watch_feeds.py=1 watch_youtube.py=0 build_youtube_classification.py=0 fetch_youtube_transcripts.py=0 write_recording_minutes.py_select-board_2025-09-23=176 write_recording_minutes.py_select-board_2025-09-15=59 write_recording_minutes.py_select-board_2025-09-09=122 ocr_scanned_minutes.py=1 extract_official_votes.py=1958 write_budget_state.py=282 build_budget_season.py_fy28=0 reconcile_minutes.py=197 extract_document_timestamps.py=20 build_meeting_register.py=3 build_meeting_feed.py=0 build_recording_minutes.py=0 build_notices.py=0 build_boards.py=4 build_budget_feed.py=0 build_feeds.py=0 build_budget_feed.py=0 build_budget_feed.py=1 tag_document_affinity.py=2 build_search_index.py=266 build_app_metrics.py=0 build_sitemap.py=0 pull_questions.py=5 build_agentic_backlog.py=4 sync_search_d1.py=133 sync_archive.py=33 sync_archive.py=828 npm_build:site=896 npx_pages_deploy=46,"849 recordings await minutes; wrote 3; 2 row(s) proposed for the FY28 board in sources/data/budget-seasons/fy28.proposed.csv -- confirm by copying into fy28.csv; a budget story may be forming: transportation -- 25 lines across 10 meetings, 2026-05-20 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: athletic -- 19 lines across 9 meetings, 2026-05-20 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: school choice -- 13 lines across 9 meetings, 2026-06-24 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: capital plan -- 8 lines across 5 meetings, 2026-07-14 to 2026-09-09; add to sources/data/budget-threads.csv to give it a thread; a budget story may be forming: Turkey Hill -- 5 lines across 5 meetings, 2026-07-21 to 2026-09-16; add to sources/data/budget-threads.csv to give it a thread",ok
