fy,held_as,amount,column,page,document
2024,Enterprise Bank General Fund Investment,652049.93,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Enterprise Bank-School Activity Fees,291736.13,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Enterprise Bank-Security Street,6622.24,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Fidelity Bank -EOCD Grant,93621.31,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Fidelity Bank General Fund,100.0,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Fidelity Bank General Fund Investment,2271965.17,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Fidelity Bank-ARRA EECBG Grant,307.42,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Fidelity Bank-Senior Grant,1742.47,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Fidelity Bank-Sewer Hook-Up,20.75,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Harbor One Bank General Fund Investment,224683.51,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Hometown Bank General Fund Investment,544854.48,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank - ARPA CLFRF Fund,3681117.84,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank General Fund Investments,668875.05,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank-PEG Access Enterprise,256769.11,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank-Sewer Enterprise,1474096.31,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank-Trash Enterprise |,167232.93,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank-Vehicle/Equipment Stabilization,2254933.99,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Main Street Bank-Water Enterprise,53288.01,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Mass Municipal Depository Trust (MMDT) Arts Lottery,11382.83,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Mass Municipal Depository Trust (MMDT) General Fund Investment,222203.97,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Mass Municipal Depository Trust (MMDT) Highway Bond Issue,3170.22,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,Mass Municipal Depository Trust (MMDT) Playground Fund,88.13,as printed,33,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
