fy,held_as,amount,column,page,document
2020,Mass Municipal Depository Trust (MMDT) Investment,231057.78,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Newburyport Bank-Investment,3083559.18,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,OPEB,368833.19,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,People's United Bank Investment,165863.25,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Petty Cash / Certain Departments,4400.0,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,TD BankNorth Investment,56832.93,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,TD BankNorth Zoning Stabilization,230431.4,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Touchstone Library Trust Funds,28434.4,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Unibank CD,213375.45,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Unibank Investment,983968.87,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Unibank Linde Sacksen Scholarship Fund,2122.47,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Unibank Sewer I/I Stabilization,21.13,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Unibank Sewer Reserve Capacity Stabilization,7597.23,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Unibank State Depository,3320193.5,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Bank Hometown Investment,521202.6,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Bartholomew Stabilization Fund,1848802.86,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Bartholomew-Sewer Capital Reserve Stabilization,56512.43,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Batholomew Trust Funds,894254.52,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Century Bank Investment,160684.99,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Century Bank-Security Street,6505.44,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Eastern Bank Investment,100558.65,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Eastern Bank-School Activity Fees,141945.72,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Enterprise Bank Investment,160216.5,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Fidelity Bank -EOCD Grant,90533.07,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Fidelity Bank Investment,1017532.36,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Fidelity Bank-ARRA EECBG Grant,298.06,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Fidelity Bank-Senior Grant,1688.74,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Fidelity Bank-Sewer Hook-Up,20.13,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Harbor One Bank Investment,825413.07,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,MMDT Arts Lottery,7103.19,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,MMDT Highway Bond Issue,2820.75,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,MMDT Playground Fund,80.35,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Main Street Bank Investments,748123.65,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Main Street Bank-Sewer Enterprise,1426830.87,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Main Street Bank-Trash Enterprise,31489.3,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Main Street Bank-Vehicle/Equipment Stabilization,643788.8,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Main Street Bank-Water Enterprise,54075.32,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Mass Municipal Depository Trust (MMDT) Investment,229136.33,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Newburyport Bank-Investment,502010.51,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,OPEB,210909.79,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,People's United Bank Investment,1125056.36,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,TD BankNorth Investment,56594.5,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,TD BankNorth Zoning Stabilization,229464.69,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Touchstone Library Trust Funds,27109.5,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Unibank CD,212258.2,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Unibank Investment,291037.31,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Unibank Linde Sacksen Scholarship Fund,2417.49,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Unibank Sewer I/I Stabilization,21.03,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Unibank Sewer Reserve Capacity Stabilization,10032.72,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2019,Unibank State Depository,3443091.2,prior year,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2018,Bank Hometown Investment,266771.12,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Bartholomew Stabilization Fund,1740279.81,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Bartholomew Trust Funds,887374.02,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Bartholomew-Sewer Capital Reserve Stabilization,26866.21,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Belmont Savings Bank Investment,1871168.49,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Century Bank Investment,158768.98,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Century Bank-Security Street,6427.44,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Eastern Bank-School Activity Fees,132735.05,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Enterprise Bank Investment,159897.28,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Fidelity Bank -EOCD Grant,90397.37,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Fidelity Bank Investment,1424221.62,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Fidelity Bank-ARRA EECBG Grant,297.94,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Fidelity Bank-Senior Grant,1687.91,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Fidelity Bank-Sewer Hook-Up,20.13,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Harbor One Bank Investment,1362848.08,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Investment,223549.81,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,MMDT Arts Lottery,6330.86,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,MMDT Highway Bond Issue,2751.88,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,MMDT Playground Fund,77.69,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Main Street Bank Investments,777930.84,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Main Street Bank-Sewer Enterprise,1334366.73,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Main Street Bank-Trash Enterprise,57838.57,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Main Street Bank-Vehicle/Equipment Stabilization,236302.39,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Main Street Bank-Water Enterprise,7713.55,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,OPEB,103407.77,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Petty Cash / Certain Departments,4400.0,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,TD BankNorth Investment,56453.19,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,TD BankNorth Zoning Stabilization,228891.82,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Touchstone Library Trust Funds,25708.98,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Unibank CD,210490.91,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Unibank Depository,411659.51,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Unibank Linde Sacksen Scholarship Fund,2410.13,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Unibank Money Market,2584200.74,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Unibank Sewer I/1 Stabilization,20.87,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,Unibank Sewer Reserve Capacity Stabilization,3524.95,as printed,43,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2017,Bartholomew Stabilization Fund,1631430.63,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Bartholomew Trust Funds,936095.18,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Belmont Savings Bank Investment,2509661.15,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Century Bank Investment,157559.36,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Century Bank Security Street,6377.9,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Commerce Bank Investment,264665.16,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Eastern Bank School Activity Fees,103612.21,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Enterprise Bank Investment,159578.71,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank ARRA EECBG,297.82,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank EOCD Grant,90261.89,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank Investment,1557386.67,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank Senior Grant,1687.08,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank Sewer Enterprise,1167051.94,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank Sewer Hook-Up,20.13,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank Trash Enterprise,19363.42,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Fidelity Bank Water Enterprise,46672.25,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Harbor One Bank Investment,420597.49,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Harbor One Bank School Construction,1287011.0,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,MMDT Arts Lottery,3566.77,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,MMDT Highway Bond Issue,2708.85,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,MMDT Playground Fund,77.69,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Main Street Bank,600676.51,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Mass Municipal Depository Trust (MMDT),220093.16,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,TD BankNorth Investment,56312.24,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,TD BankNorth Zoning Stabilization,228320.36,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Touchstone Library Trust Funds,23278.2,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Unibank CD,209704.51,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Unibank Depository,339787.16,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Unibank Linde Sacksen Scholarship Fund,2906.81,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Unibank Money Market,1730521.8,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Unibank Sewer I/I Stabilization,14535.52,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Unibank Sewer Reserve Capacity Stabilization,10297.48,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,Webster Bank Investment,36522.83,as printed,36,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2016,Bartholomew Stabilization Fund,1511526.92,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Bartholomew Trust Funds,949365.51,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Belmont Savings Bank Investment,3056644.21,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Belmont Savings Bank School Construction,30021.49,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Century Bank Investment,156972.71,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Century Bank Security Street,6353.95,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Commerce Bank Investment,262313.56,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Eastern Bank School Activity Fees,107823.96,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Enterprise Bank Investment,159259.94,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank ARRA EECBG,297.7,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank EOCD Grant,90126.79,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank Investment,1732956.1,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank Senior Grant,1686.25,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank Sewer Enterprise,917871.84,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank Sewer Hook-Up,20.13,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank Trash Enterprise,28967.2,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Fidelity Bank Water Enterprise,47630.21,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Harbor One Bank School Construction,5098303.53,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,MMDT Arts Lottery,7568.75,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,MMDT Highway Bond Issue,2684.45,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,MMDT Playground Fund,77.69,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Mass Municipal Depository Trust (MMDT),218104.53,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,North Middlesex Savings Bank Investment,767921.95,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,TD BankNorth Investment,56204.86,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,TD BankNorth Zoning Stabilization,227884.96,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Touchstone Library Trust Funds,20464.73,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Unibank Depository,283809.47,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Unibank Money Market,1383721.07,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Unibank Sewer Reserve Capacity,617.87,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,Webster Bank Investment,36322.05,as printed,39,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2015,Bartholomew Stabilization Fund,1388105.33,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Batholomew Trust Funds,956846.28,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Century Bank Investment,141914.51,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Century Bank Security Street,6338.15,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Century Bank-Sch Construction CD,5000000.0,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Commerce Bank Investment,259976.6,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Eastern Bank School Activity Fees,116116.75,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Enterprise Bank Investment,156024.51,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank ARRA EECBG,297.58,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank EOCD Grant,89991.5,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank Investment,1976437.45,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank Senior Grant,1685.41,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank Sewer Enterprise,927147.11,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank Sewer Hook-Up,20.13,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank Trash Enterprise,1958.96,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Fidelity Bank Water Enterprise,31530.33,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,MMDT Arts Lottery,7360.4,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,MMDT Highway Bond Issue,2673.43,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,MMDT Playground Fund,77.69,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Mass Municipal Depository Trust (MMDT),217187.66,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,North Middlesex Savings Bank Investment,813178.96,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,North Middlesex Savings Bank-Sch Contruction CL,5000000.0,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,TD BankNorth Investment,56120.5,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,TD BankNorth Zoning Stabilization,227542.95,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Touchstone Library Trust Funds,20350.15,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Unibank Depository,560115.44,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Unibank Money Market,1559582.51,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,Webster Bank Investment,36221.57,as printed,37,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2014,Bartholomew Stabilization Fund,1299077.98,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Batholomew Trust Funds,948419.91,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Century Bank Investment,141641.62,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Century Bank Security Street,6325.48,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Citizens Bank Investment,159518.67,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Commerce Bank Investment,257666.9,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Eastern Bank School Activity Fees,127333.55,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Enterprise Bank Investment,155710.71,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank ARRA EECBG,297.46,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank EOCD Grant,89856.62,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank Investment,1595513.97,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank Senior Grant,1684.58,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank Sewer Enterprise,748655.58,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank Sewer Hook-Up,20.13,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank Trash Enterprise,31786.6,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Fidelity Bank Water Enterprise,29439.27,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,MMDT Arts Lottery,9237.42,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,MMDT Highway Bond Issue,2668.36,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,MMDT Playground Fund,77.69,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Mass Municipal Depository Trust (MMDT),216754.06,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,North Middlesex Savings Bank Investment,528556.63,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,TD BankNorth Investment,56036.39,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,TD BankNorth Zoning Stabilization,227201.9,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Touchstone Library Trust Funds,19164.98,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Unibank Depository,419328.63,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Unibank Money Market,1753524.18,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,Webster Bank Investment,36160.05,as printed,36,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2013,Bank of America,248311.09,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Bank of America Money Market,4940.59,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Bank of America Sceptic Grant,89913.31,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Bank of America Senior Grant,1684.08,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Bartholomew Trust Funds,1940016.46,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Century Bank,65483.37,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Century Bank Money Market,75913.21,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Century Bank Security Street,6312.85,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Citizens Bank Investment,159502.76,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Commerce Bank,255377.9,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Eastern Bank School Activity Fees,95308.55,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Enterprise Bank,155355.14,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Fidelity Bank ARRA EECBG,297.34,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Fidelity Bank Sewer Enterprise,613407.68,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Fidelity Bank Trash Enterprise,16802.2,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Fidelity Bank Water Enterprise,15109.51,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Fidelity Depository,435762.4,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,MMDT Hgwy/Arts/PIgrd,8507.39,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Mass Municipal Depository Trust (MMDT),216341.58,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,North Middlesex Savings Bank,675440.44,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Old Mutual Trust Funds,14958.14,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,TD BankNorth Investment,55942.67,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,TD BankNorth Stabilization,226821.9,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,UniBank,562761.99,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,UniBank Money Market,2345930.61,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,Webster Bank Investment,36091.52,as printed,77,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2012,Bank of America,249304.61,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Bank of America Money Market,5246.32,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Bank of America Sceptic Grant,90270.07,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Bank of America Senior Grant,1684.08,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,Bartholomew Trust Funds,1934349.43,as printed,72,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
