dor_code,municipality,fy,vote_date,result,yes_votes,no_votes,vote_type,department,description,amount,source_file,sha256
001,Abington,1990,1989-07-01,WIN,1383,1175,Override,GENERAL OPERATING,Operating,503000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,1992,1991-08-01,LOSS,1372,1411,Override,SCHOOL,Fund School Department Budget,324752,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,1992,1991-08-01,WIN,2045,750,Override,PUBLIC WORKS & FACILITIES,Fund Waste Collection Disposal Budget,575000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,2004,2003-06-07,LOSS,1507,2622,Override,GENERAL OPERATING,Funding Operation Of Town,1560974,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,2009,2008-04-26,WIN,680,675,Override,PUBLIC WORKS & FACILITIES,Funding The Solid Waste Collection Budget,650000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,2026,2026-05-22,LOSS,1087,1412,Override,GENERAL GOVERNMENT,Funding Town Hall Departments,358380,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1990,1989-04-01,WIN,1825,1160,Override,GENERAL OPERATING,Operating,690000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1991,1990-03-01,WIN,2543,1113,Override,GENERAL OPERATING,General Operating Expenses,988000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1992,1991-03-01,WIN,2543,1463,Override,GENERAL OPERATING,General Budget,1200000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1994,1993-03-30,LOSS,2319,2432,Override,GENERAL OPERATING,General Operating Expenditures,1550000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1994,1993-06-08,LOSS,2754,3162,Override,GENERAL OPERATING,General Operating Expenditures,687000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1995,1994-05-17,LOSS,1955,2222,Override,SCHOOL,School Expenses,397272,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2000,1999-05-18,LOSS,3003,3799,Override,SCHOOL,Educational Expenses For Fiscal Year,1184920,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2004,2003-04-01,WIN,3769,3313,Override,GENERAL OPERATING,General Operating Expenses,3000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2006,2005-03-29,WIN,3805,2971,Override,GENERAL OPERATING,General Operating Expenditures,3800000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2025,2024-04-30,WIN,3191,3154,Override,GENERAL GOVERNMENT,Public Schools And Muni Government,6600000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
004,Adams,1992,1991-05-06,LOSS,516,1585,Override,SCHOOL,Fund Towns Share Of Reg.School Assess.,275000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
006,Alford,1991,1990-05-01,WIN,59,31,Override,PUBLIC WORKS & FACILITIES,Sanitation Expenses,40000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,1992,1991-04-08,LOSS,1092,2688,Override,GENERAL GOVERNMENT,Replace Decrease Of State Aid,993419,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,1992,1991-04-08,LOSS,1206,2628,Override,GENERAL OPERATING,Addit. Money For School & Gen Oper.Exp.,1191500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,2008,2007-11-06,LOSS,1025,2155,Underride,GENERAL OPERATING,Reduce Amount Of Real Estate And Personal Property Taxes,-1000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,2026,2025-11-04,LOSS,2211,3113,Override,GENERAL OPERATING,City And Schools Operating Budgets,6000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1991,1990-05-01,LOSS,1725,2005,Override,GENERAL OPERATING,"Cap And Oper Budgets For Lib, Schs, Town",557698,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,LOSS,2467,2761,Override,PUBLIC SAFETY,"Police Position, Human Resource Budget",26290,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,2792,2468,Override,CULTURE AND RECREATION,"Jones,North Amherst,Munson Libraries",11097,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,2795,2415,Override,SCHOOL,Amherst Elementary School'S Budget,409884,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,2868,2345,Override,SCHOOL,Amherst-Pelham Rsd Assessment,547955,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,3101,2089,Override,SCHOOL,Amherst Elementary Schools,299444,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,3192,1999,Override,SCHOOL,Amherst-Pelham Rsd Assessment,300000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,3226,2009,Override,PUBLIC SAFETY,"Firefighter/Emt, Human Resources Budget",138010,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,LOSS,2442,2775,Override,PUBLIC WORKS & FACILITIES,Street Lights,34240,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,LOSS,2387,2837,Override,GENERAL GOVERNMENT,Clerical Position Conservation Dept,3300,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1995,1994-06-14,LOSS,1867,2031,Override,SCHOOL,Regional School Assessment,297558,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,2005,2004-03-30,WIN,2258,2169,Override,GENERAL OPERATING,General Operating And Capital Expenses,2000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,2008,2007-05-01,LOSS,2383,2650,Override,GENERAL OPERATING,General Operating And School Expenditures,2500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,2011,2010-03-23,WIN,3061,2192,Override,GENERAL OPERATING,General Operating Expenditures,1680441,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
009,Andover,1992,1991-05-06,LOSS,2826,5311,Override,SCHOOL,Adding Funds For Andover Public Schools,1500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
009,Andover,2003,2002-06-11,LOSS,2881,4937,Override,SCHOOL,Funding School Department Budget And Related Health Insurance Costs,1130000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,1990,1989-06-01,LOSS,5805,6078,Override,GENERAL OPERATING,Operating Expenses Of Town And Schools,2269528,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,1991,1990-06-01,WIN,8828,7731,Override,GENERAL OPERATING,General Operating Budget,2520000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2006,2005-06-11,WIN,7126,6570,Override,SCHOOL,Fund Town And School Budgets,6000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2012,2011-06-07,WIN,7226,6366,Override,GENERAL OPERATING,Funding Operating Budgets Of Town And School,6490000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2020,2019-06-11,WIN,8655,4029,Override,GENERAL OPERATING,Town And School Operating Budget,5500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2025,2023-11-07,WIN,7951,4964,Override,GENERAL OPERATING,Operating Override,7000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2027,2026-03-28,WIN,9829,3855,Override,GENERAL OPERATING,Fund Town And School Operations,14800000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1990,1989-06-01,LOSS,187,1006,Override,PUBLIC WORKS & FACILITIES,Fund Public Road Improvement Program,300000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1991,1990-04-01,LOSS,573,849,Override,SCHOOL,Ash-West Regional School Assessment,387036,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-03-01,LOSS,611,877,Override,PUBLIC WORKS & FACILITIES,1 Public Works Position And Repair Roads,25948,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-04-01,LOSS,501,1027,Override,GENERAL OPERATING,"Town Hall Clerical, Library Budget",27660,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-03-01,LOSS,645,875,Override,SCHOOL,Ashburnham-Westminster Assessment,649141,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-03-01,LOSS,629,897,Override,SCHOOL,Montachusett Regional School Assessment,6567,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-03-01,LOSS,693,836,Override,PUBLIC SAFETY,Firefighter/Emt Position,22890,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-04-01,LOSS,645,886,Override,PUBLIC SAFETY,Police Officer Position,15620,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-04-29,LOSS,611,877,Override,PUBLIC WORKS & FACILITIES,Construction & Maintenance Of Town Roads,25948,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-04-29,LOSS,629,897,Override,SCHOOL,Operating School Expenses,6567,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-04-29,LOSS,645,875,Override,SCHOOL,Regional School Operating Expenses,649141,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1992,1991-04-29,LOSS,693,836,Override,PUBLIC SAFETY,Police-Fire-Emt Position,22890,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1993,1992-08-03,WIN,465,435,Override,GENERAL OPERATING,Returning Previous Service Levels,99197,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1996,1995-05-06,WIN,423,349,Override,SCHOOL,Regional School Budget,371933,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1997,1996-06-18,LOSS,284,609,Override,SCHOOL,Ashburnham/Westminster Reg School Assmnt,98374,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2000,1999-05-11,LOSS,293,348,Override,CULTURE AND RECREATION,Funding Weekend Hours For Library,5500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2000,1999-05-11,WIN,399,244,Override,SCHOOL,Funding For Regional School,323726,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2003,2002-06-11,LOSS,657,822,Override,GENERAL OPERATING,Awrsd Contribution,432539,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2003,2002-06-11,LOSS,673,810,Override,PUBLIC SAFETY,Police Officer And Related Expenses,56524,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2003,2002-06-11,WIN,752,730,Override,PUBLIC SAFETY,Funding One New Firefighter And Emt And Related Expenses,52594,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2003,2002-06-11,LOSS,472,998,Override,GENERAL OPERATING,Funding Position Of Town Planner On A Contractual Basis,21000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2004,2003-06-10,LOSS,790,837,Override,SCHOOL,Adding Sum To Ashburnham Westminster School District For Budget,844953,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2004,2003-06-10,LOSS,786,834,Override,PUBLIC WORKS & FACILITIES,Funding A Portion Of Salaries And Expenses For Const. Town Roads,421796,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2005,2004-06-15,WIN,769,647,Override,SCHOOL,Regional School Budget,641448.76,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2009,2008-12-01,WIN,979,521,Override,GENERAL OPERATING,"Fire, Police, Land Use Dpw, Council On Aging, Conservation, Library And Dog Officer Departmental Operating Expenses",250000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2009,2008-06-17,LOSS,378,587,Override,SCHOOL,Operating Budget For Ashburnham-Westminster Regional School District,174565,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2010,2009-06-16,LOSS,335,750,Override,SCHOOL,Adding To Operating Budget Of Ashburnham-Westminster Regional School District,156849,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2010,2009-06-16,LOSS,368,715,Override,PUBLIC SAFETY,Hiring Of Three Paramedics And Firedfighters For Fire Department,90000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2011,2010-06-15,LOSS,402,592,Override,SCHOOL,Operating Budget For Ashburnham-Westminister Rsd,155388,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,2018,2017-08-08,WIN,846,845,Override,SCHOOL,Operating Budget For Ashburnham Westminster Rsd,475656,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1990,1989-05-01,LOSS,171,296,Override,SCHOOL,Regional School,345000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1990,1989-04-01,LOSS,238,425,Override,SCHOOL,Regional School,345000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1990,1989-11-01,WIN,195,184,Override,GENERAL OPERATING,Police Bud./Maintaince Town Roads,65000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,186,380,Override,PUBLIC SAFETY,Increase Various Police Dept. Salaries,13992,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-12-01,LOSS,199,319,Override,PUBLIC WORKS & FACILITIES,Fund Highway Department Winter Budget,10000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,169,390,Override,PUBLIC SAFETY,Increase Salaries Var.Fire Dept.Officials,1735,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,140,426,Override,PUBLIC WORKS & FACILITIES,Increase Hywy Dept. Salaries,12480,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-12-01,LOSS,126,392,Override,GENERAL OPERATING,Fund Gen. Oper. Budget/Reg. School Dist.,343000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-12-01,LOSS,239,280,Override,SCHOOL,Fund Montachu.Regional School Budget,22339,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,79,488,Override,GENERAL GOVERNMENT,Increase Salary Of Bldg Inspec/Zone Off.,4000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,196,370,Override,PUBLIC SAFETY,Increase Dispatcher Salary,4368,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,259,299,Override,SCHOOL,Fund Montach.Reg. V.Tech.H.Sch.Budget,22339,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1991,1990-08-01,LOSS,130,434,Override,GENERAL GOVERNMENT,Increase Salaries Various Town Officials,8268,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1992,1991-06-18,LOSS,108,298,Override,PUBLIC WORKS & FACILITIES,Fund Highway Department Positions,20742,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1992,1991-06-18,LOSS,77,333,Override,PUBLIC WORKS & FACILITIES,Fund Highway Department Positions,41060,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1992,1991-06-18,LOSS,73,347,Override,PUBLIC WORKS & FACILITIES,Funding Highway Department Positions,61278,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1992,1991-04-01,LOSS,278,379,Override,GENERAL OPERATING,General Operating Expenses,116000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,526,807,Override,PUBLIC WORKS & FACILITIES,Restoring Cemetaries-Addit  Taxes,2775,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,554,762,Override,GENERAL GOVERNMENT,Town Heating Portion Of Budget,6750,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,575,759,Override,PUBLIC SAFETY,Restore Prot Of Persons & Property,14678,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,WIN,693,648,Override,PUBLIC WORKS & FACILITIES,Restoring Town Highways,102025,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,WIN,746,600,Override,PUBLIC SAFETY,Restoring Fire Department,12525,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,WIN,772,579,Override,CULTURE AND RECREATION,Restoring Library,9000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,391,933,Override,CULTURE AND RECREATION,Restoring Recreation Portion Of Budget,3955,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,208,1087,Override,GENERAL OPERATING,Restoring Budget - Unclassified,11170,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-08-08,LOSS,291,322,Override,CULTURE AND RECREATION,Repairing Library Roof,20000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-08-08,LOSS,248,366,Override,GENERAL OPERATING,Purpose Of Balancing Town Budget,345000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,450,850,Override,HEALTH AND HUMAN SERVICE,Restore Veterans Services,2300,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-11-03,LOSS,449,878,Override,GENERAL OPERATING,General Operating Budget - Addit  Taxes,15639,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1993,1992-03-10,LOSS,360,422,Override,PUBLIC SAFETY,Paying Back Due To Dispatchers,45700,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,101,322,Override,GENERAL GOVERNMENT,Cost Of Next Mandated Revaluation,20000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,88,346,Override,GENERAL GOVERNMENT,Building Insp. And Elect.Insp.Salary Inc,4125,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,101,326,Override,GENERAL OPERATING,Funding New Construction,3500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,105,328,Override,PUBLIC WORKS & FACILITIES,Resurface Town Roads,70000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,107,314,Override,GENERAL GOVERNMENT,General Govt. Costs,3240,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,114,314,Override,PUBLIC WORKS & FACILITIES,Water Holes To Be In Compliance I.S.O.,3200,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
012,Ashby,1994,1993-07-20,LOSS,117,274,Override,PUBLIC WORKS & FACILITIES,Highway Dept. Salaries,6860,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
