fy,page,subject,state,figures,figures_reversed,read_by,heading,document
2015,26,appropriations,read,135,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,27,appropriations,read,138,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,28,appropriations,read,135,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,29,special-revenue,unread,72,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,30,special-revenue,unread,80,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,31,special-revenue,unread,70,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,32,special-revenue,unread,63,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,33,special-revenue,unread,72,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,34,appropriations,read,125,0,capital_projects,CAPITAL PROJECT FUNDS FY 2015,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,35,valuation,read,62,20,valuation,BOARD OF ASSESSORS,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,37,treasurers-cash,unread,29,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,38,trust-and-stabilization,read,193,0,trust_funds,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,39,trust-and-stabilization,read,196,0,trust_funds,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,41,unknown,reversed,9,19,,T83D GNIDNAT$TUO $RA3Y 3VIF,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,44,receivables,unread,151,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,45,unknown,unread,115,0,,OTHER EXCISE TAXES,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,93,capital,read,36,0,officials,CAPITAL PLANNING COMMITTEE,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,140,unknown,read,66,0,appropriations,Line Account,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,141,unknown,read,34,0,appropriations,Department of Public Works,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,198,unknown,unread,82,0,,Sewer Business Manager ..........,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,206,unknown,read,41,0,gross_wages,,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,207,unknown,read,85,0,gross_wages,DACOSTA,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,209,unknown,read,83,0,gross_wages,,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,210,unknown,read,94,0,gross_wages,PICHNARCIK,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,211,unknown,read,49,0,gross_wages,,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2014,20,balance-sheet,unread,68,0,,"TOWN OF LUNENBURG, MASSACHUSETTS",sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,22,tax-collection,unread,108,0,,FY 2014 RECEIPTS - JUNE 2014,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,24,appropriations,read,146,0,appropriations,GENERAL FUND APPROPRIATIONS,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,25,appropriations,read,167,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,26,appropriations,read,144,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,27,appropriations,read,133,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,28,appropriations,read,131,0,appropriations,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,29,special-revenue,unread,79,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,30,special-revenue,unread,84,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,31,special-revenue,unread,73,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,32,special-revenue,unread,67,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,33,special-revenue,unread,75,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,34,appropriations,read,128,0,capital_projects,CAPITAL PROJECT FUNDS FY 2014,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,35,valuation,read,60,19,valuation,BOARD OF ASSESSORS,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,36,treasurers-cash,unread,28,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,37,trust-and-stabilization,read,224,0,trust_funds,TRUST FUNDS,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,38,trust-and-stabilization,read,190,0,trust_funds,TRUST FUNDS,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,43,tax-collection,unread,131,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,44,unknown,unread,79,0,,COMMITTMENTS,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,96,unknown,reversed,0,26,,tnemtrapeD secivre$ laicep$,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,139,unknown,read,33,0,appropriations,FY 2015 Omnibus Budget,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,140,elections,read,35,0,appropriations,FY 2015,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,141,unknown,read,29,0,appropriations,60 Highway OT,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2013,10,valuation,read,49,16,valuation,Valuation and Tax History,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,34,unknown,reversed,0,24,,sotsebsa ehT .loohc$ elddiM lliH yekruT ta sgniliec eht evob,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,61,unknown,unread,57,0,,FYO7 REAL ESTATE TAXES,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,63,tax-collection,unread,80,0,,FY 2013 RECEIPTS - JUNE 2013,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,65,payroll,read,86,0,appropriations,Selectmen's Salaries,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,66,payroll,read,77,0,appropriations,Elections,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,67,payroll,read,20,0,appropriations,Police Fire Medical Expenses,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,68,payroll,read,24,0,appropriations,Payroll-Highway Laborers,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,69,payroll,read,93,0,appropriations,School Department,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,71,unknown,unread,62,0,,Conservation Fund,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,72,unknown,unread,74,1,,Tech Prep Consortium,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,73,unknown,unread,66,0,,D.A.R.E. 1 Grant FY 97,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,74,unknown,unread,64,0,,DPW Roads Gift Fund,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,75,unknown,unread,66,0,,E.O.C.D. Septic i Grant,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,76,capital,read,61,0,capital_projects,7 5/07 ATM,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,77,unknown,unread,23,0,,Mass Municipal Depository Trust (MMDT),sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,78,trust-and-stabilization,read,224,0,trust_funds,TOWN OF LUNENBURG,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,79,trust-and-stabilization,read,178,0,trust_funds,TOWN OF LUNENBURG,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,80,unknown,reversed,0,15,,gnikraP & sklawedi$ steert$,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,83,tax-collection,unread,124,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,87,unknown,read,61,0,appropriations,Conservation Commission,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,88,unknown,read,21,0,appropriations,Schools,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,95,unknown,read,54,0,gross_wages,,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,96,unknown,read,21,0,gross_wages,,sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2012,10,valuation,read,49,17,valuation,100.0000,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,56,receivables,unread,62,0,,RECEIVABLES:,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,58,tax-collection,unread,80,0,,FY 2012 RECEIPTS - JUNE 2012,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,60,payroll,read,36,0,appropriations,PROGRAM NAME,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,61,payroll,read,16,0,appropriations,Town Clerk's Administration,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,62,unknown,read,46,0,appropriations,PROGRAM NAME,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,64,payroll,read,20,0,appropriations,PROGRAM NAME,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,65,appropriations,read,85,0,appropriations,GENERAL FUND AFPRUFRIAIIUNS,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,66,unknown,unread,80,0,,Regional Assessor Fund,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,67,unknown,unread,89,0,,BC/BS Healthy Choices,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,68,unknown,unread,68,0,,Insurance Recoveries - Police,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,69,unknown,unread,61,0,,"41, 100.15",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,70,unknown,unread,75,0,,MWPAT Septic Repair,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,71,capital,read,60,0,capital_projects,CAPITAL PROJECT FUNDS FY 2012,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,72,unknown,unread,25,0,,North Middlesex Savings Bank,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,73,trust-and-stabilization,read,224,0,trust_funds,TOWN OF LUNENBURG,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,74,trust-and-stabilization,read,143,0,trust_funds,TOWN OF LUNENBURG,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,78,tax-collection,unread,60,0,,FY2012 COLLECTION OF TAXES,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,81,appropriations,read,42,0,appropriations,ARTICLE 8. To see if the Town will vote to raise and appropr,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,82,unknown,read,45,0,appropriations,Park Department,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,112,unknown,read,39,0,gross_wages,TOWN CLERK,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,113,unknown,read,56,0,gross_wages,,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,114,unknown,unread,122,0,,,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,115,unknown,read,75,0,gross_wages,CATHERINE,sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2011,12,valuation,read,47,18,valuation,varatull allu ran motory,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,56,unknown,unread,49,0,,"(90,000.05)1.",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,58,unknown,unread,76,0,,CEMETERY WEEKEND BURIAL,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,61,unknown,read,75,0,appropriations,"$1,426.38 fwd",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,62,payroll,read,75,1,appropriations,Police Lock-Up,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,63,payroll,read,99,0,appropriations,Inspector of Animals,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,64,unknown,read,87,0,appropriations,PUBLIC ASSISTANCE,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,65,appropriations,read,103,0,appropriations,PROGRAM NAME,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,66,unknown,unread,84,0,,Zoning Board Consultant Revolving,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,67,unknown,unread,96,0,,$217.068.86,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,68,unknown,unread,86,0,,ASOST Quality #530,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,69,unknown,unread,62,0,,Police/Fire Special Details,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,70,unknown,unread,72,0,,Police Gift Fund,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,71,appropriations,read,75,0,capital_projects,CAPITAL PROJECT FUNDS FY 2011,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,72,unknown,unread,21,0,,Mass Municipal Depository I rust (MMD 1),sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,73,trust-and-stabilization,read,170,0,trust_funds,TRUST FUNDS,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,74,trust-and-stabilization,read,120,0,trust_funds,TRUST FUNDS,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,75,unknown,read,2,14,debt,"000,044,8",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,78,tax-collection,unread,113,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,84,unknown,read,54,0,appropriations,Selectmen's Administration,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,85,unknown,read,32,0,appropriations,Veteran's Administration,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,98,unknown,unread,118,0,,"niko, norn",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,99,unknown,read,120,0,gross_wages,"ECONOMO, JON",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,100,unknown,read,116,0,gross_wages,86900 4,sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
2011,101,unknown,read,87,0,gross_wages,"TOUSIGNANT, KARMA",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
