path,date,board_slug,pdf_sha256,chars,pages,ocr_at
conservation-commission/2025-10-01-minutes-7426.pdf,2025-10-01,conservation-commission,e04b13c7273d9393220bfb80fcbb4f865ce76563f8409c8a8398be22a71c821d,10089,5,2026-09-18T01:18:07Z
conservation-commission/2025-09-17-minutes-7407.pdf,2025-09-17,conservation-commission,cde805397f534cc2b9e448fd5fa481eeb00520c1e0b9b73059d2fc866a87cea2,10926,5,2026-09-18T01:18:49Z
board-of-assessors/2025-09-03-minutes-7367.pdf,2025-09-03,board-of-assessors,8ec3b07dde26e556894af36fbd44cd7b7ee2deccd4a8ec67e7c7129701fa4478,2712,2,2026-09-18T01:19:03Z
conservation-commission/2025-09-03-minutes-7377.pdf,2025-09-03,conservation-commission,a070420c098ae457d8028d64e59943b03503063828a48230f9a4471dfdde40ee,9715,5,2026-09-18T01:19:44Z
conservation-commission/2025-08-20-minutes-7354.pdf,2025-08-20,conservation-commission,231e051967471c0c3e6a0b7d3eb4a79547985db71e5fe322f07c8db8eb3ee55e,12454,6,2026-09-18T01:20:28Z
finance-committee/2025-08-14-minutes-7344.pdf,2025-08-14,finance-committee,7e8ddac052801d5e462590b491254fb908cc8d13433bd2413ec6cb0add701ebc,4841,4,2026-09-18T01:20:48Z
board-of-assessors/2025-08-13-minutes-7343.pdf,2025-08-13,board-of-assessors,22edb056219589fc0e86c552eb5f5f9a9772900d51485c3afef5a00d8079aaa4,5311,3,2026-09-18T01:21:13Z
conservation-commission/2025-08-06-minutes-7331.pdf,2025-08-06,conservation-commission,e62ffb76201ff55ba2aed5eeb09cda3a78284fc125659b18b32168dd867aa37b,13632,7,2026-09-18T01:22:05Z
board-of-assessors/2025-07-29-minutes-7325.pdf,2025-07-29,board-of-assessors,af20c256cf99b2ae2661ae6f94eeebed7d9116b4843cdd348c060efce8470348,3056,2,2026-09-18T01:22:20Z
board-of-assessors/2025-07-16-minutes-7312.pdf,2025-07-16,board-of-assessors,378ab561e2dd633dd49f37b005802bd2c295ae85bf42eb971029168eadfd979a,7185,4,2026-09-18T01:22:54Z
conservation-commission/2025-07-16-minutes-7316.pdf,2025-07-16,conservation-commission,9cba93dad7ef22e13c6bdf10fc33679fe4b7876c0c9484c44c66b89214d4e961,9266,5,2026-09-18T01:23:30Z
conservation-commission/2025-07-02-minutes-7297.pdf,2025-07-02,conservation-commission,3cc771b877c5ccda437137c40e1c5301ea91c56ae7aa4a67652071ea44e51440,8841,5,2026-09-18T01:24:06Z
conservation-commission/2025-06-18-minutes-7278.pdf,2025-06-18,conservation-commission,6ccf6a37e8a4cae753a62ba7d3352aa5d274af7e585bb46eebcfadb0e79d76df,5877,4,2026-09-18T01:24:32Z
board-of-assessors/2025-06-11-minutes-7256.pdf,2025-06-11,board-of-assessors,f42cd3e9a1a1e0c4b1fe46129c734cb86150e5f275b2781b44240aaf4d77fef4,4551,3,2026-09-18T01:24:55Z
conservation-commission/2025-06-04-minutes-7249.pdf,2025-06-04,conservation-commission,11e7cc08315605d38801cec3288bfa68ad730d818f028ec9c6fff562a27111fd,7343,3,2026-09-18T01:25:24Z
conservation-commission/2025-05-21-minutes-7234.pdf,2025-05-21,conservation-commission,9b10bf5cedc5ee116da6b9d6630f06c83d7171aa919fd7455a0c050d7b697a2f,5194,4,2026-09-18T01:25:49Z
board-of-assessors/2025-05-19-minutes-7225.pdf,2025-05-19,board-of-assessors,6bdf7779b30fd26fefd6ff513aec2ab0c1f836bc0f68bda4ba54111c12a77b94,4240,3,2026-09-18T01:26:11Z
