fy,kind,name,amount,owner,page,doc,esser,disagreement,source_url,our_copy,sha256
2021,state,School Health Grant,10500.0,Nursing Coordinator,35,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Special Education, 240 Grant",399152.0,Director of Special Services,34,fy25-superintendent-39-s-budget-update.txt,0,"fy23-superintendent-recommended-budget-presentation p17: $397,343; fy25-superintendent-39-s-budget-update p34: $399,152",https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Title I, 305 Grant",180342.0,Director of Teaching & Learning,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Title One Grant, 305 Grant",180314.0,,17,fy23-superintendent-recommended-budget-presentation.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Special Education, AARP IDEA",88330.0,Director of Special Services,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Title II, 140 Grant",32708.0,Director of Teaching & Learning,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Teacher Quality Grant, 140 Grant",32421.0,,17,fy23-superintendent-recommended-budget-presentation.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Special Education, Targeted IEP , 274 Grant",12634.0,Director of Special Services,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Special Education, Early Childhood, 262 Grant",12500.0,Director of Special Services,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Title IV, Grant, 309 Grant",12442.0,,17,fy23-superintendent-recommended-budget-presentation.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Title IV, 309 Grant",12442.0,Director of Teaching & Learning,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,federal,"Special Education, AARP",8229.0,Director of Special Services,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,"Accelerating Literacy, 719 Grant (yr 1 of 3)",203286.0,Director of Teaching & Learning,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,CSHS Workforce Investment Program,100000.0,Director of Special Services,17,fy23-superintendent-recommended-budget-presentation.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,School Health Grant,100000.0,Nursing Coordinator,34,fy25-superintendent-39-s-budget-update.txt,0,"fy25-superintendent-39-s-budget-update p34: $100,000; fy25-superintendent-39-s-budget-update p34: $14,000",https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,Accelerating Math,52948.0,Director of Teaching & Learning,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,Family & Community #237,45700.0,,17,fy23-superintendent-recommended-budget-presentation.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,Family & Community Grant,45700.0,Director of Community School Programs,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,Child Home Program,27037.0,Director of Community School Programs,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2022,state,"After School & Out of School Time, summer",24000.0,Director of Teaching & Learning,34,fy25-superintendent-39-s-budget-update.txt,0,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2023,federal,"ESSER 2, Grant 115",588834.0,Director of Special Services,16,fy24-superintendent-39-s-recommended-budget-presentation.txt,1,,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
2023,federal,"Special Education, 240 Grant",404772.0,Director of Special Services,33,fy25-superintendent-39-s-budget-update.txt,0,"fy24-superintendent-39-s-recommended-budget-presentation p16: $402,967; fy25-superintendent-39-s-budget-update p33: $404,772",https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view  [requires sign-in as of 29 Aug 2026],https://lunenburgbudgetproject.org/docs/district-budget-page/docs/fy25-superintendent-39-s-budget-update.pdf,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c
