fy,page,order,post,kind,section,stated_members,person,vacancies,term_expires,note,size_check
2025,11,32,PARKS COMMISSION,board seat,elected,5,Colleen Shapiro,0,2026,,checked
2025,11,33,PARKS COMMISSION,board seat,elected,5,Christopher Sullivan,0,2027,,checked
2025,11,34,PARKS COMMISSION,board seat,elected,5,Marianne Mascari,0,2028,,checked
2025,11,35,PARKS COMMISSION,board seat,elected,5,,1,,1 Vacancy,checked
2025,12,36,PLANNING BOARD - 2,board seat,elected,5,Matthew Brenner,0,2026,,checked
2025,12,37,PLANNING BOARD - 2,board seat,elected,5,Amanda Reid,0,2027,,checked
2025,12,38,PLANNING BOARD - 2,board seat,elected,5,Timothy Russell Willsmer,0,2028,,checked
2025,12,39,PLANNING BOARD - 2,board seat,elected,5,Adam Burney,0,2026,,checked
2025,12,40,PLANNING BOARD - 2,board seat,elected,5,,1,,1 Vacancy,checked
2025,12,41,SCHOOL COMMITTEE,board seat,elected,5,Anthony Sculimbrene,0,2028,,check failed
2025,12,42,SCHOOL COMMITTEE,board seat,elected,5,Laura Brzozski,0,2026,,check failed
2025,12,43,SCHOOL COMMITTEE,board seat,elected,5,Mandy Gilman,0,2028,,check failed
2025,12,44,SCHOOL COMMITTEE,board seat,elected,5,Emily Young,0,2026,,check failed
2025,12,45,SEWER COMMISSION - 1/2/,board seat,elected,5,Brett Ramsden,0,2026,,checked
2025,12,46,SEWER COMMISSION - 1/2/,board seat,elected,5,Scott Dall,0,2028,,checked
2025,12,47,SEWER COMMISSION - 1/2/,board seat,elected,5,Dan Proctor,0,2026,,checked
2025,12,48,SEWER COMMISSION - 1/2/,board seat,elected,5,Arthur Katis,0,2026,,checked
2025,12,49,SEWER COMMISSION - 1/2/,board seat,elected,5,Allan Wilson,0,2026,,checked
2025,12,50,TOWN CLERK,board seat,elected,,Kathryn M. Herrick,0,2028,,no check
2025,12,51,TRUST FUND COMMISSION,board seat,elected,3,John Bowen,0,2027,,checked
2025,12,52,TRUST FUND COMMISSION,board seat,elected,3,Richard Howard,0,2026,,checked
2025,12,53,TRUST FUND COMMISSION,board seat,elected,3,,1,,1 Vacancy,checked
2025,13,54,AGRICULTURAL COMMISSION,board seat,appointed,5,Jennifer Duffy,0,2026,,check failed
2025,13,55,AGRICULTURAL COMMISSION,board seat,appointed,5,Maryrae Holman,0,2027,,check failed
2025,13,56,AGRICULTURAL COMMISSION,board seat,appointed,5,Jacqueline Chabot,0,2028,,check failed
2025,13,57,AGRICULTURAL COMMISSION,board seat,appointed,5,Kathy Dugan,0,2027,,check failed
2025,13,58,Associate Members (2) Kira McClellan-Associate -2025,board seat,appointed,,Kim Muzzi,0,2026,,no check
2025,13,59,AMERICANS WITH DISABILITIES COMMITTEE,board seat,appointed,5,Select Board Representative-Renee Emkey,0,,,check failed
2025,13,60,AMERICANS WITH DISABILITIES COMMITTEE,board seat,appointed,5,Brian Gingras- Building Commissioner,0,,,check failed
2025,13,61,AMERICANS WITH DISABILITIES COMMITTEE,board seat,appointed,5,ANIMAL CONTROL OFFICER ANIMAL INSPECTOR (Term runs May 1 to April 30),0,,,check failed
2025,13,62,AMERICANS WITH DISABILITIES COMMITTEE,board seat,appointed,5,Kathleen M. Comeau Kathleen M. Comeau,0,,,check failed
2025,13,63,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Nathan Lockwood,0,2026,,check failed
2025,13,64,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Anthony Sculimbrene,0,2028,,check failed
2025,13,65,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,William Lloyd,0,2028,,check failed
2025,13,66,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,Jennifer Sanderson,0,2027,,check failed
2025,13,67,ARCHITECTURAL PRESERVATION DISTRICT COMMISSION (APDC,board seat,appointed,5,,1,,1Vacancy-2026,check failed
