heard,correct,basis
TC Pacios,TC Passios,"the town's own minutes: 'TC Passios' 291 times, 'T.C. Passios' 82, 'TCP building' 178; the Thomas C. Passios building. TJ, 14 September 2026"
T.C. Pacios,T.C. Passios,as above
Pacios,Passios,as above
