ran,source,boards_listed,documents_listed,boards_unanswered,new_agendas,new_minutes
2026-09-08,live,51,574,0,6,0
2026-09-08,seed,51,12065,0,0,0
2026-09-11,live,51,1487,0,7,5
2026-09-12,live,51,1487,0,0,0
