fy,lea,district,geo_level,indicator_category,indicator,indicator_level,printing,denominator_cnt,measure_cnt,measure_pct,value_type,reconciles,doc_id
2022,01250000,Harvard,district,Grade Span,PK to 2,member,1,118,25,0.212,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Grade Span,Special Education Beyond Grade 12,member,1,118,1,0.008,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Grade Span,Total Students with Disabilities,total,1,118,118,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,In District/Out of District,In-District,member,1,118,96,0.814,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,In District/Out of District,Out-of-District,member,1,118,22,0.186,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,In District/Out of District,Total Students with Disabilities,total,1,118,118,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Placement,Full Inclusion,member,1,118,73,0.619,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Placement,Partial Inclusion,member,1,118,17,0.144,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Placement,Separate School in District,member,1,118,1,0.008,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Placement,Substantially Separate,member,1,118,10,0.085,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Placement,Total Students with Disabilities,total,1,118,118,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Race/Ethnicity,Asian,member,1,118,9,0.076,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Race/Ethnicity,Black or African American,member,1,118,5,0.042,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Race/Ethnicity,Hispanic or Latino,member,1,118,17,0.144,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Race/Ethnicity,Other,member,1,118,10,0.085,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Race/Ethnicity,Total Students with Disabilities,total,1,118,118,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Race/Ethnicity,White,member,1,118,77,0.653,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,12.6,96,0.131,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Services,member,1,6.2,96,0.065,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Support,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Teachers,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,22.799999999999997,96,0.237,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Total Students with Disabilities,member,1,96,96,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type,Autism,member,1,227,42,0.185,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type,Developmental Delay,member,1,227,49,0.216,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type,Health Impairment,member,1,227,31,0.137,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type,Other Disability,member,1,227,70,0.308,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type,Specific Learning Disabilities,member,1,227,35,0.154,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type,Total Students with Disabilities,total,1,227,227,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Autism,member,1,227,42,0.185,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Communication Disability,member,1,227,24,0.106,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Developmental Delay,member,1,227,49,0.216,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Emotional Disability,member,1,227,19,0.084,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Health Impairment,member,1,227,31,0.137,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Intellectual Disability,member,1,227,5,0.022,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Multiple Disabilities,member,1,227,12,0.053,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Neurological Disability,member,1,227,9,0.04,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Sensory Impairment,member,1,227,1,0.004,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Specific Learning Disabilities,member,1,227,35,0.154,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Disability Type All,Total Students with Disabilities,total,1,227,227,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities Only,member,1,217,123,0.567,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities and Economically Disadvantaged or Low Income,member,1,217,88,0.406,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities and English Learners,member,1,217,1,0.005,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,EL and Low Income/Economically Disadvantaged,"Students with Disabilities, English Learners, and Economically Disadvantaged or Low Income",member,1,217,5,0.023,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,EL and Low Income/Economically Disadvantaged,Total Students with Disabilities,total,1,217,217,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Enrollment,Students with Disabilities,member,1,1608,227,0.141,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Enrollment,Students without Disabilities,member,1,1608,1381,0.859,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Enrollment,Total In- and Out-of-District Students,total,1,1608,1608,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Gender,Female,member,1,227,78,0.344,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Gender,Male,member,1,227,149,0.656,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Gender,Nonbinary,member,1,227,0,0.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Gender,Total Students with Disabilities,total,1,227,227,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Grade Span,Grades 3 to 5,member,1,227,61,0.269,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Grade Span,Grades 6 to 8,member,1,227,44,0.194,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Grade Span,Grades 9 to 12,member,1,227,49,0.216,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Grade Span,PK to 2,member,1,227,64,0.282,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Grade Span,Special Education Beyond Grade 12,member,1,227,9,0.04,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Grade Span,Total Students with Disabilities,total,1,227,227,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,In District/Out of District,In-District,member,1,227,217,0.956,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,In District/Out of District,Out-of-District,member,1,227,10,0.044,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,In District/Out of District,Total Students with Disabilities,total,1,227,227,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Placement,Full Inclusion,member,1,227,151,0.665,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Placement,Partial Inclusion,member,1,227,19,0.084,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Placement,Separate School in District,member,1,227,5,0.022,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Placement,Substantially Separate,member,1,227,39,0.172,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Placement,Total Students with Disabilities,total,1,227,227,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Race/Ethnicity,Asian,member,1,227,5,0.022,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Race/Ethnicity,Black or African American,member,1,227,9,0.04,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Race/Ethnicity,Hispanic or Latino,member,1,227,31,0.137,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Race/Ethnicity,Other,member,1,227,3,0.013,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Race/Ethnicity,Total Students with Disabilities,total,1,227,227,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Race/Ethnicity,White,member,1,227,179,0.789,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,32.5,217,0.15,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Services,member,1,8.5,217,0.039,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Support,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Teachers,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,46.5,217,0.214,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Total Students with Disabilities,member,1,217,217,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Autism,member,1,433,62,0.143,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Communication Disability,member,1,433,44,0.102,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Developmental Delay,member,1,433,71,0.164,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Health Impairment,member,1,433,102,0.236,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Other Disability,member,1,433,120,0.277,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Other Disability,member,2,433,147,0.339,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Specific Learning Disabilities,member,1,433,78,0.18,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type,Total Students with Disabilities,total,1,433,433,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Autism,member,1,433,62,0.143,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Communication Disability,member,1,433,44,0.102,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Developmental Delay,member,1,433,71,0.164,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Emotional Disability,member,1,433,43,0.099,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Health Impairment,member,1,433,102,0.236,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Intellectual Disability,member,1,433,9,0.021,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Multiple Disabilities,member,1,433,4,0.009,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Neurological Disability,member,1,433,9,0.021,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Physical Impairment,member,1,433,2,0.005,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Sensory Impairment,member,1,433,9,0.021,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Specific Learning Disabilities,member,1,433,78,0.18,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Disability Type All,Total Students with Disabilities,total,1,433,433,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities Only,member,1,418,243,0.581,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities and Economically Disadvantaged or Low Income,member,1,418,163,0.39,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities and English Learners,member,1,418,5,0.012,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,EL and Low Income/Economically Disadvantaged,"Students with Disabilities, English Learners, and Economically Disadvantaged or Low Income",member,1,418,7,0.017,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,EL and Low Income/Economically Disadvantaged,Total Students with Disabilities,total,1,418,418,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Enrollment,Students with Disabilities,member,1,2287,433,0.189,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Enrollment,Students without Disabilities,member,1,2287,1854,0.811,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Enrollment,Total In- and Out-of-District Students,total,1,2287,2287,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Gender,Female,member,1,435,149,0.343,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Gender,Male,member,1,435,284,0.653,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Gender,Nonbinary,member,1,435,2,0.005,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Gender,Total Students with Disabilities,total,1,435,433,0.995,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Grade Span,Grades 3 to 5,member,1,433,118,0.273,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Grade Span,Grades 6 to 8,member,1,433,107,0.247,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Grade Span,Grades 9 to 12,member,1,433,106,0.245,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Grade Span,PK to 2,member,1,433,88,0.203,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Grade Span,Special Education Beyond Grade 12,member,1,433,14,0.032,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Grade Span,Total Students with Disabilities,total,1,433,433,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,In District/Out of District,In-District,member,1,433,418,0.965,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,In District/Out of District,Out-of-District,member,1,433,15,0.035,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,In District/Out of District,Total Students with Disabilities,total,1,433,433,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Placement,Full Inclusion,member,1,433,300,0.693,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Placement,Partial Inclusion,member,1,433,71,0.164,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Placement,Separate School in District,member,1,433,5,0.012,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Placement,Substantially Separate,member,1,433,42,0.097,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Placement,Total Students with Disabilities,total,1,433,433,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Race/Ethnicity,Asian,member,1,433,0,0.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Race/Ethnicity,Black or African American,member,1,433,5,0.012,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Race/Ethnicity,Hispanic or Latino,member,1,433,23,0.053,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Race/Ethnicity,Other,member,1,433,23,0.053,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Race/Ethnicity,Total Students with Disabilities,total,1,433,433,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Race/Ethnicity,White,member,1,433,382,0.882,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,64.5,418,0.154,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Services,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Support,member,1,7.7,418,0.018,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Teachers,member,1,24.1,418,0.058,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,101.60000000000001,418,0.243,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Total Students with Disabilities,member,1,418,418,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type,Autism,member,1,339,54,0.159,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type,Developmental Delay,member,1,339,44,0.13,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type,Health Impairment,member,1,339,45,0.133,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type,Other Disability,member,1,339,115,0.339,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type,Specific Learning Disabilities,member,1,339,81,0.239,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type,Total Students with Disabilities,total,1,339,339,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Autism,member,1,339,54,0.159,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Communication Disability,member,1,339,48,0.142,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Developmental Delay,member,1,339,44,0.13,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Emotional Disability,member,1,339,33,0.097,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Health Impairment,member,1,339,45,0.133,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Intellectual Disability,member,1,339,10,0.029,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Multiple Disabilities,member,1,339,2,0.006,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Neurological Disability,member,1,339,13,0.038,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Physical Impairment,member,1,339,1,0.003,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Sensory Impairment,member,1,339,8,0.024,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Specific Learning Disabilities,member,1,339,81,0.239,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Disability Type All,Total Students with Disabilities,total,1,339,339,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities Only,member,1,306,160,0.523,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities and Economically Disadvantaged or Low Income,member,1,306,139,0.454,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,EL and Low Income/Economically Disadvantaged,Students with Disabilities and English Learners,member,1,306,3,0.01,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,EL and Low Income/Economically Disadvantaged,"Students with Disabilities, English Learners, and Economically Disadvantaged or Low Income",member,1,306,4,0.013,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,EL and Low Income/Economically Disadvantaged,Total Students with Disabilities,total,1,306,306,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Enrollment,Students with Disabilities,member,1,1657,339,0.205,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Enrollment,Students without Disabilities,member,1,1657,1318,0.795,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Enrollment,Total In- and Out-of-District Students,total,1,1657,1657,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Gender,Female,member,1,339,122,0.36,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Gender,Male,member,1,339,217,0.64,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Gender,Total Students with Disabilities,total,1,339,339,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Grade Span,Grades 3 to 5,member,1,339,83,0.245,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Grade Span,Grades 6 to 8,member,1,339,75,0.221,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Grade Span,Grades 9 to 12,member,1,339,82,0.242,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Grade Span,PK to 2,member,1,339,88,0.26,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Grade Span,Special Education Beyond Grade 12,member,1,339,11,0.032,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,Grade Span,Total Students with Disabilities,total,1,339,339,1.0,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,In District/Out of District,In-District,member,1,339,306,0.903,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
2022,06160000,Ayer Shirley,district,In District/Out of District,Out-of-District,member,1,339,33,0.097,Percent,yes,sources/state-dese/dese-sped-program-characteristics.xlsx
