fy,lea,district,geo_level,grades,grades_level,enrolled_cnt,on_iep_cnt,moved_in_cnt,moved_out_cnt,grade_rows_sum,repeats_prior_year,doc_id
2022,06160000,Ayer Shirley,district,Grade 3,grade,117,22,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Grade 4,grade,130,36,3,6,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Grade 5,grade,129,23,1,4,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Grade 6,grade,116,23,5,4,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Grade 7,grade,126,22,2,3,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Grade 8,grade,130,27,0,6,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Grade 9,grade,116,23,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,K-12,all,1524,303,46,32,1451,,sources/state-dese/dese-sped-movement.xlsx
2022,06160000,Ayer Shirley,district,Kindergarten,grade,134,17,9,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 1,grade,148,24,4,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 10,grade,174,24,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 11,grade,168,23,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 12,grade,4,4,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 2,grade,161,18,7,2,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 3,grade,178,35,8,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 4,grade,171,33,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 5,grade,180,35,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 6,grade,153,29,4,4,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 7,grade,199,26,2,5,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 8,grade,161,31,9,5,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Grade 9,grade,167,25,2,2,,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,K-12,all,2089,341,63,24,2014,,sources/state-dese/dese-sped-movement.xlsx
2022,06730000,Groton-Dunstable,district,Kindergarten,grade,150,16,3,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 1,grade,250,39,13,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 10,grade,180,44,5,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 11,grade,171,37,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 12,grade,12,10,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 2,grade,220,49,11,3,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 3,grade,236,41,17,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 4,grade,228,61,6,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 5,grade,225,63,6,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 6,grade,231,69,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 7,grade,231,55,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 8,grade,261,77,3,11,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Grade 9,grade,220,57,3,1,,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,K-12,all,2768,663,99,22,2686,,sources/state-dese/dese-sped-movement.xlsx
2022,07350000,North Middlesex,district,Kindergarten,grade,221,23,14,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 1,grade,63735,9565,2926,590,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 10,grade,71302,13269,836,634,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 11,grade,66805,11841,477,670,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 12,grade,2901,1934,62,46,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 2,grade,62109,10778,2947,614,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 3,grade,63482,12401,2400,865,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 4,grade,64679,13297,1888,777,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 5,grade,64468,13619,1415,682,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 6,grade,65371,13778,1166,766,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 7,grade,66188,13603,1103,660,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 8,grade,66183,13636,1069,985,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Grade 9,grade,73020,14104,1215,682,,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,K-12,all,821654,162440,22016,9171,789938,,sources/state-dese/dese-sped-movement.xlsx
2023,00000000,State,state,Kindergarten,grade,59695,7817,2958,748,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 1,grade,75,3,8,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 10,grade,81,9,5,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 11,grade,84,10,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 12,grade,3,3,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 2,grade,59,7,11,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 3,grade,68,5,6,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 4,grade,72,4,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 5,grade,79,7,5,4,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 6,grade,81,9,6,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 7,grade,83,8,3,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 8,grade,72,7,5,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Grade 9,grade,84,7,3,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,K-12,all,939,90,70,13,912,,sources/state-dese/dese-sped-movement.xlsx
2023,01250000,Harvard,district,Kindergarten,grade,71,6,6,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 1,grade,120,15,3,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 10,grade,103,12,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 11,grade,111,13,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 2,grade,110,18,1,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 3,grade,105,16,2,4,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 4,grade,132,25,3,4,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 5,grade,107,13,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 6,grade,118,20,3,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 7,grade,131,26,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 8,grade,127,17,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Grade 9,grade,123,10,0,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,K-12,all,1438,224,23,21,1391,,sources/state-dese/dese-sped-movement.xlsx
2023,01620000,Lunenburg,district,Kindergarten,grade,104,13,3,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 1,grade,163,25,7,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 10,grade,149,25,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 11,grade,156,22,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 12,grade,2,1,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 2,grade,158,30,14,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 3,grade,158,31,4,5,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 4,grade,204,43,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 5,grade,171,30,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 6,grade,167,34,3,5,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 7,grade,180,23,3,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 8,grade,183,25,2,6,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Grade 9,grade,166,29,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,K-12,all,2091,363,58,35,2009,,sources/state-dese/dese-sped-movement.xlsx
2023,06100000,Ashburnham-Westminster,district,Kindergarten,grade,152,9,6,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 1,grade,150,30,8,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 10,grade,119,24,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 11,grade,92,17,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 12,grade,8,8,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 2,grade,113,19,7,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 3,grade,138,35,7,6,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 4,grade,121,25,2,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 5,grade,133,31,2,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 6,grade,129,20,1,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 7,grade,111,25,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 8,grade,123,19,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Grade 9,grade,96,15,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,K-12,all,1532,301,43,22,1461,,sources/state-dese/dese-sped-movement.xlsx
2023,06160000,Ayer Shirley,district,Kindergarten,grade,128,11,6,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 1,grade,174,16,7,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 10,grade,164,24,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 11,grade,178,26,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 12,grade,4,4,0,0,,yes,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 2,grade,164,32,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 3,grade,172,25,7,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 4,grade,182,40,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 5,grade,175,34,5,7,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 6,grade,186,38,2,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 7,grade,153,28,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 8,grade,189,22,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Grade 9,grade,164,28,6,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,K-12,all,2152,368,56,18,2053,,sources/state-dese/dese-sped-movement.xlsx
2023,06730000,Groton-Dunstable,district,Kindergarten,grade,148,22,5,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 1,grade,239,31,19,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 10,grade,215,54,4,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 11,grade,181,44,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 12,grade,9,9,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 2,grade,249,47,14,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 3,grade,230,58,11,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 4,grade,238,57,3,3,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 5,grade,232,64,6,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 6,grade,236,67,2,2,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 7,grade,231,68,4,0,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 8,grade,225,54,4,9,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Grade 9,grade,195,53,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,K-12,all,2783,667,104,18,2693,,sources/state-dese/dese-sped-movement.xlsx
2023,07350000,North Middlesex,district,Kindergarten,grade,213,22,20,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 1,grade,62357,9914,2784,688,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 10,grade,71043,13482,762,955,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 11,grade,69017,12330,475,968,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 12,grade,2714,1874,38,41,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 2,grade,64728,11846,3023,749,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 3,grade,62982,12900,2441,1019,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 4,grade,64217,13844,1958,1015,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 5,grade,64974,14213,1482,977,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 6,grade,65108,14186,1140,958,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 7,grade,66344,14075,1123,999,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 8,grade,65118,13819,1013,1167,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Grade 9,grade,71477,14494,1204,1007,,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,K-12,all,823078,169858,21889,11998,789946,,sources/state-dese/dese-sped-movement.xlsx
2024,00000000,State,state,Kindergarten,grade,59867,8611,2871,903,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 1,grade,71,12,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 10,grade,88,8,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 11,grade,85,15,0,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 12,grade,1,1,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 2,grade,75,11,4,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 3,grade,58,17,0,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 4,grade,71,9,1,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 5,grade,75,7,2,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 6,grade,86,10,3,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 7,grade,79,12,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 8,grade,86,8,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Grade 9,grade,75,11,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,K-12,all,937,135,32,10,914,,sources/state-dese/dese-sped-movement.xlsx
2024,01250000,Harvard,district,Kindergarten,grade,64,7,8,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 1,grade,113,11,7,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 10,grade,120,7,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 11,grade,101,12,0,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 12,grade,4,4,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 2,grade,120,14,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 3,grade,111,16,3,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 4,grade,106,13,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 5,grade,147,29,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 6,grade,111,14,6,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 7,grade,119,19,3,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 8,grade,128,25,0,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Grade 9,grade,110,15,0,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,K-12,all,1448,222,38,17,1393,,sources/state-dese/dese-sped-movement.xlsx
2024,01620000,Lunenburg,district,Kindergarten,grade,103,17,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 1,grade,159,14,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 10,grade,165,30,1,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 11,grade,150,24,1,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 12,grade,3,3,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 2,grade,165,31,5,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 3,grade,164,40,5,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 4,grade,160,29,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 5,grade,208,45,2,9,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 6,grade,175,34,0,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 7,grade,174,35,3,5,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 8,grade,173,24,1,3,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Grade 9,grade,156,27,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,K-12,all,2076,392,32,35,1997,,sources/state-dese/dese-sped-movement.xlsx
2024,06100000,Ashburnham-Westminster,district,Kindergarten,grade,145,31,2,7,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 1,grade,139,18,8,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 10,grade,100,12,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 11,grade,118,24,1,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 12,grade,2,2,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 2,grade,152,37,7,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 3,grade,115,28,4,6,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 4,grade,137,36,2,8,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 5,grade,127,29,8,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 6,grade,131,28,6,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 7,grade,128,20,1,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 8,grade,112,25,3,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Grade 9,grade,95,16,1,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,K-12,all,1563,322,50,35,1474,,sources/state-dese/dese-sped-movement.xlsx
2024,06160000,Ayer Shirley,district,Kindergarten,grade,118,19,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 1,grade,150,26,6,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 10,grade,166,31,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 11,grade,170,29,2,3,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 12,grade,6,6,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 2,grade,177,22,7,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 3,grade,162,30,9,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 4,grade,177,34,5,7,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 5,grade,185,39,3,6,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 6,grade,181,32,6,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 7,grade,183,33,3,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 8,grade,141,29,5,4,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Grade 9,grade,179,21,4,2,,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,K-12,all,2103,388,73,41,2020,,sources/state-dese/dese-sped-movement.xlsx
2024,06730000,Groton-Dunstable,district,Kindergarten,grade,143,21,8,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 1,grade,219,39,13,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 10,grade,188,48,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 11,grade,213,57,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 12,grade,10,9,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 2,grade,243,50,12,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 3,grade,256,61,15,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 4,grade,229,66,4,5,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 5,grade,237,58,8,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 6,grade,233,67,5,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 7,grade,228,60,2,1,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 8,grade,222,69,3,9,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Grade 9,grade,165,36,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,K-12,all,2779,680,113,16,2684,,sources/state-dese/dese-sped-movement.xlsx
2024,07350000,North Middlesex,district,Kindergarten,grade,241,34,20,1,,,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 1,grade,62357,9914,2784,688,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 10,grade,71043,13482,762,955,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 11,grade,69017,12330,475,968,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 12,grade,2714,1874,38,41,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 2,grade,64728,11846,3023,749,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 3,grade,62982,12900,2441,1019,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 4,grade,64217,13844,1958,1015,,yes,sources/state-dese/dese-sped-movement.xlsx
2025,00000000,State,state,Grade 5,grade,64974,14213,1482,977,,yes,sources/state-dese/dese-sped-movement.xlsx
