fy,district,district_code,high_needs_n,high_needs_pct,english_learners_n,english_learners_pct,first_language_not_english_n,first_language_not_english_pct,low_income_n,low_income_pct,students_with_disabilities_n,students_with_disabilities_pct
2019,Lunenburg,01620000,490,29.5,24,1.5,53,3.2,276,16.7,277,16.7
2020,Lunenburg,01620000,467,28.3,18,1.1,56,3.4,278,16.9,255,15.4
2021,Lunenburg,01620000,516,32.1,17,1.1,66,4.1,329,20.7,261,16.3
2022,Lunenburg,01620000,556,34.6,22,1.4,87,5.4,409,25.6,227,14.1
2023,Lunenburg,01620000,548,35.0,35,2.2,93,6.0,389,24.9,234,14.9
2024,Lunenburg,01620000,549,34.6,47,3.0,123,7.8,391,24.7,233,14.7
2025,Lunenburg,01620000,550,35.0,55,3.5,143,9.1,364,23.3,248,15.8
2026,Lunenburg,01620000,584,36.9,70,4.5,173,11.0,395,25.2,258,16.3
