===SHEET Salaries===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, SALARIES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Master Teacher,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305 - High School Teachers - General Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Teachers/Regular,2974380,2623440,-0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Retirement/Longevity,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Master Teacher,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310 - Teachers Specialists - Special Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Special Ed Teachers,595961,564083,-0.0535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES Special Ed Teachers,345686,266999,-0.2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Specl Ed Resourse Rm Teacher,420845,383685,-0.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Specl Ed Resourse Rm Teacher,389763,365543,-0.0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE Special Ed Resource Rm Teacher,89364,95659,0.0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D.W. P/R Long Term Tutoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D.W. P/R Short Term Tutoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315 - High School Department Heads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Department Heads,25589,28187,0.1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320 - Therapeutic Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,District Wide Specials (ELL),176106,185878,0.0555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Specialists/System,273108,195946,-0.2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Summer Program,55525,70050,0.2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Processing Coordinator Stipends,,16800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Special Ed Speech Pathologists,141676,148028,0.0448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Special Ed Speech Pathologists,77252,81483,0.0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Special Ed Speech Pathologists,34697,36085,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Special Ed Speech Pathologists,34697,36085,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325 - General Education Substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P. S. Long Term Substitutes,15000,15000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P. S. Regular Substitutes,15000,4000,-0.7333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kind  Long Term Substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kind.  Long Term Substitutes,-,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kind Regular Substitutes,4000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E. S. Long Term Substitutes,3000,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Regular Substitute,12000,12000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M. S. Long Term Substitutes,3000,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M..S. Regular Substitutes,11000,11000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H. S. Long Term Substitutes,3000,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H. S. Regular Substitutes,27000,27000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325 - Special Education Substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kindergarten Special Ed Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Long Term Special Ed Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Special Ed Subs,20000,20000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Long Term Special Ed Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Special Ed Subs .,15500,15500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Special Ed Long Term Subs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Special Ed Subs .,8500,8500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Special Ed Long Term Subs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Special Ed Subs.,8500,8500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330 - Paraprofessionals General Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kindergarten Paraprofessionals,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Paraprofessionals /Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Library Paraprofessionals,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Paraprofessionals/ Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Library Paraprofessionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Paraprofessionals /Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
