===SHEET Salaries===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, SALARIES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310 - Tutoring Cont. Ser.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Hospital Tutoring,6000,10000,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spcl Ed Contrtd Related Services,103000,103000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Contrctd Evaluations,5000,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330 - E.S. Choral Accompanist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Choral Accompanist,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357 - Professional Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Development - P.S.,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Development - E.S.,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Development - M.S.,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Development - H.S.,0,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Development - Special Ed,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Development - System Expenses,35000,40000,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Dev - Course  Reimbursements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prof Dev - Conference Reimbursements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410 - P.S. Textbooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410 - E.S. Textbooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410 - M.S. Textbooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410 - H.S. Textbooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Science Textbooks,17250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Math Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. English Textbooks,7340,2875,-0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Social Studies Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. World Language Textbooks,4227,1206,-0.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Health/Hum Dev Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Business Ed Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Industrial Arts Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415 - P.S. Other Instr. Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Art Supplies,600,795,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Workbooks,11000,8104,-0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Reading Supplies,575,1260,1.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Math Supplies,500,109,-0.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Testing Materials,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Library Periodicals,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Library Expenses,600,288,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Library Books,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Audio Visual Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Special Education Instr. Materials,1869,1531,-0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415 - E.S. Other Instr. Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Workbooks,12000,11341,-0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Reading Supplies,0,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Math Supplies,13404,44,-0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Textbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Social Studies,339,123,-0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Art Supplies,0,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Testing Materials,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Library Periodicals,65,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Library Expenses,1439,2080,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Library Books,4600,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Audio Visual/ Technology Supplies,873,1150,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Special Education Instr. Materials,614,1492,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415 - M.S. Other Instr. Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Workbooks,17746,375,-0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. ELA Supplies,740,962,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Math Supplies,1171,1576,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Social Studies,3900,6082,0.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Art Supplies,8060,8000,-0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Testing Materials,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Regrs Academic Achievemnt,5000,1000,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Health Supplies,396,397,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Periodicals,1484,1275,-0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Library Periodicals,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Library Expenses,400,354,-0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Library Books,3000,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Audio Visual Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Special Education Instr. Materials,2924,404,-0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415 - H.S. Other Instr. Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. English Periodicals,75,86,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. English Supplies,1462,1254,-0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. English Workbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. English Dues & Fees,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Math Dues & Fees,8194,1687,-0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Math Supplies,971,1019,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Math Technology,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Business Ed Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Business Ed Workbooks,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Social Studies Supplies,1884,1376,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Social Studies Periodicls,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Social Studies A.V.,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. World Lang Testing Matrl,400,633,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. World Language Supplies,701,271,-0.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Art Supplies,24495,19090,-0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Health & Human Dev. Suppl,3202,2713,-0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Health Periodicals,100,115,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Library Periodicals,280,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Library Expenses,500,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Library Books,5500,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Audio Visual Supplies (Library),102,299,1.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. English A.V. Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Foreign Language A.V.,3083,1230,-0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Special Education Instr. Materials,1836,3144,0.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Computer Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420 - P.S. Instr. Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Science Supplies,5290,5222,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Phys Ed Supplies,600,1249,1.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Music Supplies,380,795,1.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420 - E.S. Instr.l Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Science Supplies (includes STEM),1000,5485,4.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Phys Ed Supplies,300,1150,2.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Music Supplies,4991,4342,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420 - M.S. Instr.Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Science Supplies,2000,1521,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Tech Ed Supplies,400,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Phys Ed Supplies,2000,2293,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Band/Music Supplies,4000,5300,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420 - H.S. Instr. Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Science Supplies,14697,15985,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Phys Ed Supplies,3000,5533,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Greenhouse Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Technology/Industrial Arts Supplies,2000,2875,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Tech Prep Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Band/Music Dues and Fees,2500,1438,-0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Band/Music Supplies,5000,5558,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Marching Band,2070,2150,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Music Equipment,3000,3229,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430 - General School Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. General School Supplies,17239,14152,-0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. General School Supplies,12798,11034,-0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. General School Supplies,8200,6439,-0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. General School Supplies,16000,11281,-0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE General School Supplies,6000,6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spcl Ed Generl School Supplies,3000,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440 - Other Instr.Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Band/Music Transportation,2000,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Band/Music Transportation,6500,6900,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STEP Program Insurance & Mileage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Mileage Reimbursement,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451 - Instructional Tech.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Computer Contractual Services,13900,28252,1.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Computer Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Computer Contractual Services,19750,22775,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Computer Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Computer Contractual Services,5510,2073,-0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Computer Supplies (new camera),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Computer Contractual Services,15025,17752,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Computer Supplies (new camera),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computer Supplies/District Wide,19900,10006,-0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computer Contractual Services / District Wide,0,4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710 - Guidance Exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Guidance Supplies,250,242,-0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Guidance Supplies,403,495,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Guidance Supplies,575,264,-0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Guidance Supplies,6954,6954,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Lease of Guidance Software,24800,13800,-0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Guidance Testng Materials,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800 - Psych. Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Psychological Serv./Contracted,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Psychological Testing/Supplies,7930,7575,-0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200 - Medical/Health Ser.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,School Physician,3500,3500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nurses Office Supplies/System,4300,4300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nurses Travel & Dues/System,620,620,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nurses Purchased Services / System,4315,7115,0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300 - Student Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Education Transportation,907200,976500,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Education Transportation - System,445328,565734,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510 - Athletic Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Transportation,40000,141550,2.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Insurance,9000,9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Dues & Fees,20000,20000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Special Detail,0,7100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Expenses/Supplies,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Equipment/Reconditioning,10000,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Replacement of Uniforms,10000,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic New Equipment,6000,6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4110 - Cust. Supplies - System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Custodial Supplies/System,70675,75000,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120 - Heating of Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Oil/Heating Charges,4000,4200,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas/Heating Charges,120000,145000,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130 - Utility Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dumping Fees/Sewerage,34000,50000,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity/System,230000,265000,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash Removal/System,26000,26000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telephone/System,14700,21700,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water Consumption/System,28000,35000,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telephone Maintenance/System,1550,1550,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210 - Maint. of Grounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maint. of Grounds/Contrctd Serv,26900,59000,1.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maint of Grounds Supplies/System,20695,21730,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220 - Maint. of Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maint. of Buildings/Contracted Services,225643,253000,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maint. of Bldg Supplies/System,80000,80000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Expenditures,10000,30000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230 - Maint of Tech Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computer MTC / Repair System,4500,4500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230 - P.S. Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Repair Office Machines,1058,690,-0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Repair Audio Visual Equip,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Repair of Music Equipment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230 - E.S. Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Repair Office Machines,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Repair Audio Visual Equip,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Repair of Music Equipment,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230 - M.S. Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Repair Audio Visual Equip,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Repair Music Equipment,1750,1800,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Repair Fam/Cons Science Equip,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230 - H.S. Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Repair Science Equip,1100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Tech/Industrial Arts Maint. (3D printer),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Repair Audio Visual Equip,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Repair P.E. Equipment,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Repair Music Equipment,3500,3623,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230 - Maintenance Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vehicle Maintenance/Repairs,19000,19000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Safety/Furniture Repair,24005,24005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repair of Equip/Maintenance,4500,5000,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400 - Networking / Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Networking Contracted Service,21832,72158,2.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Networking General Supplies,2200,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450 - Technnology Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technology Maintenance Contracted Service,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100 - Early Retirement Incentive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Early Retirement Incentive/10 yr plan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200 - Insurance Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health Insurance,3140838,3464016,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medicare,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worker's - Compensation,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unemployment Compensation,20000,25000,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300 - Acquisition/Improvement Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. New Furniture/Equipment,5000,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. New Furniture/Equipment,25642,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Replacement of Equip/Furn,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. New Furniture/Equipment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. New Furniture/Equipment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Equipment,7000,7000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Equipment/System Maint.,26045,26045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capital Improvement - Maint.,45000,45000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400 - Replace Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"EQUIPMENT, Maint & Lease",83500,85000,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMPUTERS - Purchase & Lease,254638,243450,-0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9300 - Private Tuitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Tuitions/Private,703872,1298630,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9400 - Collaborative Tuitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collaborative Tuitions,460952,782867,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Circuit Breaker (70% = $422,408) (75% = 452,580)",-452580,-480204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL EXPENSES:,7700344,9334856,0.2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL SALARIES:,17386842,16228519,-0.0666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL BUDGET:,25087186,25563376,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
