block,item,scope,status,figure,fte,date,who,why,evidence,note
cuts,second grade classroom / class size reduction at the primary school,school,restored,,,2026-09-09,the chair,,school-committee/2026-09-09@50,
cuts,transportation for student athletes / athletic program funding,school,restored,,,2026-09-09,the superintendent,,school-committee/2026-09-09@467,
