"sy","dist_code","dist_name","ind_cat","ind_subcat","ind_value","ind_value_type"
"2023","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","105.4","Count"
"2023","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1671.5","Count"
"2023","01620000","Lunenburg","Student Demographics","English learner % Headcount","2.2","Percent"
"2023","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","24.9","Percent"
"2023","01620000","Lunenburg","Student Demographics","Student Headcount","1562.0","Count"
"2023","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","14.9","Percent"
"2023","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","88019.0","Amount"
"2023","01620000","Lunenburg","Teacher Salaries","Teacher FTE","112.8","Count"
"2023","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","7.2","Count"
"2023","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2023","01620000","Lunenburg","Other Staff","Instructional Support FTE","9.3","Count"
"2023","01620000","Lunenburg","Other Staff","Paraprofessional FTE","59.0","Count"
"2023","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","1.0","Count"
"2023","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","61.4","Percent"
"2023","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","44.1","Percent"
"2023","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","65.4","Percent"
"2023","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","43.6","Percent"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Administration","805.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","795.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","1209.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","262.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","3573.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","1190.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1596.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","230.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1772.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Teachers","6262.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","17684.0","Amount"
"2023","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","17695.0","Amount"
